id,Disctrict,AC,Block,Panchayat,,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,Khagaria,Beldaur,BELDAUR,Telihar,1,TELIHAR,DIHIYA TOLA,Shallow Tubew ell,Ground Water,,HandPump,BELDAUR New  Sinking Water Supply Scheme(0001989669)
2,Khagaria,Beldaur,BELDAUR,Telihar,2,TELIHAR,DIHIYA TOLA,Shallow Tubew ell,Ground Water,Panna Devi,HandPump,Sustainable T/W(0006952680)
3,Khagaria,Beldaur,BELDAUR,Telihar,3,TELIHAR,EAST TELIYA DIYA,Shallow Tubew ell,Ground Water,,HandPump,BELADAUR H.T. Water Supply Scheme(0001987291)
4,Khagaria,Beldaur,BELDAUR,Telihar,4,TELIHAR,IKSHATH BASA,Shallow Tubew ell,Ground Water,,HandPump,BELDAUR New  Sinking Water Supply Scheme(0001989669)
5,Khagaria,Beldaur,BELDAUR,Telihar,5,TELIHAR,IKSHATH BASA,Shallow Tubew ell,Ground Water,PRIMARY SCHOOL EKSATH BASA,HandPump,SCHOOL DWS BELDAUR(0002717403)
6,Khagaria,Beldaur,BELDAUR,Telihar,6,TELIHAR,KAFHAHARI TOLA,Shallow Tubew ell,Ground Water,,HandPump,BELDAUR New  Sinking Water Supply Scheme(0001989669)
7,Khagaria,Beldaur,BELDAUR,Telihar,7,TELIHAR,KOHAHA BASA,Shallow Tubew ell,Ground Water,,HandPump,BELDAUR New  Sinking Water Supply Scheme(0001989669)
8,Khagaria,Beldaur,BELDAUR,Telihar,8,TELIHAR,KOHAHA BASA,Shallow Tubew ell,Ground Water,,HandPump,INSTALLATION OF HAND PUMPS(0001959814)
9,Khagaria,Beldaur,BELDAUR,Telihar,9,TELIHAR,PASRAHA BASA,Deep Tubew ell,Ground Water,Near Of Bajrangbali Sthan,HandPump,Beldaur Block Ht Scheme(0004009139)
10,Khagaria,Beldaur,BELDAUR,Telihar,10,TELIHAR,SHIV NAGAR,Shallow Tubew ell,Ground Water,,HandPump,BELDAUR New  Sinking Water Supply Scheme(0001989669)
11,Khagaria,Beldaur,BELDAUR,Telihar,11,TELIHAR,SHIV NAGAR,Shallow Tubew ell,Ground Water,PRIMARY SCHOOL SHIV NAGAR,HandPump,SCHOOL DWS BELDAUR(0002717402)
12,Khagaria,Beldaur,BELDAUR,Telihar,12,TELIHAR,TELIHAR,Deep Tubew ell,Ground Water,Anganw adi,HandPump,Anganw adi Scheme(0005087237)
13,Khagaria,Beldaur,BELDAUR,Telihar,13,TELIHAR,TELIHAR,Shallow Tubew ell,Ground Water,,HandPump,BELADAUR H.T. Water Supply Scheme(0001987291)
14,Khagaria,Beldaur,BELDAUR,Telihar,14,TELIHAR,TELIHAR,Shallow Tubew ell,Ground Water,,HandPump,BELADAUR H.T. Water Supply Scheme(0001987291)
15,Khagaria,Beldaur,BELDAUR,Telihar,15,TELIHAR,TELIHAR,Deep Tubew ell,Ground Water,CAMPUS OF DURGA STHAN,HandPump,SUSTAINABLE T/W (SHAILENDRA KUMAR) (0006494171)
16,Khagaria,Beldaur,BELDAUR,Telihar,16,TELIHAR,TELIHAR,Shallow Tubew ell,Ground Water,,HandPump,INSTALLATION OF HAND PUMPS(0001959813)
17,Khagaria,Beldaur,BELDAUR,Telihar,17,TELIHAR,TELIHAR,Shallow Tubew ell,Ground Water,PRIMARY SCHOOL TELIHAR,HandPump,SCHOOL DWS BELDAUR(0002717400)
18,Khagaria,Beldaur,BELDAUR,Telihar,18,TELIHAR,TELIHAR,Shallow Tubew ell,Ground Water,Bajrangbali Sthan,HandPump,Sustainable T/W(0006952680)
19,Khagaria,Beldaur,BELDAUR,Telihar,19,TELIHAR,TELIHAR MUSHAHARI,Shallow Tubew ell,Ground Water,,HandPump,BELDAUR New  Sinking Water Supply Scheme(0001989669)
20,Khagaria,Beldaur,BELDAUR,Telihar,20,TELIHAR,TELIHAR MUSHAHARI,Shallow Tubew ell,Ground Water,,HandPump,INSTALLATION OF HAND PUMPS(0001959815)
21,Khagaria,Beldaur,BELDAUR,Telihar,21,TELIHAR,TEN GABIYA BASA,Shallow Tubew ell,Ground Water,,HandPump,BELDAUR New  Sinking Water Supply Scheme(0001989669)
22,Khagaria,Beldaur,BELDAUR,Telihar,22,TELIHAR,TEN GABIYA BASA,Shallow Tubew ell,Ground Water,PRIMARY SCHOOL TINGACHHIA,HandPump,SCHOOL DWS BELDAUR(0002717404)
23,Khagaria,Beldaur,BELDAUR,Telihar,23,TELIHAR,USHARAHA TOLA,Shallow Tubew ell,Ground Water,,HandPump,BELDAUR New  Sinking Water Supply Scheme(0001989669)
24,Khagaria,Beldaur,BELDAUR,Telihar,24,TELIHAR,UTTAR TOLA,Shallow Tubew ell,Ground Water,,HandPump,BELDAUR New  Sinking Water Supply Scheme(0001989669)
25,Khagaria,Beldaur,BELDAUR,Telihar,25,TELIHAR,WEST TELIHAR TOLA,Shallow Tubew ell,Ground Water,,HandPump,BELADAUR H.T. Water Supply Scheme(0001987291)
26,Khagaria,Beldaur,BELDAUR,Telihar,26,TELIHAR,WEST TELIHAR TOLA,Deep Tubew ell,Ground Water,BESIDE OF SATSANG BHAVAN,HandPump,IM-II NRDWS SUSTAINABLE T/W (SHAILENDRA KUMAR) (0006494171)
27,Khagaria,Beldaur,BELDAUR,Telihar,27,TELIHAR,WEST TELIHAR TOLA,Shallow Tubew ell,Ground Water,PRIMARY SCHOOL TELIHAR WEST,HandPump,SCHOOL DWS BELDAUR(0002717401)
28,Khagaria,Beldaur,BELDAUR, Kanjari,1,BIRA,BIRA,Shallow Tubew ell,Ground Water,,HandPump,BELDAUR New  Sinking Water Supply Scheme(0001989669)
29,Khagaria,Beldaur,BELDAUR, Kanjari,2,BIRA,BIRA,Shallow Tubew ell,Ground Water,JAGDISH PANDIT,HandPump,INSTALLATION OF HAND PUMPS(0001965992)
30,Khagaria,Beldaur,BELDAUR, Kanjari,3,BIRA,BIRA,Shallow Tubew ell,Ground Water,PRIMARY SCHOOL BIRA,HandPump,SCHOOL DWS BELDAUR(0002717405)
31,Khagaria,Beldaur,BELDAUR, Kanjari,4,BIRA,KALBARA BASA,Shallow Tubew ell,Ground Water,,HandPump,BELDAUR New  Sinking Water Supply Scheme(0001989669)
32,Khagaria,Beldaur,BELDAUR, Kanjari,5,BIRA,MUSHARI,Shallow Tubew ell,Ground Water,,HandPump,BELDAUR New  Sinking Water Supply Scheme(0001989669)
