id,Disctrict,AC,Block,Panchayat,,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,Madhubani,Babubarhi,LADANIA,SIDHAPA,1,SIDHAPA,CHAKDAH,Deep tubewell,Ground Water,Nc/Pc Scheme For Ladania Block,SPOT,Nc/Pc Scheme For Ladania Block(0004563308)
2,Madhubani,Babubarhi,LADANIA,SIDHAPA,2,SIDHAPA,DHANJAIA,Shallow tubewell,Ground Water,Aw c Center No 130,HandPump,Anganw ari Ladania Block 3(0005467985)
3,Madhubani,Babubarhi,LADANIA,SIDHAPA,3,SIDHAPA,DHANJAIA,Shallow tubewell,Ground Water,Surendra Yadav S/O Sr Rama Yadav Ghar Ke Niket,HandPump,MLA QOUTA-LADANYA- 1(0006418644)
4,Madhubani,Babubarhi,LADANIA,SIDHAPA,4,SIDHAPA,DHANJAIA,Shallow tubewell,Ground Water,C,HandPump,NC/PC LADANIYA(0006539735)
5,Madhubani,Babubarhi,LADANIA,SIDHAPA,5,SIDHAPA,DHANJAIA,Shallow tubewell,Ground Water,B,HandPump,NC/PC LADANIYA(0006539735)
6,Madhubani,Babubarhi,LADANIA,SIDHAPA,6,SIDHAPA,DHANJAIA,Shallow tubewell,Ground Water,A,HandPump,NC/PC LADANIYA(0006539735)
7,Madhubani,Babubarhi,LADANIA,SIDHAPA,7,SIDHAPA,DHANJAIA,Shallow tubewell,Ground Water,B,HandPump,NC/PC LADANIYAN(0006535066)
8,Madhubani,Babubarhi,LADANIA,SIDHAPA,8,SIDHAPA,DHANJAIA,Shallow tubewell,Ground Water,A,HandPump,NC/PC LADANIYAN(0006535066)
9,Madhubani,Babubarhi,LADANIA,SIDHAPA,9,SIDHAPA,DHANJAIA,Shallow tubewell,Ground Water,U.M.S Dhanjaiya,HandPump,SCHOOL T/W-LADANIYA- 2(0006242795)
10,Madhubani,Babubarhi,LADANIA,SIDHAPA,10,SIDHAPA,DHANJAIA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002681640)
11,Madhubani,Babubarhi,LADANIA,SIDHAPA,11,SIDHAPA,DHANJAIA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001968111)
12,Madhubani,Babubarhi,LADANIA,SIDHAPA,12,SIDHAPA,GARHIA,Shallow tubewell,Ground Water,B,HandPump,NC/PC LADANIYA(0006539735)
13,Madhubani,Babubarhi,LADANIA,SIDHAPA,13,SIDHAPA,GARHIA,Shallow tubewell,Ground Water,A,HandPump,NC/PC LADANIYA(0006539735)
