id,Disctrict,AC,Block,Panchayat,,"""Village Name""",Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,Madhubani,Harlakhi,MADHWAPUR,PIROKHAR,1,Village Name,EKARI,Deep tubewell,Ground Water,Road Side Me,HandPump,Brahm Asthan(0000046308)
2,Madhubani,Harlakhi,MADHWAPUR,PIROKHAR,2,Village Name,EKARI,Shallow tubewell,Ground Water,Rakesh Sah S/O Ganeshi Sah Ke Ghar Ke Pas,HandPump,MLA QOUTA- MADHWAPUR- 1(0006376823)
3,Madhubani,Harlakhi,MADHWAPUR,PIROKHAR,3,Village Name,EKARI,Shallow tubewell,Ground Water,Saroj Kumar Thakur S/O Mahendra Thakur,HandPump,MLA QUOTA- MADHWAPUR- 1(0005274413)
4,Madhubani,Harlakhi,MADHWAPUR,PIROKHAR,4,Village Name,EKARI,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Spot Source (Ht) Scheme(0004690854)
5,Madhubani,Harlakhi,MADHWAPUR,PIROKHAR,5,Village Name,SUJATPUR,Shallow tubewell,Ground Water,Lalit Yadav S/O Saklu Yadav Ke Ghar Ke Pas,HandPump,MLA QOUTA- MADHWAPUR- 1(0006376823)
6,Madhubani,Harlakhi,MADHWAPUR,PIROKHAR,6,Village Name,SUJATPUR,Shallow tubewell,Ground Water,Laxman Singh S/O Met Ramchalitar Singh,HandPump,MLA QUOTA- MADHWAPUR- 1(0005274413)
7,Madhubani,Harlakhi,MADHWAPUR,PIROKHAR,7,Village Name,SUJATPUR,Shallow tubewell,Ground Water,Kirshan Kumar Singh S/O Met Kedarnath Singh,HandPump,MLA QUOTA- MADHWAPUR- 1(0005274413)
8,Madhubani,Harlakhi,MADHWAPUR,PIROKHAR,8,Village Name,SUJATPUR,Shallow tubewell,Ground Water,B,HandPump,NC/PC MADHWAPUR(0006539572)
9,Madhubani,Harlakhi,MADHWAPUR,PIROKHAR,9,Village Name,SUJATPUR,Shallow tubewell,Ground Water,A,HandPump,NC/PC MADHWAPUR(0006539572)
10,Madhubani,Harlakhi,MADHWAPUR,PIROKHAR,10,Village Name,SUJATPUR,Shallow tubewell,Ground Water,D,HandPump,PC MADHWAPUR(0006535370)
11,Madhubani,Harlakhi,MADHWAPUR,PIROKHAR,11,Village Name,SUJATPUR,Shallow tubewell,Ground Water,C,HandPump,PC MADHWAPUR(0006535370)
12,Madhubani,Harlakhi,MADHWAPUR,PIROKHAR,12,Village Name,SUJATPUR,Shallow tubewell,Ground Water,B,HandPump,PC MADHWAPUR(0006535370)
13,Madhubani,Harlakhi,MADHWAPUR,PIROKHAR,13,Village Name,SUJATPUR,Shallow tubewell,Ground Water,A,HandPump,PC MADHWAPUR(0006535370)
14,Madhubani,Harlakhi,MADHWAPUR,PIROKHAR,14,Village Name,SUJATPUR,Shallow tubewell,Ground Water,M.S Sujatpur,HandPump,SCHOOL T/W- MADHWAPUR(0006179891)
15,Madhubani,Harlakhi,MADHWAPUR,PIROKHAR,15,Village Name,SUJATPUR,Shallow tubewell,Ground Water,P.S Sujatpur Mushari,HandPump,SCHOOL T/W- MADHWAPUR- 2(0006179995)
16,Madhubani,Harlakhi,MADHWAPUR,PIROKHAR,16,Village Name,SUJATPUR,Shallow tubewell,Ground Water,P.S Sujatpur Girl,HandPump,SCHOOL T/W- MADHWAPUR- 2(0006179995)
17,Madhubani,Harlakhi,MADHWAPUR,PIROKHAR,17,Village Name,SUJATPUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001980257)
18,Madhubani,Harlakhi,MADHWAPUR,PIROKHAR,18,Village Name,SUJATPUR,Shallow tubewell,Ground Water,TAPESHWAR SINGH,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W MADHWAPUR(0006682296)
19,Madhubani,Harlakhi,HARLAKHI,BISUAL,1,Village Name,BANRAHI,Deep tubewell,Ground Water,P.S.BALUAHA,HandPump,Spot Source(0002717458)
20,Madhubani,Harlakhi,HARLAKHI,BISUAL,2,Village Name,BANRAHI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004044541)
21,Madhubani,Harlakhi,HARLAKHI,BISUAL,3,Village Name,BISHUL,Shallow tubewell,Ground Water,Aw c-35,HandPump,ANGANWARDI T/W - HARLAKHI(0006356354)
22,Madhubani,Harlakhi,HARLAKHI,BISUAL,4,Village Name,BISHUL,Shallow tubewell,Ground Water,Aw c-32,HandPump,ANGANWARDI T/W - HARLAKHI(0006356354)
23,Madhubani,Harlakhi,HARLAKHI,BISUAL,5,Village Name,BISHUL,Deep tubewell,Ground Water,Road Side Me,HandPump,Hand Pump Scheme(0004690566)
24,Madhubani,Harlakhi,HARLAKHI,BISUAL,6,Village Name,BISHUL,Shallow tubewell,Ground Water,Durga Mandir Ke Prangan Me,HandPump,MLA QOUTA- HARLAKHI- 1(0006387490)
25,Madhubani,Harlakhi,HARLAKHI,BISUAL,7,Village Name,BISHUL,Shallow tubewell,Ground Water,Jagdev Sada S/O Lat Mohit Sada Ghar Ke Pas Mangpatti,HandPump,MLA QOUTA- HARLAKHI- 1(0006387490)
26,Madhubani,Harlakhi,HARLAKHI,BISUAL,8,Village Name,BISHUL,Shallow tubewell,Ground Water,Sanjiv Kumar Panjiyar S/O Sahdev Panjiyar Ward No-10,HandPump,MLA QUOTA- HARLAKHI- 1(0005687029)
27,Madhubani,Harlakhi,HARLAKHI,BISUAL,9,Village Name,BISHUL,Shallow tubewell,Ground Water,Bipati Paw an S/O Satyendra Pasw an Ward No-5,HandPump,MLA QUOTA- HARLAKHI- 1(0005687029)
28,Madhubani,Harlakhi,HARLAKHI,BISUAL,10,Village Name,BISHUL,Shallow tubewell,Ground Water,Mahanth Barjmohan Das Ward No -2,HandPump,MLA QUOTA- HARLAKHI- 1(0005687029)
29,Madhubani,Harlakhi,HARLAKHI,BISUAL,11,Village Name,BISHUL,Shallow tubewell,Ground Water,Dhanik Lal Sahni S/O Chalitar Sahni Ke Ghar Ke Niket,HandPump,MLC QOUTA HARLAKHI(0006393775)
30,Madhubani,Harlakhi,HARLAKHI,BISUAL,12,Village Name,BISHUL,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC HARLAKHI(0005699573)
31,Madhubani,Harlakhi,HARLAKHI,BISUAL,13,Village Name,BISHUL,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC HARLAKHI(0005699573)
32,Madhubani,Harlakhi,HARLAKHI,BISUAL,14,Village Name,BISHUL,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC HARLAKHI(0005699573)
33,Madhubani,Harlakhi,HARLAKHI,BISUAL,15,Village Name,BISHUL,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC HARLAKHI(0005699573)
34,Madhubani,Harlakhi,HARLAKHI,BISUAL,16,Village Name,BISHUL,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC HARLAKHI(0005699573)
35,Madhubani,Harlakhi,HARLAKHI,BISUAL,17,Village Name,BISHUL,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC HARLAKHI(0005699573)
36,Madhubani,Harlakhi,HARLAKHI,BISUAL,18,Village Name,BISHUL,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC HARLAKHI(0005699573)
37,Madhubani,Harlakhi,HARLAKHI,BISUAL,19,Village Name,BISHUL,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC HARLAKHI(0005699573)
38,Madhubani,Harlakhi,HARLAKHI,BISUAL,20,Village Name,BISHUL,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC HARLAKHI(0005699573)
39,Madhubani,Harlakhi,HARLAKHI,BISUAL,21,Village Name,BISHUL,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC HARLAKHI(0005699573)
40,Madhubani,Harlakhi,HARLAKHI,BISUAL,22,Village Name,BISHUL,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC HARLAKHI(0005699573)
41,Madhubani,Harlakhi,HARLAKHI,BISUAL,23,Village Name,BISHUL,Shallow tubewell,Ground Water,P.S.BISHAUL,HandPump,SCHOOL T/W- HARLAKHI- 2(0006206012)
42,Madhubani,Harlakhi,HARLAKHI,BISUAL,24,Village Name,BISHUL,Shallow tubewell,Ground Water,P.S Mangpatti Harijan,HandPump,SCHOOL T/W- HARLAKHI- 2(0006206012)
43,Madhubani,Harlakhi,HARLAKHI,BISUAL,25,Village Name,BISHUL,Shallow tubewell,Ground Water,P.S Karuna Tole Bishaul,HandPump,SCHOOL T/W- HARLAKHI- 2(0006206012)
44,Madhubani,Harlakhi,HARLAKHI,BISUAL,26,Village Name,BISHUL,Deep tubewell,Ground Water,P.S.BISHAUL,HandPump,Spot Source(0002717459)
