id,Disctrict,AC,Block,Panchayat,,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,1,TENGRAR,BALAM PATTI,Shallow tubewell,Ground Water,Aw c-18,HandPump,ANGANWARDI T/W - LAUKHA(0006358853)
2,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,2,TENGRAR,BALAM PATTI,Shallow tubewell,Ground Water,Baiju Sah S/O Kameshw ar Sah Ke Ghar Ke Najdik Sadak Kinare,HandPump,MLA QOUTA- KHUTAUNA- 1(0006286403)
3,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,3,TENGRAR,BALAM PATTI,Shallow tubewell,Ground Water,Bishara Than Ke Najdik,HandPump,MLA QUOTA-LAUKAHA- 2(0005819161)
4,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,4,TENGRAR,BALAM PATTI,Shallow tubewell,Ground Water,Sajjan Lal Ray S/O Chunchun Ray Ghar Ke Najdik Sadak Kinare,HandPump,MLA QUOTA-LAUKAHA- 2(0005819161)
5,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,5,TENGRAR,BALAM PATTI,Shallow tubewell,Ground Water,School Me,HandPump,NC/PC LAUKAHA- 2(0005703356)
6,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,6,TENGRAR,BALAM PATTI,Shallow tubewell,Ground Water,Mandir Me,HandPump,NC/PC LAUKAHA- 2(0005703356)
7,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,7,TENGRAR,BALAM PATTI,Deep tubewell,Ground Water,Nc/Pc Scheme For Laukaha Block,SPOT,Nc/Pc Scheme For Laukaha Block(0004563365)
8,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,8,TENGRAR,BALAM PATTI,Shallow tubewell,Ground Water,P.S Balanpatti,HandPump,SCHOOL T/E-LAUKHA- 2(0006254374)
9,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,9,TENGRAR,BALAM PATTI,Shallow tubewell,Ground Water,P.S Navtol Balanpatti,HandPump,SCHOOL T/E-LAUKHA- 2(0006254374)
10,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,10,TENGRAR,BALAM PATTI,Shallow tubewell,Ground Water,N.P.S Balapatti Bahar East Tol,HandPump,SCHOOL T/W-LAUKHA- 1(0006252160)
11,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,11,TENGRAR,BALAM PATTI,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Spot Source (Ht) Scheme(0004690599)
12,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,12,TENGRAR,NAVTOL,Shallow tubewell,Ground Water,A,HandPump,NC/PC LAUKAHA(0006539931)
13,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,13,TENGRAR,NAVTOL,Deep tubewell,Ground Water,Nc/Pc Scheme For Laukaha Block,SPOT,Nc/Pc Scheme For Laukaha Block(0004563366)
14,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,14,TENGRAR,NAVTOL,Deep tubewell,Ground Water,Mushari Me,HandPump,Spot Source (Ht) Scheme(0004690599)
15,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,15,TENGRAR,NAVTOL,Shallow tubewell,Ground Water,BHOLA PASWAN,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W KHUTAUNA(0006682455)
16,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,16,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,Rajendra Sah S/O Khattar Sah Ke Ghar Ke Pas Sadak Kinare Jathi,HandPump,MLA QOUTA- KHUTAUNA-1(0006286403)
17,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,17,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,Amod Ram S/O Sri Kant Ram Ke Ghar Ke Pas Sadak Kinare,HandPump,MLA QOUTA- KHUTAUNA- 1(0006286403)
18,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,18,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,Dindayal Thakur S/O Lat Jandat Thakur Ke Ghar Ke Najdik Sadak Kinare,HandPump,MLA QOUTA- KHUTAUNA- 1(0006286403)
19,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,19,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,Biku Sah S/O Lat Thakay Sah Ke Ghar Ke Najdik Sadak Kinare,HandPump,MLA QOUTA- KHUTAUNA- 1(0006286403)
20,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,20,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,"Shambhu Ray S/O Ramnath Ray Ghar Ke Najdik Sadak Kinare,Chikani Tol",HandPump,MLA QUOTA-LAUKAHA- 2(0005819161)
21,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,21,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,"Ramsagar Sah S/O Met Motilal Sah Ghar Ke Nandik Sadak Kinare,Godh",HandPump,MLA QUOTA-LAUKAHA- 2(0005819161)
22,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,22,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,"Jhubar Saday S/O Mangal Saday Ghar Ke Najdik Sadak Kinare ,Godh",HandPump,MLA QUOTA-LAUKAHA- 2(0005819161)
23,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,23,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,P.MAK Murarpatti,HandPump,SCHOOL T/E-LAUKHA- 2(0006254374)
24,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,24,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,U.M.S Murarpatti,HandPump,SCHOOL T/E-LAUKHA- 2(0006254374)
25,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,25,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,U.M.S Jathi,HandPump,SCHOOL T/E-LAUKHA- 2(0006254374)
26,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,26,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,P.S Goth Parsahi,HandPump,SCHOOL T/E-LAUKHA- 2(0006254374)
27,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,27,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,N.P.S Mandal Tol Murarpatti,HandPump,SCHOOL T/E-LAUKHA- 2(0006254374)
28,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,28,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,N.P.S Jathi Mushari,HandPump,SCHOOL T/W-LAUKHA- 1(0006252160)
29,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,29,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,M.S Tengrar,HandPump,SCHOOL T/W-LAUKHA- 1(0006252160)
30,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,30,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,M.S Goti Parsahi,HandPump,SCHOOL T/W-LAUKHA- 1(0006252160)
31,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,31,TENGRAR,TENGRAR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001977250)
32,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,32,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,Dhanvir Saday Jathi,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD LAUKHA(0005819686)
33,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,33,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,Jangli Miya,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD LAUKHA(0005819686)
34,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,34,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,JAGDEV SADAY JATHI,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W KHUTAUNA(0006682455)
35,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,35,TENGRAR,TINPIPRA,Deep tubewell,Ground Water,Sarvjanik Asthan Me,HandPump,Harlakhi Spot Source Scheme(0004713242)
36,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,36,TENGRAR,TINPIPRA,Deep tubewell,Ground Water,Nc/Pc Scheme For Laukaha Block,SPOT,Nc/Pc Scheme For Laukaha Block(0004563367)
37,Madhubani,Laukaha,LAUKAHA,PARSHAI EAST,37,TENGRAR,TINPIPRA,Deep tubewell,Ground Water,Nc/Pc Scheme For Laukaha Block,HandPump,Spot Source Scheme(0004720604)
38,Madhubani,Laukaha,LAUKAHA,KARMEGH MADHYA,1,BARMOTAR,BRAHMOTAR,Shallow tubewell,Ground Water,Adhik Lal Saday S/O Garbhu Saday Ke Ghar Ke Najdik Sadak Kinare,HandPump,MLA QOUTA-KHUTAUNA- 1(0006286403)
39,Madhubani,Laukaha,LAUKAHA,KARMEGH MADHYA,2,BARMOTAR,BRAHMOTAR,Shallow tubewell,Ground Water,Roudi Saday S/O Dukhi Saday Ghar Ke Najdik Sadak Kinare,HandPump,MLA QUOTA-LAUKAHA- 1(0005818976)
40,Madhubani,Laukaha,LAUKAHA,KARMEGH MADHYA,3,BARMOTAR,BRAHMOTAR,Shallow tubewell,Ground Water,Sr Fal Saday S/O Sr Jhulli Saday Ghar Ke Najdik Sadak Kinare,HandPump,MLA QUOTA-LAUKAHA- 4(0005819513)
41,Madhubani,Laukaha,LAUKAHA,KARMEGH MADHYA,4,BARMOTAR,BRAHMOTAR,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC LAUKAHA-1(0005703100)
42,Madhubani,Laukaha,LAUKAHA,KARMEGH MADHYA,5,BARMOTAR,BRAHMOTAR,Shallow tubewell,Ground Water,P.S Brahmotra Donvari,HandPump,SCHOOL T/E-LAUKHA- 2(0006254374)
43,Madhubani,Laukaha,LAUKAHA,KARMEGH MADHYA,6,BARMOTAR,BRAHMOTAR,Shallow tubewell,Ground Water,P.S Brahmotra,HandPump,SCHOOL T/E-LAUKHA- 2(0006254374)
44,Madhubani,Laukaha,LAUKAHA,KARMEGH MADHYA,7,BARMOTAR,BRAHMOTAR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001977081)
45,Madhubani,Laukaha,LAUKAHA,KARMEGH MADHYA,8,BARMOTAR,BRAHMOTAR,Shallow tubewell,Ground Water,FAGUNI SADAY,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W KHUTAUNA(0006682455)
46,Madhubani,Laukaha,LAUKAHA,KARMEGH MADHYA,9,KARMEGH,BRAHMOTAR,Deep tubewell,Ground Water,Sadak Kinare- 2chapakal,HandPump,Jainagar Spot Source Scheme(0004740607)
47,Madhubani,Laukaha,LAUKAHA,KARMEGH MADHYA,10,KARMEGH,BRAHMOTAR,Shallow tubewell,Ground Water,A,HandPump,NC/PC LAUKAHA(0006539931)
48,Madhubani,Laukaha,LAUKAHA,KARMEGH MADHYA,11,KARMEGH,BRAHMOTAR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004086731)
49,Madhubani,Laukaha,LAUKAHA,KARMEGH MADHYA,12,KARMEGH,JOKAHI,Shallow tubewell,Ground Water,VIPIN YADAV,HandPump,NCPC KHTAUNA/LAUKAHA(0006500856)
50,Madhubani,Laukaha,LAUKAHA,KARMEGH MADHYA,13,KARMEGH,JOKAHI,Shallow tubewell,Ground Water,SATO YADAV,HandPump,NCPC KHTAUNA/LAUKAHA(0006500856)
51,Madhubani,Laukaha,LAUKAHA,KARMEGH MADHYA,14,KARMEGH,JOKAHI,Shallow tubewell,Ground Water,SATYANARAYAN YADAV,HandPump,NCPC KHTAUNA/LAUKAHA(0006500856)
52,Madhubani,Laukaha,LAUKAHA,KARMEGH MADHYA,15,KARMEGH,JOKAHI,Shallow tubewell,Ground Water,NUNU YADAV,HandPump,NCPC KHTAUNA/LAUKAHA(0006500856)
53,Madhubani,Laukaha,LAUKAHA,KARMEGH MADHYA,16,KARMEGH,JOKAHI,Shallow tubewell,Ground Water,SATO RAM,HandPump,NCPC KHTAUNA/LAUKAHA(0006500856)
54,Madhubani,Laukaha,LAUKAHA,KARMEGH MADHYA,17,KARMEGH,JOKAHI,Shallow tubewell,Ground Water,P.S Jokhi Purbi,HandPump,SCHOOL T/E-LAUKHA- 2(0006254374)
55,Madhubani,Laukaha,LAUKAHA,KARMEGH MADHYA,18,KARMEGH,JOKAHI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001977084)
56,Madhubani,Laukaha,LAUKAHA,KARMEGH MADHYA,19,KARMEGH,JOKAHI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002685048)
57,Madhubani,Laukaha,LAUKAHA,KARMEGH MADHYA,20,KARMEGH,JOKAHI,Shallow tubewell,Ground Water,Mushari,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD LAUKHA(0005819686)
58,Madhubani,Laukaha,LAUKAHA,KARMEGH MADHYA,21,KARMEGH,KAMALPUR,Shallow tubewell,Ground Water,Kalam Chook Ke Najdik Sadak Kinare,HandPump,MLA QUOTA-LAUKAHA- 1(0005818976)
