id,Disctrict,AC,Block,Panchayat,,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,Madhubani,Rajnagar,ANDHRATHARHI,HIRARI,1,BHABHAM,BHAWAM,Shallow tubewell,Ground Water,Nagendra Ram And Shambhu Ram Ghar Ke Samne Sadak Kinare,HandPump,MLA QOUTA-ANDHRATHADI- 1(0006436760)
2,Madhubani,Rajnagar,ANDHRATHARHI,HIRARI,2,BHABHAM,BHAWAM,Shallow tubewell,Ground Water,Ujjabal Kumar Jha And Lalit Jha Ghar Ke Samne Sadak Kinare Brahman Tol,HandPump,MLA QOUTA-ANDHRATHADI- 1(0006436760)
3,Madhubani,Rajnagar,ANDHRATHARHI,HIRARI,3,BHABHAM,BHAWAM,Shallow tubewell,Ground Water,ROAD SIDE,andPump I,NC/PC ANDHRATHARHI(0005692671)
4,Madhubani,Rajnagar,ANDHRATHARHI,HIRARI,4,BHABHAM,BHAWAM,Shallow tubewell,Ground Water,P.S Bhabham,HandPump,SCHOOL T/W- ANDHRATHADI(0006161407)
5,Madhubani,Rajnagar,ANDHRATHARHI,HIRARI,5,BHABHAM,BHAWAM,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002678822)
6,Madhubani,Rajnagar,ANDHRATHARHI,HIRARI,6,BHABHAM,BHAWAM,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001973667)
7,Madhubani,Rajnagar,ANDHRATHARHI,HIRARI,7,BHABHAM,BHAWAM,Shallow tubewell,Ground Water,LAXMI YADAV,HandPump,SUSTABABLE ANDHRATHADI(0006500559)
8,Madhubani,Rajnagar,ANDHRATHARHI,HIRARI,8,BHABHAM,BHAWAM,Shallow tubewell,Ground Water,RAJEEV KUMAR JHA,HandPump,SUSTABABLE ANDHRATHADI(0006500559)
9,Madhubani,Rajnagar,ANDHRATHARHI,HIRARI,9,BHABHAM,BHAWAM,Shallow tubewell,Ground Water,SUKHRAJ SINGH,HandPump,SUSTABABLE ANDHRATHADI(0006500559)
10,Madhubani,Rajnagar,ANDHRATHARHI,HIRARI,10,HARRI,AKDARA MUSAHARI,Deep tubewell,Ground Water,Non Mandatory- 3 NOS,HandPump,Spot Sourse(0001973666)
