"S. No.","State","District","AC","Block","Panchayat","Village","Habitation","Location","Type Of Source","Lab Name","Testing Date","Above Permissible Limit & (6.5 < pH > 8.5) (Mandatory*)","Below Permissible Limit (Mandatory*)","Above Permissible Limit (Emerging / Other**)","Below Permissible Limit (Emerging / Other**)"
1,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","DAKSHINI PATJIRWA","DACHEN PATJARWA","BIN TOLA","Nc/Pc Scheme For Bairia Block / SC4447932","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.23 Mg/l],Fluoride[0.54 Mg/l],pH[7.12 PH],TDS[374.00 Mg/l]",,"Turbidity[1.00 NTU]"
2,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","DAKSHINI PATJIRWA","DACHEN PATJARWA","DACHEN PATZARWA","SC1715521","Shallow Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.29 Mg/l],Fluoride[0.44 Mg/l],pH[7.11 PH],TDS[355.00 Mg/l]",,"Turbidity[1.00 NTU]"
3,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","DAKSHINI PATJIRWA","DACHEN PATJARWA","GORRAHIYA","Nc/Pc Scheme For Bairia Block / SC4447933","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.27 Mg/l],Fluoride[0.54 Mg/l],pH[7.11 PH],TDS[348.00 Mg/l]",,"Turbidity[1.00 NTU]"
4,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","DAKSHINI PATJIRWA","DACHEN PATJARWA","JAHWA TOLA","Nc/Pc Scheme For Bairia Block / SC4447934","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.20 Mg/l],Fluoride[0.69 Mg/l],pH[7.22 PH],TDS[395.00 Mg/l]",,"Turbidity[2.00 NTU]"
5,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","DAKSHINI PATJIRWA","DACHEN PATJARWA","JAHWA TOLA","Inside Habitation / SC4664620","Shallow Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.24 Mg/l],Fluoride[0.54 Mg/l],pH[7.11 PH],TDS[375.00 Mg/l]",,"Turbidity[1.00 NTU]"
6,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","DAKSHINI PATJIRWA","DACHEN PATJARWA","LALA TOLA","Nc/Pc Scheme For Bairia Block / SC4447935","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.25 Mg/l],Fluoride[0.58 Mg/l],pH[7.24 PH],TDS[384.00 Mg/l]",,"Turbidity[2.00 NTU]"
7,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","DAKSHINI PATJIRWA","DACHEN PATJARWA","RANHA","Nc/Pc Scheme For Bairia Block / SC4447936","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.23 Mg/l],Fluoride[0.65 Mg/l],pH[7.10 PH],TDS[356.00 Mg/l]",,"Turbidity[1.00 NTU]"
8,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","FULIYAKHAR","ARAZI BANDOBASTI PHULIA KHANR","A. BANDOBASTI PHULIYAKHAR","SC1715527","Shallow Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.24 Mg/l],Fluoride[0.43 Mg/l],pH[7.15 PH],TDS[361.00 Mg/l]",,"Turbidity[1.00 NTU]"
9,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","FULIYAKHAR","ARAZI BANDOBASTI PHULIA KHANR","KHAIRA TOLA","Nc/Pc Scheme For Bairia Block / SC4447937","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.94 Mg/l],pH[7.16 PH],TDS[375.00 Mg/l]",,"Turbidity[1.00 NTU]"
10,"BIHAR","PASHCHIM CHAMPARAN","Nautan","BAIRIA","FULIYAKHAR","BALDEW PANDITWA","BALDEO PANDITHWA","SC1715535","Shallow Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.24 Mg/l],Fluoride[0.54 Mg/l],pH[7.12 PH],TDS[374.00 Mg/l]",,"Turbidity[1.00 NTU]"
