id,Disctrict,AC,Block,Panchayat,,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,Pashchim Champaran,Bettiah,MAJHAULIA,RAJABHAR,1,RAJABHAR,BIN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545717)
2,Pashchim Champaran,Bettiah,MAJHAULIA,RAJABHAR,2,RAJABHAR,CHAMR TOLI,Deep tubewell,Ground Water,Near Chauraha,HandPump,Majhauliya Scheme(0007065609)
3,Pashchim Champaran,Bettiah,MAJHAULIA,RAJABHAR,3,RAJABHAR,CHAMR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545718)
4,Pashchim Champaran,Bettiah,MAJHAULIA,RAJABHAR,4,RAJABHAR,KANU TOLI,Deep tubewell,Ground Water,Kharanja Road Side,HandPump,Majhauliya Scheme(0007065609)
5,Pashchim Champaran,Bettiah,MAJHAULIA,RAJABHAR,5,RAJABHAR,KANU TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545719)
6,Pashchim Champaran,Bettiah,MAJHAULIA,RAJABHAR,6,RAJABHAR,MALAH TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545720)
7,Pashchim Champaran,Bettiah,MAJHAULIA,RAJABHAR,7,RAJABHAR,RAJHA BHAR,Deep tubewell,Ground Water,,HandPump,Majhauliya Scheme(0004100962)
8,Pashchim Champaran,Bettiah,MAJHAULIA,RAJABHAR,8,RAJABHAR,TATWA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545721)
9,Pashchim Champaran,Bettiah,MAJHAULIA,JAWKATIYA,1,JAWKATIA,AHIR TOLI,Deep tubewell,Ground Water,,HandPump,Majhauliya Scheme(0004100997)
10,Pashchim Champaran,Bettiah,MAJHAULIA,JAWKATIYA,2,JAWKATIA,AHIR TOLI,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,MAJHAULIYA SCHEME(0006551673)
11,Pashchim Champaran,Bettiah,MAJHAULIA,JAWKATIYA,3,JAWKATIA,AHIR TOLI,Deep tubewell,Ground Water,MOR PAR,HandPump,MAJHAULIYA SCHEME(0006551673)
12,Pashchim Champaran,Bettiah,MAJHAULIA,JAWKATIYA,4,JAWKATIA,BIN TOLI,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,MAJHAULIYA SCHEME(0006551775)
13,Pashchim Champaran,Bettiah,MAJHAULIA,JAWKATIYA,5,JAWKATIA,BIN TOLI,Deep tubewell,Ground Water,MOR PAR,HandPump,MAJHAULIYA SCHEME(0006551775)
14,Pashchim Champaran,Bettiah,MAJHAULIA,JAWKATIYA,6,JAWKATIA,BIN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545640)
15,Pashchim Champaran,Bettiah,MAJHAULIA,JAWKATIYA,7,JAWKATIA,CHAMAR TOLI,Deep tubewell,Ground Water,,HandPump,Majhauliya Scheme(0004101018)
16,Pashchim Champaran,Bettiah,MAJHAULIA,JAWKATIYA,8,JAWKATIA,CHAMAR TOLI,Deep tubewell,Ground Water,Near Pokhara,HandPump,Majhauliya Scheme(0007065609)
17,Pashchim Champaran,Bettiah,MAJHAULIA,JAWKATIYA,9,JAWKATIA,INDRA NAGAR,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,MAJHAULIYA SCHEME(0006551852)
