"ID","District","AC","Block","SL.No.","GP Name","Total Detail Entered (With & Without Toilet) BLS-2012","BPL (2012)","Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified  Identified, APL, 2012)","Total (BPL�Ã�²�ï�¿�½)","Total HH Identified","No.of HH entered by name [2013-14]","No. of Households covered 2014-2015 (including unapproved)","Total No. of Households Covered after Survey 2012","No.of HH reported by name [2015-16]"
1,"Saharsa","Mahishi","Mahishi",1,"AARA PATTI ",2233,1523,15,196,211,1734,1538,0,0,0,0
2,"Saharsa","Mahishi","Mahishi",2,"AINA ",1712,913,507,0,507,1420,1420,0,0,0,0
3,"Saharsa","Mahishi","Mahishi",3,"BAGHWA ",2293,1315,10,485,495,1810,1325,0,2,2,0
4,"Saharsa","Mahishi","Mahishi",4,"BHELAHI ",2257,766,1,620,621,1387,767,0,0,0,0
5,"Saharsa","Mahishi","Mahishi",5,"GHONGHEPUR ",2299,1814,2,2,4,1818,1816,0,15,15,0
6,"Saharsa","Mahishi","Mahishi",6,"JHARA ",2030,1521,206,0,206,1727,1727,0,0,0,0
7,"Saharsa","Mahishi","Mahishi",7,"KUNDAH ",1737,1307,225,74,299,1606,1532,0,0,0,0
8,"Saharsa","Mahishi","Mahishi",8,"MAHISARHO ",2763,2229,17,137,154,2383,2246,0,3,3,7
9,"Saharsa","Mahishi","Mahishi",9,"MAHISHI SOUTH ",1983,1137,20,0,20,1157,1157,0,0,0,0
10,"Saharsa","Mahishi","Mahishi",10,"MAHISHI NORTH ",2875,715,446,0,446,1161,1161,0,45,45,0
11,"Saharsa","Mahishi","Mahishi",11,"MANOVAR ",2511,1530,778,0,778,2308,2308,0,6,6,0
12,"Saharsa","Mahishi","Mahishi",12,"NAHARWAR ",2159,1589,304,0,304,1893,1893,0,0,0,0
13,"Saharsa","Mahishi","Mahishi",13,"PASTWAR ",2464,1394,532,73,605,1999,1926,0,1,1,0
14,"Saharsa","Mahishi","Mahishi",14,"RAJANPUR ",2230,1518,345,0,345,1863,1863,0,19,19,0
15,"Saharsa","Mahishi","Mahishi",15,"SIRWAR BIRWAR ",2268,1263,262,371,633,1896,1525,0,0,0,0
16,"Saharsa","Mahishi","Mahishi",16,"TELHAR ",2255,1082,335,224,559,1641,1417,0,11,11,0
17,"Saharsa","Mahishi","Mahishi",17,"TELWA EAST ",2242,1357,575,0,575,1932,1932,0,0,0,0
18,"Saharsa","Mahishi","Mahishi",18,"TELWA WEST ",2251,15,1866,0,1866,1881,1881,0,5,5,0
19,"Saharsa","Mahishi","Mahishi",19,"VIRGAON ",2158,1258,194,0,194,1452,1452,0,22,22,0
20,"Saharsa","Mahishi","Nauhatt",1,"BAKUNIA ",2328,1485,487,0,487,1972,1972,0,0,0,0
21,"Saharsa","Mahishi","Nauhatt",2,"CHANDRAIN ",2348,1025,402,1,403,1428,1427,0,41,41,0
22,"Saharsa","Mahishi","Nauhatt",3,"DARHAR ",2250,2094,0,0,0,2094,2094,0,0,0,0
23,"Saharsa","Mahishi","Nauhatt",4,"HATI ",2583,1677,504,0,504,2181,2181,0,12,12,0
24,"Saharsa","Mahishi","Nauhatt",5,"KASHIMPUR ",2618,1516,599,3,602,2118,2115,0,0,0,0
25,"Saharsa","Mahishi","Nauhatt",6,"KEDLI ",2570,1646,577,0,577,2223,2223,0,0,0,0
26,"Saharsa","Mahishi","Nauhatt",7,"KHARKA TELWA ",2717,1295,249,714,963,2258,1544,0,8,8,0
27,"Saharsa","Mahishi","Nauhatt",8,"MOHANPUR ",2570,2046,469,55,524,2570,2515,0,0,0,0
28,"Saharsa","Mahishi","Nauhatt",9,"MURADPUR ",2605,1333,660,45,705,2038,1993,0,16,16,7
