id,Disctrict,AC,Block,Panchayat,,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,Saharsa,Mahishi,NAUHATTA,MURADPUR,1,BHUSWAR,BHUSWAR,Shallow tubewell,Ground Water,Aganw adis Center Middle School Muradpur Code- 131,HandPump,Angaw adis(0004952560)
2,Saharsa,Mahishi,NAUHATTA,MURADPUR,2,BHUSWAR,BHUSWAR,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006529268)
3,Saharsa,Mahishi,NAUHATTA,MURADPUR,3,BHUSWAR,BHUSWAR,Shallow tubewell,Ground Water,Near Post Office,HandPump,HP-IRP(0005823359)
4,Saharsa,Mahishi,NAUHATTA,MURADPUR,4,BHUSWAR,BHUSWAR,Shallow tubewell,Ground Water,: BHUSWAR,HandPump,NC/PC(0002400738)
5,Saharsa,Mahishi,NAUHATTA,MURADPUR,5,BHUSWAR,HARIJAN TOLA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006529271)
6,Saharsa,Mahishi,NAUHATTA,MURADPUR,6,BHUSWAR,HARIJAN TOLA,Deep tubewell,Ground Water,Sw arup Sada,HandPump,IM-II Hand Pump(0006593001)
7,Saharsa,Mahishi,NAUHATTA,MURADPUR,7,BHUSWAR,HARIJAN TOLA,Shallow tubewell,Ground Water,HARIJAN TOLA,HandPump,NC/PC(0002400740)
8,Saharsa,Mahishi,NAUHATTA,MURADPUR,8,BHUSWAR,RAJPUT TOLA,Shallow tubewell,Ground Water,NEAR RAJPUT TOLA,HandPump,NC/PC(0004533868)
9,Saharsa,Mahishi,NAUHATTA,MURADPUR,9,BHUSWAR,TIYAR TOLA,Shallow tubewell,Ground Water,NEAR TIYAR TOLA,HandPump,NC/PC(0004533875)
10,Saharsa,Mahishi,NAUHATTA,MURADPUR,10,BHUSWAR,YOGENDRA RAM TOLA,Shallow tubewell,Ground Water,NEAR YOGENDRA RAM TOLA,HandPump,NC/PC(0004533884)
11,Saharsa,Mahishi,NAUHATTA,MURADPUR,11,DHARHARA,BANIA TOLA,Shallow tubewell,Ground Water,NEAR BANIA TOLA,HandPump,NC/PC(0004533892)
12,Saharsa,Mahishi,NAUHATTA,MURADPUR,12,DHARHARA,BANIA TOLA,Deep tubewell,Ground Water,T/W 1,HandPump,QA Scheme For Nauhatta(0007096937)
13,Saharsa,Mahishi,NAUHATTA,MURADPUR,13,DHARHARA,COLONY CHAOUK,Shallow tubewell,Ground Water,IN TOLA,HandPump,NC/PC(0002400743)
14,Saharsa,Mahishi,NAUHATTA,MURADPUR,14,DHARHARA,COLONY CHAOUK,Deep tubewell,Ground Water,T/W 1,HandPump,QA Scheme For Nauhatta(0007096937)
15,Saharsa,Mahishi,NAUHATTA,MURADPUR,15,DHARHARA,DHARHARA,Shallow tubewell,Ground Water,IN TOLA,HandPump,HP-IRP(0003804741)
16,Saharsa,Mahishi,NAUHATTA,MURADPUR,16,DHARHARA,DHARHARA,Shallow tubewell,Ground Water,Near Krishna Mandir,HandPump,HP-IRP(0005823392)
17,Saharsa,Mahishi,NAUHATTA,MURADPUR,17,DHARHARA,DHARHARA,Deep tubewell,Ground Water,DHARHARA,PWS,Mini PWS(0005643225)
18,Saharsa,Mahishi,NAUHATTA,MURADPUR,18,DHARHARA,DHARHARA,Shallow tubewell,Ground Water,IN TOLA,HandPump,NC/PC(0001957397)
19,Saharsa,Mahishi,NAUHATTA,MURADPUR,19,DHARHARA,DOM TOLA,Shallow tubewell,Ground Water,,HandPump,NC/PC(0002400744)
20,Saharsa,Mahishi,NAUHATTA,MURADPUR,20,DHARHARA,DOM TOLA,Deep tubewell,Ground Water,T/W 1,HandPump,QA Scheme For Nauhatta(0007096937)
21,Saharsa,Mahishi,NAUHATTA,MURADPUR,21,DHARHARA,HIGH SCHOLL TOLA,Deep tubewell,Ground Water,In Tola,HandPump,HP IRP(0006529273)
22,Saharsa,Mahishi,NAUHATTA,MURADPUR,22,DHARHARA,HIGH SCHOLL TOLA,Shallow tubewell,Ground Water,NEAR HIGH SCHOLL TOLA,HandPump,NC/PC(0004533899)
23,Saharsa,Mahishi,NAUHATTA,MURADPUR,23,DHARHARA,PASI TLA,Shallow tubewell,Ground Water,PASI TOLA,HandPump,HP-IRP(0003805853)
24,Saharsa,Mahishi,NAUHATTA,MURADPUR,24,DHARHARA,PASI TLA,Shallow tubewell,Ground Water,PASI TOLA,HandPump,NC/PC 2012- 13(0004724254)
25,Saharsa,Mahishi,NAUHATTA,MURADPUR,25,DHARHARA,PASI TLA,Shallow tubewell,Ground Water,IN TOLA,HandPump,NC/PC(0001957399)
26,Saharsa,Mahishi,NAUHATTA,MURADPUR,26,DHARHARA,RAEN TOLA,Shallow tubewell,Ground Water,REAN TOLA,HandPump,NC/PC 2012- 13(0004729982)
27,Saharsa,Mahishi,NAUHATTA,MURADPUR,27,DHARHARA,RAEN TOLA,Shallow tubewell,Ground Water,REAN TOLA,HandPump,NC/PC(0004114982)
28,Saharsa,Mahishi,NAUHATTA,MURADPUR,28,DHARHARA,REFLAR HOSPITAL TOLA,Shallow tubewell,Ground Water,REFLAR HOSPITAL TOLA,HandPump,NC/PC 2012- 13(0004729991)
