id,Disctrict,AC,Block,Panchayat,,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,Supaul,Chattapur,CHHATAPUR,SOHATHA,1,DATHI RATANSAR,MANDAL TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatapur Spot Source Scheme(0004016296)
2,Supaul,Chattapur,CHHATAPUR,SOHATHA,2,DATHI RATANSAR,MANDAL TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatapur Spot Source Scheme(0004016296)
3,Supaul,Chattapur,CHHATAPUR,SOHATHA,3,DATHI RATANSAR,MANDAL TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
4,Supaul,Chattapur,CHHATAPUR,SOHATHA,4,DATHI RATANSAR,MANDAL TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatarpur Sohatha Hp(0004678697)
5,Supaul,Chattapur,CHHATAPUR,SOHATHA,5,DATHI RATANSAR,MINYAN TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatapur Spot Source Scheme(0004016296)
6,Supaul,Chattapur,CHHATAPUR,SOHATHA,6,DATHI RATANSAR,MINYAN TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
7,Supaul,Chattapur,CHHATAPUR,SOHATHA,7,DATHI RATANSAR,MINYAN TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatarpur Sohatha Hp(0004678697)
8,Supaul,Chattapur,CHHATAPUR,SOHATHA,8,DATHI RATANSAR,MUSAHAR TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatapur Spot Source Scheme(0004016296)
9,Supaul,Chattapur,CHHATAPUR,SOHATHA,9,DATHI RATANSAR,MUSAHAR TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
10,Supaul,Chattapur,CHHATAPUR,SOHATHA,10,DATHI RATANSAR,MUSAHAR TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
11,Supaul,Chattapur,CHHATAPUR,SOHATHA,11,DATHI RATANSAR,MUSAHAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatarpur Sohatha Hp(0004678697)
12,Supaul,Chattapur,CHHATAPUR,SOHATHA,12,DATHI RATANSAR,PATHI RATANSAR,Deep Tubew ell,Ground Water,,HandPump,Chhatapur Spot Source Scheme(0004016296)
13,Supaul,Chattapur,CHHATAPUR,SOHATHA,13,DATHI RATANSAR,PATHI RATANSAR,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
14,Supaul,Chattapur,CHHATAPUR,SOHATHA,14,DATHI RATANSAR,PATHI RATANSAR,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
15,Supaul,Chattapur,CHHATAPUR,SOHATHA,15,DATHI RATANSAR,PATHI RATANSAR,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatarpur Sohatha Hp(0004678697)
16,Supaul,Chattapur,CHHATAPUR,SOHATHA,16,DATHI RATANSAR,SARDAR TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatapur Spot Source Scheme(0004016296)
17,Supaul,Chattapur,CHHATAPUR,SOHATHA,17,DATHI RATANSAR,SARDAR TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
18,Supaul,Chattapur,CHHATAPUR,SOHATHA,18,DATHI,SARDAR,Deep,Ground,Inside,HandPump,Chhatarpur Sohatha
19,Supaul,Chattapur,CHHATAPUR,SOHATHA,19,DATHI RATANSAR,SARDAR TOLA I,Deep Tubew ell,Ground Water,T/W 1,HandPump,Chhatapur Spot Source Scheme(0007084845)
20,Supaul,Chattapur,CHHATAPUR,SOHATHA,20,DATHI RATANSAR,SARDAR TOLA I,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Chhatapur Block,SPOT,Nc/Pc Scheme For Chhatapur Block(0004532708)
21,Supaul,Chattapur,CHHATAPUR,SOHATHA,21,DATHI RATANSAR,SARDAR TOLA I,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004532708)
22,Supaul,Chattapur,CHHATAPUR,SOHATHA,22,DATHI RATANSAR,SARDAR TOLA I,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004532708)
23,Supaul,Chattapur,CHHATAPUR,SOHATHA,23,DATHI RATANSAR,SARDAR TOLA II,Deep Tubew ell,Ground Water,,HandPump,(Madhopur) Chhatapur Iron Aff. Habitation Scheme(0005648324)
24,Supaul,Chattapur,CHHATAPUR,SOHATHA,24,DATHI RATANSAR,SARDAR TOLA II,Deep Tubew ell,Ground Water,,HandPump,(Madhopur) Chhatapur Iron Aff. Habitation Scheme(0005648324)
25,Supaul,Chattapur,CHHATAPUR,SOHATHA,25,DATHI RATANSAR,SARDAR TOLA II,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004532709)
26,Supaul,Chattapur,CHHATAPUR,SOHATHA,26,DATHI RATANSAR,SARDAR TOLA II,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004532709)
27,Supaul,Chattapur,CHHATAPUR,SOHATHA,27,DATHI RATANSAR,SARDAR TOLA II,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Chhatapur Block,SPOT,Nc/Pc Scheme For Chhatapur Block(0004532709)
28,Supaul,Chattapur,CHHATAPUR,SOHATHA,28,PATTI NIYAMAT URF GIRDHARPATTI,MANDAL TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatapur Spot Source Scheme(0004016296)
29,Supaul,Chattapur,CHHATAPUR,SOHATHA,29,PATTI NIYAMAT URF GIRDHARPATTI,MANDAL TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
30,Supaul,Chattapur,CHHATAPUR,SOHATHA,30,PATTI NIYAMAT URF GIRDHARPATTI,MANDAL TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatarpur Sohatha Hp(0004678697)
31,Supaul,Chattapur,CHHATAPUR,SOHATHA,31,PATTI NIYAMAT URF GIRDHARPATTI,MINYA TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatapur Spot Source Scheme(0004016296)
32,Supaul,Chattapur,CHHATAPUR,SOHATHA,32,PATTI NIYAMAT URF GIRDHARPATTI,MINYA TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
33,Supaul,Chattapur,CHHATAPUR,SOHATHA,33,PATTI NIYAMAT URF GIRDHARPATTI,MINYA TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
34,Supaul,Chattapur,CHHATAPUR,SOHATHA,34,PATTI NIYAMAT URF GIRDHARPATTI,MINYA TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatarpur Sohatha Hp(0004678697)
35,Supaul,Chattapur,CHHATAPUR,SOHATHA,35,PATTI NIYAMAT URF GIRDHARPATTI,MUSAHARI,Deep Tubew ell,Ground Water,T/W 1,HandPump,Chhatapur Spot Source Scheme(0007084845)
36,Supaul,Chattapur,CHHATAPUR,SOHATHA,36,PATTI NIYAMAT URF GIRDHARPATTI,MUSAHARI,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Chhatapur Block,SPOT,Nc/Pc Scheme For Chhatapur Block(0004532710)
37,Supaul,Chattapur,CHHATAPUR,SOHATHA,37,PATTI NIYAMAT URF GIRDHARPATTI,MUSAHARI,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004532710)
38,Supaul,Chattapur,CHHATAPUR,SOHATHA,38,PATTI NIYAMAT URF GIRDHARPATTI,MUSAHARI,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004532710)
39,Supaul,Chattapur,CHHATAPUR,SOHATHA,39,PATTI NIYAMAT URF GIRDHARPATTI,PATTI NIYAMAT,Deep Tubew ell,Ground Water,,HandPump,Chhatapur Spot Source Scheme(0004016296)
40,Supaul,Chattapur,CHHATAPUR,SOHATHA,40,PATTI NIYAMAT URF GIRDHARPATTI,PATTI NIYAMAT,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
41,Supaul,Chattapur,CHHATAPUR,SOHATHA,41,PATTI NIYAMAT URF GIRDHARPATTI,PATTI NIYAMAT,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
42,Supaul,Chattapur,CHHATAPUR,SOHATHA,42,PATTI NIYAMAT URF GIRDHARPATTI,PATTI NIYAMAT,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
43,Supaul,Chattapur,CHHATAPUR,SOHATHA,43,PATTI NIYAMAT URF GIRDHARPATTI,PATTI NIYAMAT,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatarpur Sohatha Hp(0004678697)
