"ID","District","Ac","Block","SL.No.","GP Name","Total Detail Entered (With & Without Toilet) BLS-2012","BPL (2012)","Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified  Identified, APL, 2012)","Total (BPL�ï�¿�½�Ã��ï�¿�½�Â�²�ï�¿�½�Ã�¯�ï�¿�½�Â�¿�ï�¿�½�Â�½)","Total HH Identified","No.of HH entered by name [2013-14]","No. of Households covered 2014-2015 (including unapproved)","Total No. of Households Covered after Survey 2012","No.of HH reported by name [2015-16]"
1,"Supaul","Nirmali","Nirmali",1,"BELA SINGAR MOTI ",2045,1257,300,314,614,1871,1557,0,0,0,0
2,"Supaul","Nirmali","Nirmali",2,"DAGMARA ",3489,3244,8,0,8,3252,3252,0,0,0,0
3,"Supaul","Nirmali","Nirmali",3,"DIGHIYA ",2308,1472,651,0,651,2123,2123,0,0,0,8
4,"Supaul","Nirmali","Nirmali",4,"HARYAHI ",1749,1202,418,0,418,1620,1620,0,0,0,0
5,"Supaul","Nirmali","Nirmali",5,"KAMALPUR ",3243,1960,801,1,802,2762,2761,0,114,114,0
6,"Supaul","Nirmali","Nirmali",6,"KUNAOLEE ",3176,2638,274,0,274,2912,2912,0,0,0,48
7,"Supaul","Nirmali","Nirmali",7,"MAJARI ",1941,1408,309,3,312,1720,1717,0,0,0,0
8,"Supaul","Nirmali","Raghopur",1,"BAURAHA ",2706,1928,642,1,643,2571,2570,0,23,23,11
9,"Supaul","Nirmali","Raghopur",2,"BAYASI ",2821,2692,0,0,0,2692,2692,0,0,0,22
10,"Supaul","Nirmali","Raghopur",3,"BISANPUR DAULAT ",3030,1512,954,398,1352,2864,2466,0,0,0,0
11,"Supaul","Nirmali","Raghopur",4,"CHAMPA NAGAR ",1785,1342,145,222,367,1709,1487,0,12,12,10
12,"Supaul","Nirmali","Raghopur",5,"DEWIPUR ",3236,2755,255,5,260,3015,3010,0,13,13,12
13,"Supaul","Nirmali","Raghopur",6,"DHARAHARA ",3144,2523,118,0,118,2641,2641,0,110,110,33
14,"Supaul","Nirmali","Raghopur",7,"DUMARI ",2362,1341,408,0,408,1749,1749,0,2,2,3
15,"Supaul","Nirmali","Raghopur",8,"FINGLASH ",2393,2168,104,0,104,2272,2272,0,6,6,36
16,"Supaul","Nirmali","Raghopur",9,"HARIPUR ",2117,1402,568,0,568,1970,1970,0,0,0,0
17,"Supaul","Nirmali","Raghopur",10,"HARIRAHA ",2994,1959,815,0,815,2774,2774,0,10,10,0
18,"Supaul","Nirmali","Raghopur",11,"HULASH ",3076,590,3,0,3,593,593,0,0,0,0
19,"Supaul","Nirmali","Raghopur",12,"KARJAIN ",3408,3062,122,0,122,3184,3184,0,8,8,0
20,"Supaul","Nirmali","Raghopur",13,"MOTIPUR ",2572,2087,379,0,379,2466,2466,0,0,0,14
21,"Supaul","Nirmali","Raghopur",14,"PERMANAND PUR ",3043,2075,815,0,815,2890,2890,0,0,0,40
22,"Supaul","Nirmali","Raghopur",15,"PIPARAHI ",2802,2586,0,0,0,2586,2586,0,9,9,1
23,"Supaul","Nirmali","Raghopur",16,"RAGHOPUR ",3392,2997,0,0,0,2997,2997,0,5,5,9
24,"Supaul","Nirmali","Raghopur",17,"RAM BISHANPUR ",1964,1768,15,0,15,1783,1783,0,0,0,1
25,"Supaul","Nirmali","Raghopur",18,"SIMARAHI ",2958,1618,1000,58,1058,2676,2618,0,1,1,0
26,"Supaul","Nirmali","Saraigarh Bhaptiyahi",1,"BANAI NIYA ",2491,2219,0,0,0,2219,2219,0,0,0,0
27,"Supaul","Nirmali","Saraigarh Bhaptiyahi",2,"BHAPTIYAHEE ",2157,1832,40,0,40,1872,1872,0,0,0,0
28,"Supaul","Nirmali","Saraigarh Bhaptiyahi",3,"CHANDPIPER ",2323,1864,266,0,266,2130,2130,0,0,0,0
29,"Supaul","Nirmali","Saraigarh Bhaptiyahi",4,"CHHIRHI HANUMANNAGAR ",2687,1927,569,1,570,2497,2496,0,0,0,7
30,"Supaul","Nirmali","Saraigarh Bhaptiyahi",5,"DHOLI ",1988,1393,457,0,457,1850,1850,0,0,0,0
31,"Supaul","Nirmali","Saraigarh Bhaptiyahi",6,"JHALA DUMRI ",3248,2178,886,0,886,3064,3064,0,0,0,36
32,"Supaul","Nirmali","Saraigarh Bhaptiyahi",7,"LALGANG BEGWA TENGRAHA ",1485,933,433,1,434,1367,1366,0,0,0,0
33,"Supaul","Nirmali","Saraigarh Bhaptiyahi",8,"LOKHA ",2085,1290,625,0,625,1915,1915,0,0,0,36
34,"Supaul","Nirmali","Saraigarh Bhaptiyahi",9,"MURLI ",1688,1256,73,62,135,1391,1329,0,0,0,0
35,"Supaul","Nirmali","Saraigarh Bhaptiyahi",10,"PIPRA KHURD ",2512,1554,763,28,791,2345,2317,0,0,0,52
36,"Supaul","Nirmali","Saraigarh Bhaptiyahi",11,"SARIAGARH ",2893,2157,483,0,483,2640,2640,0,51,51,0
37,"Supaul","Nirmali","Saraigarh Bhaptiyahi",12,"SHAHPUR PRITHI BIPATI ",2113,1822,94,0,94,1916,1916,0,0,0,0
