"Sno.","Village Name","Habitation Name","Source Type","Source Type Category Location","Location","Type","Scheme Name"
1,"BAHADURPUR","BAHADURPUR","Shallow Tubew ell","Ground Water",,"HandPump","ALAULI H.T. Water Supply Scheme(0001986156)"
2,"BAHADURPUR","BAHADURPUR","Shallow Tubew ell","Ground Water",,"HandPump","ALAULI H.T. Water Supply Scheme(0001986156)"
3,"BAHADURPUR","BAHADURPUR","Shallow Tubew ell","Ground Water",,"HandPump","ALAULI H.T. Water Supply Scheme(0001986156)"
4,"BAHADURPUR","BAHADURPUR","Shallow Tubew ell","Ground Water",,"HandPump","ALAULI H.T. Water Supply Scheme(0001986156)"
5,"BAHADURPUR","BAHADURPUR","Shallow Tubew ell","Ground Water",,"HandPump","ALAULI H.T. Water Supply Scheme(0001986156)"
6,"BAHADURPUR","BAHADURPUR","Deep Tubew ell","Ground Water","Garamin Bank","HandPump","IM II T/W NRDWP SUSTAINABLE(Sri Abhishek Kumar, F- 2/3/2013-14) (0006492566)"
7,"BAHADURPUR","BAHADURPUR","Shallow Tubew ell","Ground Water",,"HandPump","INSTALLATION OF HAND PUMPS(0001960242)"
8,"BAHADURPUR","BAHADURPUR","Shallow Tubew ell","Ground Water","BHARAT YADAV","HandPump","INSTALLATION OF HAND PUMPS(0001962065)"
9,"BAHADURPUR","BAHADURPUR","Shallow Tubew ell","Ground Water","SATYANARAYAN YADAV","HandPump","INSTALLATION OF HAND PUMPS(0001962071)"
10,"BAHADURPUR","BAHADURPUR","Shallow Tubew ell","Ground Water","HIGH SCHOOL BAHADURPUR","HandPump","SINKKING OF T/W WITH I R P(0006490276)"
11,"BAHADURPUR","BAHADURPUR","Shallow Tubew ell","Ground Water","Sri Mahendra Ram","HandPump","Sinkking Of T/W With I R P(Anil Kr F2/11/09- 10)(0006493525)"
12,"BAHADURPUR","BAHADURPUR","Shallow Tubew ell","Ground Water","Sri Amarnath Kumar Yadav","HandPump","Sinkking Of T/W With I R P(Anil Kr F2/11/09- 10)(0006493525)"
13,"BAHADURPUR","BAHADURPUR","Shallow Tubew ell","Ground Water","Shiv Mandir","HandPump","Sustainable T/W(0006952680)"
14,"BAHADURPUR","LAXMI PUR","Shallow Tubew ell","Ground Water",,"HandPump","ALAULI H.T. Water Supply Scheme(0001986156)"
15,"BAHADURPUR","NAYA BAS","Shallow Tubew ell","Ground Water",,"HandPump","Alauli New  Sinking H.T. Water Supply(0001988594)"
16,"BAHADURPUR","RAHI TOLA","Shallow Tubew ell","Ground Water",,"HandPump","ALAULI H.T. Water Supply Scheme(0001986156)"
17,"SANIHAR","FAKIR TOLA","Shallow Tubew ell","Ground Water",,"HandPump","Alauli New  Sinking H.T. Water Supply(0001988594)"
18,"SANIHAR","FAKIR TOLA","Shallow Tubew ell","Ground Water","M M College","HandPump","Sustainable T/W(0006952680)"
19,"SANIHAR","SONIHAR","Deep Tubew ell","Ground Water","Near Primary School","HandPump","IM II T/W NRDWP SUSTAINABLE(Sri Abhishek Kumar, F- 2/3/2013-14) (0006492566)"
20,"SANIHAR","SONIHAR","Deep Tubew ell","Ground Water","T/W 2","HandPump","Khagaria Iron Aff. Habitation Scheme(0005579048)"
21,"SANIHAR","SONIHAR","Deep Tubew ell","Ground Water","T/W 3","HandPump","Khagaria Iron Aff. Habitation Scheme(0005579048)"
22,"SANIHAR","SONIHAR","Deep Tubew ell","Ground Water","T/W 4","HandPump","Khagaria Iron Aff. Habitation Scheme(0005579048)"
23,"SANIHAR","SONIHAR","Deep Tubew ell","Ground Water","T/W 5","HandPump","Khagaria Iron Aff. Habitation Scheme(0005579048)"
24,"SANIHAR","SONIHAR","Deep Tubew ell","Ground Water","T/W 1","HandPump","Nc/Pc Hand Pump Scheme(0004568388)"
25,"SANIHAR","SONIHAR","Shallow Tubew ell","Ground Water","Sri Rajendra Ray","HandPump","Sinkking Of T/W With I R P(Anil Kr F2/11/09- 10)(0006493525)"
26,"SANIHAR","SONIHAR","Shallow Tubew ell","Ground Water","Md Sahav Raj","HandPump","Sinkking Of T/W With I R P(Anil Kr F2/11/09- 10)(0006493525)"
