"Sno.","Village Name","Habitation Name","Source Type","Source Type Category Location","Location","Type","Scheme Name"
1,"GOBINDPUR","GOBINDPUR","Deep Tubew ell","Ground Water","Shree Shambhusaran Mishr","HandPump","IM II T/W NRDWP SUSTAINABLE(Sri Abhishek Kumar, F- 2/3/2013-14) (0006492566)"
2,"GOBINDPUR","GOBINDPUR","Deep Tubew ell","Ground Water","Sri Dhanni Das","HandPump","IM II T/W NRDWP SUSTAINABLE(Sri Abhishek Kumar, F- 2/3/2013-14) (0006492566)"
3,"GOBINDPUR","GOBINDPUR","Deep Tubew ell","Ground Water","IN SIDE HABITATION","PWS","MPWSS WITH IRP SOLAR ENERGY(0006549074)"
4,"GOBINDPUR","GOBINDPUR","Shallow Tubew ell","Ground Water","T/W 1","HandPump","PARBATTA New  Sinking H.T. Water Supply Scheme(0001989555)"
5,"GOBINDPUR","GOBINDPUR","Shallow Tubew ell","Ground Water","PRIMARY SCHOOL GOVINDPUR","HandPump","SCHOOL DWS PARBATTA(0002717508)"
6,"GOBINDPUR","GOBINDPUR","Deep Tubew ell","Ground Water","PRIMARY SCHOOL GOVINDPUR","HandPump","School Scheme Of Khagaria(0006243088)"
7,"GOBINDPUR","KANHAIYA CHAK","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA New  Sinking H.T. Water Supply Scheme(0001989555)"
8,"GOBINDPUR","KANHAIYA CHAK","Shallow Tubew ell","Ground Water","MIDDLE SCHOOL KANHAIYA CHAK SOUTH","HandPump","SCHOOL DWS PARBATTA(0002717378)"
9,"GOBINDPUR","KANHAIYA CHAK","Shallow Tubew ell","Ground Water","MIDDLE SCHOOL KANHAIYA CHAK SOUTH","HandPump","SCHOOL DWS PARBATTA(0002717514)"
10,"GOBINDPUR","KANHAIYA CHAK","Deep Tubew ell","Ground Water","NEW SCHOOL JULAHA TOLA KANHAIYA CHAK","HandPump","School Scheme Of Khagaria(0006243088)"
11,"GOBINDPUR","KANHAIYA CHAK","Deep Tubew ell","Ground Water","NEW SCHOOL KANHAIYACHAK","HandPump","School Scheme Of Khagaria(0006243088)"
12,"GOBINDPUR","KANHAIYA CHAK","Deep Tubew ell","Ground Water","MIDDLE SCHOOL KANHAIYA CHAK SOUTH","HandPump","School Scheme Of Khagaria(0006243088)"
13,"GOBINDPUR","KANHAIYA CHAK","Shallow Tubew ell","Ground Water","Mandir","HandPump","Sustainable T/W(0006952680)"
14,"GOBINDPUR","KANHAIYA CHAK","Shallow Tubew ell","Ground Water",,"HandPump","Sustainable T/W(0006952680)"
15,"GOBINDPUR","PACHHIM TOLA","Deep Tubew ell","Ground Water","Inside Habitation","HandPump","Mini Pipe Water Supply Scheme With Irp Driven By Solarenergy(0006539440)"
16,"GOBINDPUR","PACHHIM TOLA","Deep Tubew ell","Ground Water","IN SIDE HABITATION","PWS","MPWSS SOLAR ENERGY (PACHIM TOLA) (0006546104)"
17,"GOBINDPUR","PACHHIM TOLA","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA New  Sinking H.T. Water Supply Scheme(0001989555)"
18,"GOBINDPUR","PURAB TOLA","Deep Tubew ell","Ground Water","In Side Of Habitation","PWS","Mpw ss Q A Govindpur Purab Tola(0006544789)"
19,"GOBINDPUR","PURAB TOLA","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA New  Sinking H.T. Water Supply Scheme(0001989555)"
20,"GOBINDPUR","UTTAR TOLA","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA New  Sinking H.T. Water Supply Scheme(0001989555)"
21,"RUPAULI INGLISH","RUPAULI GUGLISH","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA New  Sinking H.T. Water Supply Scheme(0001989555)"
