"Sno.","Village Name","Habitation Name","Source Type","Source Type Category Location","Location","Type","Scheme Name"
1,"BIRA","BIRA","Shallow Tubew ell","Ground Water",,"HandPump","BELDAUR New  Sinking Water Supply Scheme(0001989669)"
2,"BIRA","BIRA","Shallow Tubew ell","Ground Water","JAGDISH PANDIT","HandPump","INSTALLATION OF HAND PUMPS(0001965992)"
3,"BIRA","BIRA","Shallow Tubew ell","Ground Water","PRIMARY SCHOOL BIRA","HandPump","SCHOOL DWS BELDAUR(0002717405)"
4,"BIRA","KALBARA BASA","Shallow Tubew ell","Ground Water",,"HandPump","BELDAUR New  Sinking Water Supply Scheme(0001989669)"
5,"BIRA","MUSHARI","Shallow Tubew ell","Ground Water",,"HandPump","BELDAUR New  Sinking Water Supply Scheme(0001989669)"
6,"BIRA","MUSHARI","Shallow Tubew ell","Ground Water","GHUSHKAR SADA","HandPump","INSTALLATION OF HAND PUMPS(0001965963)"
7,"GOAS","BAKAI SENGH BASA","Shallow Tubew ell","Ground Water",,"HandPump","BELADAUR H.T. Water Supply Scheme(0001987291)"
8,"GOAS","BIND TOLA","Shallow Tubew ell","Ground Water",,"HandPump","BELADAUR H.T. Water Supply Scheme(0001987291)"
9,"GOAS","DOMAN BASA","Shallow Tubew ell","Ground Water",,"HandPump","BELDAUR New  Sinking Water Supply Scheme(0001989669)"
10,"GOAS","GAWASH","Shallow Tubew ell","Ground Water",,"HandPump","BELADAUR H.T. Water Supply Scheme(0001987291)"
11,"GOAS","KASHIM PARBASA","Shallow Tubew ell","Ground Water",,"HandPump","BELDAUR New  Sinking Water Supply Scheme(0001989669)"
12,"GOAS","KASHIM PARBASA","Shallow Tubew ell","Ground Water",,"HandPump","INSTALLATION OF HAND PUMPS(0001959808)"
13,"GOAS","MAHAJAN BASA","Shallow Tubew ell","Ground Water",,"HandPump","BELDAUR New  Sinking Water Supply Scheme(0001989669)"
14,"GOAS","PATARBA BASA","Shallow Tubew ell","Ground Water",,"HandPump","BELDAUR New  Sinking Water Supply Scheme(0001989669)"
15,"GOAS","TERASI TOLA","Shallow Tubew ell","Ground Water",,"HandPump","BELDAUR New  Sinking Water Supply Scheme(0001989669)"
16,"KANJARI","BAHURBA TOLA","Deep Tubew ell","Ground Water","Near Of Durga Mandir","HandPump","Beldaur Hand Pump(0002677219)"
17,"KANJARI","BAHURBA TOLA","Shallow Tubew ell","Ground Water","MD.SANJU ALAM","HandPump","INSTALLATION OF HAND PUMPS(0001966116)"
18,"KANJARI","EATHARI BASA","Deep Tubew ell","Ground Water",,"HandPump","Beldaur Hand Pump(0002677219)"
19,"KANJARI","GARHA BASA","Shallow Tubew ell","Ground Water",,"HandPump","BELDAUR New  Sinking Water Supply Scheme(0001989669)"
20,"KANJARI","KANJARI","Shallow Tubew ell","Ground Water",,"HandPump","BELADAUR H.T. Water Supply Scheme(0001987291)"
21,"KANJARI","KANJARI","Deep Tubew ell","Ground Water","WEST SIIDE OF MASJID","HandPump","IM-II NRDWS SUSTAINABLE T/W (SHAILENDRA KUMAR) (0006494171)"
22,"KANJARI","KANJARI","Shallow Tubew ell","Ground Water","HABIB DEALER","HandPump","INSTALLATION OF HAND PUMPS(0001959809)"
23,"KANJARI","KANJARI","Deep Tubew ell","Ground Water","MD.HASIB(KANJARI GHAT)","HandPump","INSTALLATION OF HAND PUMPS(0001965951)"
24,"KANJARI","KANJARI","Shallow Tubew ell","Ground Water","Pappu Yadav","HandPump","Sustainable T/W(0006952680)"
25,"KANJARI","KANUGAY TOLA","Deep Tubew ell","Ground Water",,"HandPump","Beldaur Hand Pump(0002677219)"
26,"KANJARI","KANUGAY TOLA","Shallow Tubew ell","Ground Water",,"HandPump","BELDAUR New  Sinking Water Supply Scheme(0001989669)"
27,"KANJARI","NAYA TOLA","Deep Tubew ell","Ground Water","Near Of Kali Sthan","HandPump","Beldaur Block Ht Scheme(0004009139)"
28,"KANJARI","PACHHIM TOLA","Shallow Tubew ell","Ground Water",,"HandPump","BELADAUR H.T. Water Supply Scheme(0001987291)"
29,"KANJARI","PACHHIM TOLA","Shallow Tubew ell","Ground Water",,"HandPump","BELADAUR H.T. Water Supply Scheme(0001987291)"
30,"KANJARI","PACHHIM TOLA","Shallow Tubew ell","Ground Water","AJAY PANDIT","HandPump","INSTALLATION OF HAND PUMPS(0001966098)"
31,"KANJARI","RAHAM PUR BASA","Deep Tubew ell","Ground Water","BESIDE OF VISHWNATH STHAN","HandPump","IM-II NRDWS SUSTAINABLE T/W (SHAILENDRA KUMAR) (0006494171)"
32,"KANJARI","RAHAM PUR BASA","Shallow Tubew ell","Ground Water",,"HandPump","INSTALLATION OF HAND PUMPS(0001959807)"
33,"KANJARI","RAHAM PUR BASA","Shallow Tubew ell","Ground Water","Mithun Singh","HandPump","Sustainable T/W(0006952680)"
34,"KANJARI","SAPHA BASA","Deep Tubew ell","Ground Water","Near Of Samudaik Bhaw an","HandPump","Beldaur Block Ht Scheme(0004009139)"
35,"KANJARI","TIRASI TOLA","Shallow Tubew ell","Ground Water",,"HandPump","BELDAUR New  Sinking Water Supply Scheme(0001989669)"
