"Sno.","Village Name","Habitation Name","Source Type","Source Type Category Location","Location","Type","Scheme Name"
1,"BORNE","BARAHARA","Shallow Tubew ell","Ground Water","Campus","HandPump","CHAUTHAM H.T. Water Supply Scheme(0001986826)"
2,"BORNE","BARAHARA","Deep Tubew ell","Ground Water","SHRI GORAKH MAHTO S%MANKI MAHTO","HandPump","IM-II NRDWP SUSTAINABLE T/W(SHREE SHAILENDAR KUMAR F2/01/2013-14) (0006493289)"
3,"BORNE","BARAHARA","Shallow Tubew ell","Ground Water","Ram Tola","HandPump","INSTALLATION OF HAND PUMPS(0001959843)"
4,"BORNE","BARAHARA","Shallow Tubew ell","Ground Water","Water Quality","HandPump","INSTALLATION OF HAND PUMPS(0001959856)"
5,"BORNE","BARAHARA","Deep Tubew ell","Ground Water","Scheme","HandPump","Quality Habitation Scheme(0005815824)"
6,"BORNE","BARAHARA","Shallow Tubew ell","Ground Water","Gopal Singh","HandPump","Sustainable T/W(0006952680)"
7,"BORNE","BARAHARA","Shallow Tubew ell","Ground Water","Masjid","HandPump","Sustainable T/W(0006952680)"
8,"BORNE","BARNEY","Deep Tubew ell","Ground Water","Asraf Najmi","HandPump","ARWSP(0000632559)"
9,"BORNE","BARNEY","Shallow Tubew ell","Ground Water","Rakesh Kumar","HandPump","CHAUTHAM H.T. Water Supply Scheme(0001986826)"
10,"BORNE","BARNEY","Shallow Tubew ell","Ground Water","Rames","HandPump","CHAUTHAM H.T. Water Supply Scheme(0001986826)"
11,"BORNE","BARNEY","Shallow Tubew ell","Ground Water","Nagendra","HandPump","CHAUTHAM H.T. Water Supply Scheme(0001986826)"
12,"BORNE","BARNEY","Shallow Tubew ell","Ground Water","Choudhary Tola","HandPump","CHAUTHAM H.T. Water Supply Scheme(0001986826)"
13,"BORNE","BARNEY","Deep Tubew ell","Ground Water","Campus","HandPump","Ht Scheme(0004708055)"
14,"BORNE","BARNEY","Shallow Tubew ell","Ground Water","UMESH SINGH","HandPump","INSTALLATION OF HAND PUMPS(0001967382)"
15,"BORNE","BARNEY","Shallow Tubew ell","Ground Water","BHAGAWATI STHAN","HandPump","INSTALLATION OF HAND PUMPS(0001968133)"
16,"BORNE","BARNEY","Deep Tubew ell","Ground Water","Sainul","HandPump","Quality Habitation Scheme(0005815824)"
17,"BORNE","DEWKA","Deep Tubew ell","Ground Water","Anganw adi","HandPump","Anganw adi Scheme(0005087237)"
18,"BORNE","DEWKA","Shallow Tubew ell","Ground Water","T/W3","HandPump","CHAUTHAM H.T. Water Supply Scheme(0001986826)"
19,"BORNE","DEWKA","Shallow Tubew ell","Ground Water","T/W N01","HandPump","INSTALLATION OF HAND PUMPS(0001959840)"
20,"BORNE","DEWKA","Shallow Tubew ell","Ground Water","T/W-2","HandPump","INSTALLATION OF HAND PUMPS(0001959841)"
21,"BORNE","DEWKA","Shallow Tubew ell","Ground Water","SUNIL KR. SINGH","HandPump","INSTALLATION OF HAND PUMPS(0001962043)"
22,"BORNE","DEWKA","Deep Tubew ell","Ground Water","T/W-4","HandPump","Quality Habitation Scheme(0005815824)"
23,"BORNE","JALPARBHA NAGAR","Deep Tubew ell","Ground Water","Anganw adi","HandPump","Anganw adi Scheme(0005087237)"
24,"BORNE","JALPARBHA NAGAR","Shallow Tubew ell","Ground Water","T/W-1","HandPump","INSTALLATION OF HAND PUMPS(0001959844)"
25,"BORNE","JALPARBHA NAGAR","Deep Tubew ell","Ground Water","T/W-3","HandPump","Quality Habitation Scheme(0005815824)"
26,"BORNE","KALTHI","Shallow Tubew ell","Ground Water","Campus","HandPump","CHAUTHAM H.T. Water Supply Scheme(0001986826)"
27,"BORNE","KALTHI","Shallow Tubew ell","Ground Water","T/W-1","HandPump","CHAUTHAM H.T. Water Supply Scheme(0001986826)"
28,"BORNE","KALTHI","Shallow Tubew ell","Ground Water","T/W-2","HandPump","CHAUTHAM H.T. Water Supply Scheme(0001986826)"
29,"BORNE","KALTHI","Shallow Tubew ell","Ground Water","T/W-3","HandPump","CHAUTHAM H.T. Water Supply Scheme(0001986826)"
30,"BORNE","KALTHI","Shallow Tubew ell","Ground Water","T/W-4","HandPump","CHAUTHAM H.T. Water Supply Scheme(0001986826)"
31,"BORNE","KALTHI","Shallow Tubew ell","Ground Water","T/W-5","HandPump","CHAUTHAM H.T. Water Supply Scheme(0001986826)"
32,"BORNE","KALTHI","Deep Tubew ell","Ground Water","Water Supply","HandPump","Ht Scheme(0004708055)"
33,"BORNE","KALTHI","Deep Tubew ell","Ground Water","Suman Kumar","HandPump","Quality Habitation Scheme(0005815824)"
34,"BORNE","KALYAN PUR TOLA","Shallow Tubew ell","Ground Water","T/W-1","HandPump","CHAUTHAM New  Sinking H.T. Water Supply Scheme(0001989424)"
35,"BORNE","KALYAN PUR TOLA","Deep Tubew ell","Ground Water","T/W-2","HandPump","Quality Habitation Scheme(0005815824)"
36,"BORNE","KEWATA","Deep Tubew ell","Ground Water","Raman Kumar","HandPump","Khagaria Iron Aff. Habitation Scheme(0005579048)"
