"Sno.","Village Name","Habitation Name","Source Type","Source Type Category Location","Location","Type","Scheme Name"
1,"DIGHRI","DIGHARI","Shallow Tubew ell","Ground Water",,"HandPump","CHAUTHAM H.T. Water Supply Scheme(0001986826)"
2,"HARDIA","HARDIYA","Shallow Tubew ell","Ground Water","Rajesh Tanti","HandPump","Aw adh Sada(0000046956)"
3,"HARDIA","HARDIYA","Shallow Tubew ell","Ground Water",,"HandPump","INSTAIIATION OF HAND PUMPS(0001958242)"
4,"HARDIA","HARDIYA","Shallow Tubew ell","Ground Water",,"HandPump","INSTAIIATION OF HAND PUMPS(0001958242)"
5,"HARDIA","HARDIYA","Shallow Tubew ell","Ground Water","Md. Muslim","HandPump","INSTALLATION OF HAND PUMPS(0001960751)"
6,"HARDIA","HARDIYA","Shallow Tubew ell","Ground Water","CHANO SHARMA","HandPump","INSTALLATION OF HAND PUMPS(0001960752)"
7,"HARDIA","HARDIYA","Shallow Tubew ell","Ground Water","ATIT YADAV","HandPump","INSTALLATION OF HAND PUMPS(0001960753)"
8,"HARDIA","HARDIYA","Deep Tubew ell","Ground Water","Sanjay Panday","HandPump","Khagaria Iron Aff. Habitation Scheme(0005579048)"
9,"HARDIA","HARDIYA","Deep Tubew ell","Ground Water","Okil Sah","HandPump","Khagaria Iron Aff. Habitation Scheme(0005579048)"
10,"HARDIA","HARDIYA","Deep Tubew ell","Ground Water","NEAR MIDDLE SCHOOL","PWS","MPWS Hardia(0004970221)"
11,"HARDIA","HARDIYA","Deep Tubew ell","Ground Water","NEAR TEMPLE","PWS","MPWS(0004966272)"
12,"HARDIA","HARDIYA","Deep Tubew ell","Ground Water","PRIMARY SCHOOL HIRDIYA","HandPump","NRDWP SCHOOL TARGET(0007098453)"
13,"HARDIA","HARDIYA","Deep Tubew ell","Ground Water","PRIMARY SCHOOL HIRDIYA","HandPump","NRDWP SCHOOL TARGET(0007098453)"
14,"HARDIA","HARDIYA","Shallow Tubew ell","Ground Water","Ravind Prasad","HandPump","Sonpath(0000046954)"
15,"HARDIA","HARDIYA","Shallow Tubew ell","Ground Water","Rajendra Sada","HandPump","Sustainable T/W(0006952680)"
16,"HARDIA","PUNARVAS","Shallow Tubew ell","Ground Water",,"HandPump","CHAUTHAM H.T. Water Supply Scheme(0001986826)"
17,"HARDIA","PUNARVAS","Shallow Tubew ell","Ground Water",,"HandPump","CHAUTHAM H.T. Water Supply Scheme(0001986826)"
18,"HARDIA","PUNARVAS","Shallow Tubew ell","Ground Water",,"HandPump","Paw an Pasw an(0000048938)"
19,"HARDIA","PUNARVAS","Shallow Tubew ell","Ground Water","MIDDLE SCHOOL HARDIA PUNARVAS","HandPump","SCHOOL DWS CHAUTHAM(0002717433)"
20,"HARDIA","PUNARVAS","Shallow Tubew ell","Ground Water",,"HandPump","Shri Arun Yadav(0000048932)"
21,"HARDIA","PUNARVAS","Shallow Tubew ell","Ground Water","Baby Devi","HandPump","Sustainable T/W(0006952680)"
22,"KHIRNIA","KHERNIYA","Shallow Tubew ell","Ground Water",,"HandPump","CHAUTHAM H.T. Water Supply Scheme(0001986826)"
23,"KHIRNIA","KHERNIYA","Shallow Tubew ell","Ground Water",,"HandPump","CHAUTHAM H.T. Water Supply Scheme(0001986826)"
24,"KHIRNIA","KHERNIYA","Shallow Tubew ell","Ground Water",,"HandPump","CHAUTHAM H.T. Water Supply Scheme(0001986826)"
25,"KHIRNIA","KHERNIYA","Deep Tubew ell","Ground Water","KHIRNIA MASJID","HandPump","IM-II NRDWS SUSTAINABLE T/W (SHAILENDRA KUMAR) (0006494171)"
26,"KHIRNIA","KUMARH TOLA","Shallow Tubew ell","Ground Water",,"HandPump","CHAUTHAM H.T. Water Supply Scheme(0001986826)"
27,"KHIRNIA","MUSHARI","Shallow Tubew ell","Ground Water",,"HandPump","CHAUTHAM H.T. Water Supply Scheme(0001986826)"
