"Sno.","Village Name","Habitation Name","Source Type","Source Type Category Location","Location","Type","Scheme Name"
1,"BAL KUNDA","BALKUNDA","Deep Tubew ell","Ground Water","Campus","HandPump","Chautham Ht Scheme(0004013184)"
2,"BAL KUNDA","BALKUNDA","Deep Tubew ell","Ground Water","T/W-1","HandPump","Khagaria Iron Aff. Habitation Scheme(0005579048)"
3,"BAL KUNDA","BALKUNDA","Deep Tubew ell","Ground Water","T/W-2","HandPump","Khagaria Iron Aff. Habitation Scheme(0005579048)"
4,"BAL KUNDA","BALKUNDA","Deep Tubew ell","Ground Water","Katiyani Asthan","PWS","Mpw s Katyani Asthan(0006492178)"
5,"ROHIAR","BANGALIYA","Shallow Tubew ell","Ground Water",,"HandPump","CHAUTHAM H.T. Water Supply Scheme(0001986826)"
6,"ROHIAR","BANGALIYA","Shallow Tubew ell","Ground Water",,"HandPump","CHAUTHAM H.T. Water Supply Scheme(0001986826)"
7,"ROHIAR","BANGALIYA","Deep Tubew ell","Ground Water",,"HandPump","Chautham Ht Scheme(0004013184)"
8,"ROHIAR","BANGALIYA","Deep Tubew ell","Ground Water","SRI MUKESH SINGH","HandPump","IM-II NRDWS SUSTAINABLE T/W (SHAILENDRA KUMAR) (0006494171)"
9,"ROHIAR","BANGALIYA","Deep Tubew ell","Ground Water","SRI CHANDESHWARY RAM","HandPump","IM-II NRDWS SUSTAINABLE T/W (SHAILENDRA KUMAR) (0006494171)"
10,"ROHIAR","BANGALIYA","Shallow Tubew ell","Ground Water","Inderdev Verma","HandPump","Sustainable T/W(0006952680)"
11,"ROHIAR","BANGALIYA","Shallow Tubew ell","Ground Water","Surendra Singh","HandPump","Sustainable T/W(0006952680)"
12,"ROHIAR","BANGALIYA SOUTH","Deep Tubew ell","Ground Water","T/W-1","HandPump","Chautham Ht Scheme(0004013184)"
13,"ROHIAR","BANGALIYA SOUTH","Deep Tubew ell","Ground Water","T/W-2","HandPump","Khagaria Iron Aff. Habitation Scheme(0005579048)"
14,"ROHIAR","BANGALIYA SOUTH","Deep Tubew ell","Ground Water","T/W-3","HandPump","Khagaria Iron Aff. Habitation Scheme(0005579048)"
15,"ROHIAR","ROHIYAR","Deep Tubew ell","Ground Water","Anganw adi","HandPump","Anganw adi Scheme(0005087237)"
16,"ROHIAR","ROHIYAR","Shallow Tubew ell","Ground Water",,"HandPump","CHAUTHAM H.T. Water Supply Scheme(0001986826)"
17,"ROHIAR","ROHIYAR","Deep Tubew ell","Ground Water",,"HandPump","Chautham Ht Scheme(0004013184)"
18,"ROHIAR","ROHIYAR","Shallow Tubew ell","Ground Water",,"HandPump","INSTAIIATION OF HAND PUMPS(0001958242)"
19,"ROHIAR","ROHIYAR","Shallow Tubew ell","Ground Water",,"HandPump","INSTAIIATION OF HAND PUMPS(0001958242)"
20,"ROHIAR","ROHIYAR","Shallow Tubew ell","Ground Water",,"HandPump","INSTAIIATION OF HAND PUMPS(0001958242)"
21,"ROHIAR","ROHIYAR","Shallow Tubew ell","Ground Water","GEETA DEVI","HandPump","INSTALLATION OF HAND PUMPS(0001960746)"
22,"ROHIAR","ROHIYAR","Shallow Tubew ell","Ground Water","HARINARAYAN THAKUR","HandPump","INSTALLATION OF HAND PUMPS(0001960747)"
23,"ROHIAR","ROHIYAR","Shallow Tubew ell","Ground Water","ASHOK YADAV","HandPump","INSTALLATION OF HAND PUMPS(0001960748)"
24,"ROHIAR","ROHIYAR","Shallow Tubew ell","Ground Water","MIDDLE SCHOOL ROHIYAR","HandPump","SCHOOL DWS CHAUTHAM(0002717430)"
