"Sno.","Village Name","Habitation Name","Source Type","Source Type Category Location","Location","Type","Scheme Name"
1,"BACHHAUTA","BACHOUTA","Deep Tubew ell","Ground Water","Rambalak Singh","HandPump","Im Ii Sustaitable(0006490035)"
2,"BACHHAUTA","BACHOUTA","Shallow Tubew ell","Ground Water",,"HandPump","INSTAIIATION OF HAND PUMPS(0001958242)"
3,"BACHHAUTA","BACHOUTA","Shallow Tubew ell","Ground Water",,"HandPump","INSTAIIATION OF HAND PUMPS(0001958242)"
4,"BACHHAUTA","BACHOUTA","Shallow Tubew ell","Ground Water",,"HandPump","INSTAIIATION OF HAND PUMPS(0001958242)"
5,"BACHHAUTA","BACHOUTA","Shallow Tubew ell","Ground Water",,"HandPump","INSTALLATION OF HAND PUMPS(0001960396)"
6,"BACHHAUTA","BACHOUTA","Shallow Tubew ell","Ground Water",,"HandPump","KHAGARIA H.T. Water Supply Scheme(0001986657)"
7,"BACHHAUTA","BACHOUTA","Shallow Tubew ell","Ground Water",,"HandPump","KHAGARIA H.T. Water Supply Scheme(0001986657)"
8,"BACHHAUTA","BACHOUTA","Deep Tubew ell","Ground Water","MIDDLE SCHOOL BACHHAUTA","HandPump","RUNNING WATER ARRANGEMENT WITH IRP BY SOLAR ENERGY IN SCHOOL IN KHAGARIA(0006552223)"
9,"BACHHAUTA","BACHOUTA","Deep Tubew ell","Ground Water","New  Primary School Maktab Bachouta","HandPump","RUNNING WATER ARRANGEMENT WITH IRP BY SOLAR ENERGY IN SCHOOL IN KHAGARIA(0006552223)"
10,"BACHHAUTA","BACHOUTA","Shallow Tubew ell","Ground Water","MIDDLE SCHOOL BACHHAUTA","HandPump","SCHOOL DWS KHAGARIA(0002717817)"
11,"BACHHAUTA","BACHOUTA","Shallow Tubew ell","Ground Water","Primary Maktab Bachhauta","HandPump","SCHOOL DWS KHAGARIA(0002717818)"
12,"BACHHAUTA","BHIRYAHI","Shallow Tubew ell","Ground Water",,"HandPump","Khagaria New  Sinking H.T. Water Supply Scheme(0001988728)"
13,"BACHHAUTA","BHIRYAHI","Shallow Tubew ell","Ground Water","Primary School Bhiryahi","HandPump","SCHOOL DWS KHAGARIA(0002717820)"
14,"BACHHAUTA","CHAMAR TOLI","Shallow Tubew ell","Ground Water",,"HandPump","INSTALLATION OF HAND PUMPS(0001960399)"
15,"BACHHAUTA","CHAMAR TOLI","Shallow Tubew ell","Ground Water",,"HandPump","Khagaria New  Sinking H.T. Water Supply Scheme(0001988728)"
16,"BACHHAUTA","DHUMIA TOLA","Shallow Tubew ell","Ground Water",,"HandPump","Khagaria New  Sinking H.T. Water Supply Scheme(0001988728)"
17,"BACHHAUTA","DUSAD TOLI WARD I","Shallow Tubew ell","Ground Water",,"HandPump","Khagaria New  Sinking H.T. Water Supply Scheme(0001988728)"
18,"BACHHAUTA","GULARIA","Shallow Tubew ell","Ground Water",,"HandPump","Khagaria New  Sinking H.T. Water Supply Scheme(0001988728)"
19,"BACHHAUTA","KANELAYA","Shallow Tubew ell","Ground Water",,"HandPump","Khagaria New  Sinking H.T. Water Supply Scheme(0001988728)"
20,"BACHHAUTA","KANELAYA","Shallow Tubew ell","Ground Water","Kamla Devi","HandPump","Sustainable T/W(0006952680)"
21,"BACHHAUTA","KHANKA","Deep Tubew ell","Ground Water","Ahe","HandPump","Gogari Quality Habitation Scheme(0005816042)"
22,"BACHHAUTA","KHANKA","Deep Tubew ell","Ground Water","Ght","HandPump","Gogari Quality Habitation Scheme(0005816042)"
23,"BACHHAUTA","KHANKA","Shallow Tubew ell","Ground Water","Hyt","HandPump","Khagaria New  Sinking H.T. Water Supply Scheme(0001988728)"
24,"BACHHAUTA","KHANKA","Deep Tubew ell","Ground Water","New  Primary Maktabl","HandPump","RUNNING WATER ARRANGEMENT WITH IRP BY SOLAR ENERGY IN SCHOOL IN KHAGARIA(0006552223)"
25,"BACHHAUTA","KOURI TOLA","Shallow Tubew ell","Ground Water",,"HandPump","INSTALLATION OF HAND PUMPS(0001960403)"
26,"BACHHAUTA","KOURI TOLA","Shallow Tubew ell","Ground Water",,"HandPump","Khagaria New  Sinking H.T. Water Supply Scheme(0001988728)"
27,"BACHHAUTA","MUSHARI","Deep Tubew ell","Ground Water","SHRI PAWAN SADA ROAD SITE","HandPump","IM-II NRDWP SUSTAINABLE T/W(SHREE SHAILENDAR KUMAR F2/01/2013-14) (0006493289)"
28,"BACHHAUTA","MUSHARI","Deep Tubew ell","Ground Water","SHRI GANESH SADA","HandPump","IM-II NRDWP SUSTAINABLE T/W(SHREE SHAILENDAR KUMAR F2/01/2013-14) (0006493289)"
29,"BACHHAUTA","MUSHARI","Shallow Tubew ell","Ground Water",,"HandPump","Khagaria New  Sinking H.T. Water Supply Scheme(0001988728)"
30,"BACHHAUTA","PUNARBAS","Deep Tubew ell","Ground Water","Hter","HandPump","Gogari Quality Habitation Scheme(0005816042)"
31,"BACHHAUTA","PUNARBAS","Deep Tubew ell","Ground Water","Wer","HandPump","Gogari Quality Habitation Scheme(0005816042)"
32,"BACHHAUTA","PUNARBAS","Shallow Tubew ell","Ground Water","Rackodi","HandPump","Khagaria New  Sinking H.T. Water Supply Scheme(0001988728)"
33,"BACHHAUTA","PUNARBAS","Shallow Tubew ell","Ground Water","Wakil Yadav","HandPump","Sustainable T/W(0006952680)"
