"Sno.","Village Name","Habitation Name","Source Type","Source Type Category Location","Location","Type","Scheme Name"
1,"JAHANGIRA","GANGIA","Shallow Tubew ell","Ground Water",,"HandPump","Khagaria New  Sinking H.T. Water Supply Scheme(0001988728)"
2,"JAHANGIRA","GANGIA","Shallow Tubew ell","Ground Water","HORIZON PRIMARY SCHOOL GANGIA","HandPump","SCHOOL DWS KHAGARIA(0002717332)"
3,"JAHANGIRA","GANGIA","Shallow Tubew ell","Ground Water","Sri Dharmendra Yadav","HandPump","Sinkking Of T/W With I R P(Anil Kr F2/11/09-10) (0006493525)"
4,"JAHANGIRA","JAHGIRA","Shallow Tubew ell","Ground Water","Water Supply Scheme","HandPump","KHAGARIA H.T. Water Supply Scheme(0001986657)"
5,"JAHANGIRA","JAHGIRA","Shallow Tubew ell","Ground Water","Tw 1","HandPump","KHAGARIA H.T. Water Supply Scheme(0001986657)"
6,"JAHANGIRA","JAHGIRA","Shallow Tubew ell","Ground Water","Saroj Kumar","HandPump","KHAGARIA H.T. Water Supply Scheme(0001986657)"
7,"JAHANGIRA","JAHGIRA","Shallow Tubew ell","Ground Water","Bhola Mahto","HandPump","KHAGARIA H.T. Water Supply Scheme(0001986657)"
8,"JAHANGIRA","JAHGIRA","Shallow Tubew ell","Ground Water","Vikash Singh","HandPump","KHAGARIA H.T. Water Supply Scheme(0001986657)"
9,"JAHANGIRA","JAHGIRA","Shallow Tubew ell","Ground Water","Abadh Kishor Mandal","HandPump","KHAGARIA H.T. Water Supply Scheme(0001986657)"
10,"JAHANGIRA","NAYA TOLA GOPI TOLA","Shallow Tubew ell","Ground Water",,"HandPump","Khagaria New  Sinking H.T. Water Supply Scheme(0001988728)"
11,"SOBHNI","CHAMAR TOLA","Deep Tubew ell","Ground Water","S M H","HandPump","Gogari Quality Habitation Scheme(0005816042)"
12,"SOBHNI","CHAMAR TOLA","Deep Tubew ell","Ground Water","Dih","HandPump","Gogari Quality Habitation Scheme(0005816042)"
13,"SOBHNI","CHAMAR TOLA","Shallow Tubew ell","Ground Water","Scool","HandPump","Khagaria New  Sinking H.T. Water Supply Scheme(0001988728)"
14,"SOBHNI","CHAMAR TOLA","Shallow Tubew ell","Ground Water","Middle School","HandPump","Sustainable T/W(0006952680)"
15,"SOBHNI","KHOTHOURA","Deep Tubew ell","Ground Water","MASJID","HandPump","IM-II NRDWP SUSTAINABLE T/W(SHREE SHAILENDAR KUMAR F2/01/2013-14) (0006493289)"
16,"SOBHNI","KHOTHOURA","Shallow Tubew ell","Ground Water",,"HandPump","Khagaria New  Sinking H.T. Water Supply Scheme(0001988728)"
17,"SOBHNI","RAMUNIYA","Deep Tubew ell","Ground Water","Ruminia Tola","HandPump","Gogari Quality Habitation Scheme(0005816042)"
18,"SOBHNI","RAMUNIYA","Shallow Tubew ell","Ground Water","Rumnia","HandPump","Khagaria New  Sinking H.T. Water Supply Scheme(0001988728)"
19,"SOBHNI","SHOBHANI","Deep Tubew ell","Ground Water","BHAGWATI ASTHAN","HandPump","IM-II NRDWP SUSTAINABLE T/W(SHREE SHAILENDAR KUMAR F2/01/2013-14) (0006493289)"
20,"SOBHNI","SHOBHANI","Shallow Tubew ell","Ground Water",,"HandPump","INSTALLATION OF HAND PUMPS(0001960342)"
21,"SOBHNI","SHOBHANI","Shallow Tubew ell","Ground Water",,"HandPump","Khagaria New  Sinking H.T. Water Supply Scheme(0001988728)"
22,"SOBHNI","SHOBHANI","Shallow Tubew ell","Ground Water","Ram Lal Yadav","HandPump","Sustainable T/W(0006952680)"
