"Sno.","Village Name","Habitation Name","Source Type","Source Type Category Location","Location","Type","Scheme Name"
1,"DURGAPUR KARARI","BARKHANDI","Deep Tubew ell","Ground Water","In Middle Of Village","PWS","Mpw ss Barkhandi Tola(0006491707)"
2,"DURGAPUR KARARI","BARKHANDI","Shallow Tubew ell","Ground Water","PRIMARY SCHOOL BARKHANDI TOLA","HandPump","SCHOOL DWS KHAGARIA(0002717577)"
3,"DURGAPUR KARARI","BARKHANDI","Shallow Tubew ell","Ground Water","Sri Sukdeo Prasad Yadav","HandPump","Sinkking Of T/W With I R P(Anil Kr F2/11/09-10) (0006493525)"
4,"DURGAPUR KARARI","DURGAPUR KARARI","Deep Tubew ell","Ground Water","ADD. HEALTH CENTER","HandPump","IM-II NRDWP SUSTAINABLE T/W (Sri Navin Kumar(0006492052)"
5,"DURGAPUR KARARI","DURGAPUR KARARI","Shallow Tubew ell","Ground Water",,"HandPump","Khagaria New  Sinking H.T. Water Supply Scheme(0001988728)"
6,"DURGAPUR KARARI","ENGLISH TOLA","Shallow Tubew ell","Ground Water","PRIMARY SCHOOL EKNIA","HandPump","SCHOOL DWS KHAGARIA(0002717590)"
7,"DURGAPUR KARARI","HARIJAN TOLA","Shallow Tubew ell","Ground Water","Surendra Pasw an","HandPump","Sustainable T/W(0006952680)"
8,"DURGAPUR KARARI","JUNGAL TOLA","Deep Tubew ell","Ground Water","Satish Sah","HandPump","NRDWP(0007074667)"
9,"DURGAPUR KARARI","JUNGAL TOLA","Shallow Tubew ell","Ground Water","PRIMARY SCHOOL JUNGALI MANDAL TOLA","HandPump","SCHOOL DWS KHAGARIA(0002717567)"
10,"DURGAPUR KARARI","JUNGAL TOLA","Shallow Tubew ell","Ground Water","Sri Sukdeo Tati","HandPump","Sinkking Of T/W With I R P(Anil Kr F2/11/09-10) (0006493525)"
11,"DURGAPUR KARARI","JUNGAL TOLA","Shallow Tubew ell","Ground Water","Samudayik Bhaw an","HandPump","Sinkking Of T/W With I R P(Anil Kr F2/11/09-10) (0006493525)"
12,"DURGAPUR KARARI","KARU MANDAL","Deep Tubew ell","Ground Water","Ekania Tola","PWS","Mpw ss Ekania Tola(0006492017)"
13,"DURGAPUR KARARI","MATHAR","Deep Tubew ell","Ground Water","DURGA STHAN","HandPump","IM-II NRDWP SUSTAINABLE T/W (Sri Navin Kumar(0006492052)"
14,"DURGAPUR KARARI","MATHAR","Deep Tubew ell","Ground Water","Jangli Tola","PWS","Mpw ss Mathar(0006491689)"
15,"DURGAPUR KARARI","MATHAR","Deep Tubew ell","Ground Water","Suman Mandal Ward- 7","HandPump","NRDWP(0007074667)"
16,"DURGAPUR KARARI","MATHAR","Shallow Tubew ell","Ground Water","MIDDLE SCHOOL MATHAR","HandPump","SCHOOL DWS KHAGARIA(0002717583)"
17,"DURGAPUR KARARI","MATHAR","Shallow Tubew ell","Ground Water","Sri Sunil Kumar Yadav","HandPump","Sinkking Of T/W With I R P(Anil Kr F2/11/09-10) (0006493525)"
18,"DURGAPUR KARARI","MATHAR","Shallow Tubew ell","Ground Water","Dhiren Pasw an","HandPump","Sustainable T/W(0006952680)"
19,"DURGAPUR KARARI","SOCITY TOLA","Shallow Tubew ell","Ground Water","PRIMARY SCHOOL SOCIETY TOLA","HandPump","SCHOOL DWS KHAGARIA(0002717573)"
