"Sno.","Village Name","Habitation Name","Source Type","Source Type Category Location","Location","Type","Scheme Name"
1,"SONHAULI","ABAR BOARD","Deep Tubew ell","Ground Water","T/W5","HandPump","Gogari Quality Habitation Scheme(0005816042)"
2,"SONHAULI","ABAR BOARD","Deep Tubew ell","Ground Water","T/W2","HandPump","Ht Scheme(0004708055)"
3,"SONHAULI","ABAR BOARD","Deep Tubew ell","Ground Water","T/3","HandPump","Ht Scheme(0004708055)"
4,"SONHAULI","ABAR BOARD","Deep Tubew ell","Ground Water","SHRI ANIL RAJAK ROAD SITE","HandPump","IM-II NRDWP SUSTAINABLE T/W(SHREE SHAILENDAR KUMAR F2/01/2013-14) (0006493289)"
5,"SONHAULI","ABAR BOARD","Shallow Tubew ell","Ground Water","T/W1","HandPump","Khagaria New  Sinking H.T. Water Supply Scheme(0001988728)"
6,"SONHAULI","BALUYAHI","Deep Tubew ell","Ground Water","T/W3","HandPump","Gogari Quality Habitation Scheme(0005816042)"
7,"SONHAULI","BALUYAHI","Deep Tubew ell","Ground Water","T/W4","HandPump","Gogari Quality Habitation Scheme(0005816042)"
8,"SONHAULI","BALUYAHI","Deep Tubew ell","Ground Water","T/W2","HandPump","Ht Scheme(0004708055)"
9,"SONHAULI","BALUYAHI","Shallow Tubew ell","Ground Water","T/W1","HandPump","Khagaria New  Sinking H.T. Water Supply Scheme(0001988728)"
10,"SONHAULI","DOM TOLA","Deep Tubew ell","Ground Water","T/W3","HandPump","Gogari Quality Habitation Scheme(0005816042)"
11,"SONHAULI","DOM TOLA","Deep Tubew ell","Ground Water","T/W2","HandPump","Ht Scheme(0004708055)"
12,"SONHAULI","DOM TOLA","Shallow Tubew ell","Ground Water","T/W1","HandPump","Khagaria New  Sinking H.T. Water Supply Scheme(0001988728)"
13,"SONHAULI","GOSALA ROAD","Deep Tubew ell","Ground Water","T/W4","HandPump","Gogari Quality Habitation Scheme(0005816042)"
14,"SONHAULI","GOSALA ROAD","Deep Tubew ell","Ground Water","T/W2","HandPump","Ht Scheme(0004708055)"
15,"SONHAULI","GOSALA ROAD","Deep Tubew ell","Ground Water","T/W3","HandPump","Ht Scheme(0004708055)"
16,"SONHAULI","GOSALA ROAD","Shallow Tubew ell","Ground Water","T/W1","HandPump","Khagaria New  Sinking H.T. Water Supply Scheme(0001988728)"
17,"SONHAULI","KABIR NAGAR","Deep Tubew ell","Ground Water","T/W4","HandPump","Gogari Quality Habitation Scheme(0005816042)"
18,"SONHAULI","KABIR NAGAR","Deep Tubew ell","Ground Water","T/W2","HandPump","Ht Scheme(0004708055)"
19,"SONHAULI","KABIR NAGAR","Deep Tubew ell","Ground Water","T/W3","HandPump","Ht Scheme(0004708055)"
20,"SONHAULI","KABIR NAGAR","Shallow Tubew ell","Ground Water","T/W1","HandPump","Khagaria New  Sinking H.T. Water Supply Scheme(0001988728)"
21,"SONHAULI","KABIR NAGAR","Shallow Tubew ell","Ground Water","Arun Kumar Yadav","HandPump","Sustainable T/W(0006952680)"
22,"SONHAULI","KABIR NAGAR","Shallow Tubew ell","Ground Water","Arun Kumar","HandPump","Sustainable T/W(0006952680)"
23,"SONHAULI","KANDAY","Shallow Tubew ell","Ground Water",,"HandPump","INSTALLATION OF HAND PUMPS(0001960717)"
24,"SONHAULI","KANDAY","Shallow Tubew ell","Ground Water",,"HandPump","Khagaria New  Sinking H.T. Water Supply Scheme(0001988728)"
25,"SONHAULI","KANU TOLA","Deep Tubew ell","Ground Water",,"HandPump","Ht Scheme(0004708055)"
26,"SONHAULI","KANU TOLA","Deep Tubew ell","Ground Water",,"HandPump","Ht Scheme(0004708055)"
27,"SONHAULI","KANU TOLA","Shallow Tubew ell","Ground Water",,"HandPump","Khagaria New  Sinking H.T. Water Supply Scheme(0001988728)"
28,"SONHAULI","MOCHI TOLA","Deep Tubew ell","Ground Water","T/W3","HandPump","Khagaria Arsenic, Iron Aff. Habitation Scheme(0005590179)"
29,"SONHAULI","MOCHI TOLA","Deep Tubew ell","Ground Water","T/W4","HandPump","Khagaria Arsenic, Iron Aff. Habitation Scheme(0005590179)"
30,"SONHAULI","MOCHI TOLA","Deep Tubew ell","Ground Water","T/W5","HandPump","Khagaria Arsenic, Iron Aff. Habitation Scheme(0005590179)"
31,"SONHAULI","MOCHI TOLA","Deep Tubew ell","Ground Water","T/W2","HandPump","Khagaria Ht Scheme(0004012238)"
32,"SONHAULI","MOCHI TOLA","Shallow Tubew ell","Ground Water","T/W1","HandPump","Khagaria New  Sinking H.T. Water Supply Scheme(0001988728)"
33,"SONHAULI","PASWAN TOLA","Deep Tubew ell","Ground Water","SHRI DILIP PASWAN ROAD SITE","HandPump","IM-II NRDWP SUSTAINABLE T/W(SHREE SHAILENDAR KUMAR F2/01/2013-14) (0006493289)"
