"Sno.","Village Name","Habitation Name","Source Type","Source Type Category Location","Location","Type","Scheme Name"
1,"HARDAS CHAK","HARDAS CHAK","Deep Tubew ell","Ground Water","SUJAN SHARAMA","HandPump","IM-II NRDWP SUSTAINABLE T/W (Sri Navin Kumar(0006492052)"
2,"HARDAS CHAK","HARDAS CHAK","Deep Tubew ell","Ground Water","T/W 3","HandPump","Khagaria Arsenic, Iron Aff. Habitation Scheme(0005590179)"
3,"HARDAS CHAK","HARDAS CHAK","Deep Tubew ell","Ground Water","T/W 2","HandPump","Khagaria Arsenic, Iron Aff. Habitation Scheme(0005590179)"
4,"HARDAS CHAK","HARDAS CHAK","Deep Tubew ell","Ground Water","T/W 1","HandPump","Khagaria Arsenic, Iron Aff. Habitation Scheme(0005590179)"
5,"HARDAS CHAK","HARDAS CHAK","Shallow Tubew ell","Ground Water","Ghy","HandPump","KHAGARIA H.T. Water Supply Scheme(0001986657)"
6,"HARDAS CHAK","HARDAS CHAK","Deep Tubew ell","Ground Water","Liu","HandPump","Khagaria Ht Scheme(0004012238)"
7,"HARDAS CHAK","HARDAS CHAK","Deep Tubew ell","Ground Water","In Side Of Habitation","PWS","RPWSS WITH IRP&Arsenic Solar Energy (Hardaschak) (0006547536)"
8,"HARDAS CHAK","HARDAS CHAK","Shallow Tubew ell","Ground Water","Bulbul Verma","HandPump","Sustainable T/W(0006952680)"
9,"HARDAS CHAK","PASWAN TOLA","Shallow Tubew ell","Ground Water",,"HandPump","Khagaria New  Sinking H.T. Water Supply Scheme(0001988728)"
10,"MUSTAFAPUR","MUSTAFA PUR","Deep Tubew ell","Ground Water","T/W 2","HandPump","Khagaria Arsenic, Iron Aff. Habitation Scheme(0005590179)"
11,"MUSTAFAPUR","MUSTAFA PUR","Deep Tubew ell","Ground Water","Mkjh","HandPump","Khagaria Arsenic, Iron Aff. Habitation Scheme(0005590179)"
12,"MUSTAFAPUR","MUSTAFA PUR","Deep Tubew ell","Ground Water","Iup","HandPump","Khagaria Ht Scheme(0004012238)"
13,"MUSTAFAPUR","MUSTAFA PUR","Shallow Tubew ell","Ground Water","Nmbh","HandPump","Khagaria New  Sinking H.T. Water Supply Scheme(0001988728)"
14,"PARMANPUR","PARMAN PUR","Deep Tubew ell","Ground Water","T/W 2","HandPump","Khagaria Arsenic, Iron Aff. Habitation Scheme(0005590179)"
15,"PARMANPUR","PARMAN PUR","Deep Tubew ell","Ground Water","Parmanpur","HandPump","Af f . Habitation Scheme(0005590179)"
16,"PARMANPUR","PARMAN PUR","Shallow Tubew ell","Ground Water","Wqt","HandPump","KHAGARIA H.T. Water Supply Scheme(0001986657)"
17,"PARMANPUR","PARMAN PUR","Deep Tubew ell","Ground Water","Tryy","HandPump","Khagaria Ht Scheme(0004012238)"
18,"PARMANPUR","PARMAN PUR","Deep Tubew ell","Ground Water","Police Line Campus Sansarpur","PWS","Mpw ss Police Line Campus Sansarpur(0006489935)"
19,"PARMANPUR","PARMAN PUR","Shallow Tubew ell","Ground Water","Sri Naval Pasw an","HandPump","Sinkking Of T/W With I R P(Anil Kr F2/11/09-10) (0006493525)"
20,"PARMANPUR","PARMAN PUR","Shallow Tubew ell","Ground Water","Block Office","HandPump","Sinkking Of T/W With I R P(Anil Kr F2/11/09-10) (0006493525)"
21,"PARMANPUR","PARMAN PUR","Shallow Tubew ell","Ground Water","Durga Sthan","HandPump","Sinkking Of T/W With I R P(Anil Kr F2/11/09-10) (0006493525)"
