"Sno.","Village Name","Habitation Name","Source Type","Source Type Category Location","Location","Type","Scheme Name"
1,"BANNI","BANNI","Deep Tubew ell","Ground Water","Anganw adi","HandPump","Anganw adi Scheme(0005087237)"
2,"BANNI","BANNI","Shallow Tubew ell","Ground Water",,"HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
3,"BANNI","BANNI","Shallow Tubew ell","Ground Water",,"HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
4,"BANNI","BANNI","Shallow Tubew ell","Ground Water",,"HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
5,"BANNI","BANNI","Shallow Tubew ell","Ground Water",,"HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
6,"BANNI","BANNI","Deep Tubew ell","Ground Water","SRI NIRAJ KUMAR SINGH","HandPump","IM-II NRDWS SUSTAINABLE T/W (SHAILENDRA KUMAR) (0006494171)"
7,"BANNI","BANNI","Shallow Tubew ell","Ground Water","DIWAKAR SINGH","HandPump","INSTALLATION OF HAND PUMPS(0001959861)"
8,"BANNI","CHAIDHA","Shallow Tubew ell","Ground Water",,"HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
9,"BANNI","CHAIDHA","Shallow Tubew ell","Ground Water",,"HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
10,"BANNI","CHAIDHA","Shallow Tubew ell","Ground Water",,"HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
11,"BANNI","CHAIDHA","Shallow Tubew ell","Ground Water",,"HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
12,"BANNI","CHAIDHA","Shallow Tubew ell","Ground Water","MASOMAT NAGESHWARI DEVI","HandPump","INSTALLATION OF HAND PUMPS(0001967339)"
13,"BANNI","ENGLISH","Shallow Tubew ell","Ground Water",,"HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
14,"BANNI","HARDYAL NAGAR","Shallow Tubew ell","Ground Water",,"HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
15,"BANNI","HARDYAL NAGAR","Deep Tubew ell","Ground Water","MAA SHARDE GYANKUNJ SIRAJUA","HandPump","IM-II NRDWS SUSTAINABLE T/W (SHAILENDRA KUMAR) (0006494171)"
16,"BANNI","HARIJAN TOLA","Shallow Tubew ell","Ground Water","Tw  1","HandPump","Gogari Hand Pump(0002677255)"
17,"BANNI","HARIJAN TOLA","Shallow Tubew ell","Ground Water","Abc","HandPump","Gogri Hand Pump Scheme(0001989934)"
18,"BANNI","HARIJAN TOLA","Shallow Tubew ell","Ground Water","Parmanand Mehta","HandPump","Sustainable T/W(0006952680)"
19,"BANNI","MAHDA","Deep Tubew ell","Ground Water","Anganw adi","HandPump","Anganw adi Scheme(0005087237)"
20,"BANNI","MAHDA","Shallow Tubew ell","Ground Water","Hand Pump","HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
21,"BANNI","MAHDA","Shallow Tubew ell","Ground Water","LUKHAR PIRPAINTI","HandPump","INSTALLATION OF HAND PUMPS(0001967342)"
22,"BANNI","Naya Nagar Banni","Shallow Tubew ell","Ground Water","Manoj Singh","HandPump","Sustainable T/W(0006952680)"
23,"BANNI","ROHRI","Shallow Tubew ell","Ground Water",,"HandPump","Gogri Hand Pump Scheme(0001989934)"
24,"BANNI","ROHRI","Shallow Tubew ell","Ground Water","NARESH SINGH","HandPump","INSTALLATION OF HAND PUMPS(0001967337)"
25,"BANNI","ROHRI","Shallow Tubew ell","Ground Water","ROHARI CHAWK","HandPump","INSTALLATION OF HAND PUMPS(0001967345)"
