"Sno.","Village Name","Habitation Name","Source Type","Source Type Category Location","Location","Type","Scheme Name"
1,"RAHIMPUR","RAHIMPUR","Deep Tubew ell","Ground Water","KALI STHAN","HandPump","IM-II NRDWP SUSTAINABLE T/W (Sri Navin Kumar(0006492052)"
2,"RAHIMPUR","RAHIMPUR","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA H.T. Water Scheme(0001987945)"
3,"RAMPUR URF RAHIMPUR INGHISH","ADARSHA GRAM","Deep Tubew ell","Ground Water","T/W4","HandPump","Khagaria Arsenic, Iron Aff. Habitation Scheme(0005590179)"
4,"RAMPUR URF RAHIMPUR INGHISH","ADARSHA GRAM","Deep Tubew ell","Ground Water","T/W5","HandPump","Khagaria Arsenic, Iron Aff. Habitation Scheme(0005590179)"
5,"RAMPUR URF RAHIMPUR INGHISH","ADARSHA GRAM","Deep Tubew ell","Ground Water","T/W1","HandPump","Nc/Pc Hand Pump Scheme(0004568388)"
6,"RAMPUR URF RAHIMPUR INGHISH","ADARSHA GRAM","Shallow Tubew ell","Ground Water","T/W2","HandPump","NRDWP(0004708017)"
7,"RAMPUR URF RAHIMPUR INGHISH","ADARSHA GRAM","Shallow Tubew ell","Ground Water","T/W3","HandPump","SPOT SOURCE(0004708653)"
8,"RAMPUR URF RAHIMPUR INGHISH","PUNARVAS NAYA","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA H.T. Water Scheme(0001987945)"
9,"RAMPUR URF RAHIMPUR INGHISH","RAMPUR URF RAHIMPUR INGLISH","Deep Tubew ell","Ground Water","SUDHIR AUR MUKHIYA JI","HandPump","IM-II NRDWP SUSTAINABLE T/W (Sri Navin Kumar(0006492052)"
10,"RAMPUR URF RAHIMPUR INGHISH","RAMPUR URF RAHIMPUR INGLISH","Deep Tubew ell","Ground Water","Rampur Rahimpur","PWS","Mpw s Rapur Rahimpur(0006492492)"
11,"RAMPUR URF RAHIMPUR INGHISH","RAMPUR URF RAHIMPUR INGLISH","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA H.T. Water Scheme(0001987945)"
12,"RAMPUR URF RAHIMPUR INGHISH","RAMPUR URF RAHIMPUR INGLISH","Shallow Tubew ell","Ground Water","PRIMARY SCHOOL MOJAHIDA","HandPump","SCHOOL DWS PARBATTA(0002717377)"
13,"RAMPUR URF RAHIMPUR INGHISH","RAMPUR URF RAHIMPUR INGLISH","Shallow Tubew ell","Ground Water","Manihari Baba","HandPump","Sustainable T/W(0006952680)"
14,"RAMPUR URF RAHIMPUR INGHISH","RAMPUR URF RAHIMPUR INGLISH","Shallow Tubew ell","Ground Water","Mojahida Manihari Baba","HandPump","Sustainable T/W(0006952680)"
