"Sno.","Village Name","Habitation Name","Source Type","Source Type Category Location","Location","Type","Scheme Name"
1,"BHARSON","BHARSON","Deep Tubew ell","Ground Water","Sri Indu Singh","HandPump","IM II T/W NRDWP SUSTAINABLE(Sri Abhishek Kumar, F- 2/3/2013-14) (0006492566)"
2,"BHARSON","BHARSON","Deep Tubew ell","Ground Water",,"HandPump","Parbatta Ht Scheme(0004012352)"
3,"BHARSON","BHARSON","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA New Sinking H.T. Water Supply Scheme(0001989555)"
4,"BHARSON","BHARSON","Deep Tubew ell","Ground Water","NEW SCHOOL BHARSO PURBI","HandPump","School Scheme Of Khagaria(0006243088)"
5,"BHARSON","BHARSON","Deep Tubew ell","Ground Water","MIDDLE SCHOOL BHARSON","HandPump","School Scheme Of Khagaria(0006243088)"
6,"BHARSON","BRAHMAN TOLA","Deep Tubew ell","Ground Water",,"HandPump","Parbatta Ht Scheme(0004012352)"
7,"BHARSON","BRAHMAN TOLA","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA New Sinking H.T. Water Supply Scheme(0001989555)"
8,"BHARSON","HARIZAN TOLA","Deep Tubew ell","Ground Water","Sri Amin Pasw an","HandPump","IM II T/W NRDWP SUSTAINABLE(Sri Abhishek Kumar, F- 2/3/2013-14) (0006492566)"
9,"BHARSON","HARIZAN TOLA","Deep Tubew ell","Ground Water",,"HandPump","Parbatta Ht Scheme(0004012352)"
10,"BHARSON","HARIZAN TOLA","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA New Sinking H.T. Water Supply Scheme(0001989555)"
11,"BHARSON","HARIZAN TOLA","Deep Tubew ell","Ground Water","NEW SCHOOL HARIZAN TOLA","HandPump","School Scheme Of Khagaria(0006243088)"
12,"BHARSON","SALAR PUR","Deep Tubew ell","Ground Water",,"HandPump","PARBATTA New Sinking H.T. Water Supply Scheme(0001989555)"
13,"BHARSON","SALAR PUR","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA New Sinking H.T. Water Supply"
14,"BHARSON","SALAR PUR","Deep Tubew ell","Ground Water","MIDDLE SCHOOL SHIV NAGAR SALARPUR","HandPump","School Scheme Of Khagaria(0006243088)"
15,"BHARSON","SALAR PUR","Deep Tubew ell","Ground Water","MIDDLE SCHOOL SHEO NAGAR SANSARPUR","HandPump","School Scheme Of Khagaria(0006243088)"
16,"BHARSON","SALAR PUR","Deep Tubew ell","Ground Water","GIRLS PRIMARY SHCOOL SALARPUR","HandPump","School Scheme Of Khagaria(0006243088)"
17,"BHARSON","SALAR PUR","Shallow Tubew ell","Ground Water","Mandir","HandPump","Sustainable T/W(0006952680)"
18,"BHARSON","SALAR PUR","Shallow Tubew ell","Ground Water","Masjid","HandPump","Sustainable T/W(0006952680)"
19,"BHARSON","YADAV TOLA","Deep Tubew ell","Ground Water",,"HandPump","Parbatta Ht Scheme(0004012352)"
20,"BHARSON","YADAV TOLA","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA New Sinking H.T. Water Supply Scheme(0001989555)"
21,"THEBHAO","THEBHAI","Deep Tubew ell","Ground Water","T/W 3","HandPump","Mansi Quality Habitation Scheme(0005816227)"
22,"THEBHAO","THEBHAI","Deep Tubew ell","Ground Water","IN SIDE OF HABITATION","PWS","MPWSS WITH SOLAR ENERGY(0006549257)"
23,"THEBHAO","THEBHAI","Deep Tubew ell","Ground Water","Samudaik Bhavan Sah Satsang Bhavan","HandPump","NRDWP(0007074667)"
24,"THEBHAO","THEBHAI","Shallow Tubew ell","Ground Water","T/W 1","HandPump","PARBATTA H.T. Water Scheme(0001987945)"
25,"THEBHAO","THEBHAI","Deep Tubew ell","Ground Water","T/W 2","HandPump","Parbatta Ht Scheme(0004012352)"
26,"THEBHAO","THEBHAI","Deep Tubew ell","Ground Water","SARKARI BHWAN-58","HandPump","School Scheme Of Khagaria(0006243088)"
27,"THEBHAO","THEBHAI","Deep Tubew ell","Ground Water","PRIMARY SHCOOL THEBHAY","HandPump","School Scheme Of Khagaria(0006243088)"
