"Sno.","Village Name","Habitation Name","Source Type","Source Type Category Location","Location","Type","Scheme Name"
1,"JHIKTIA","CHHOTI JHIKTIYA","Shallow Tubew ell","Ground Water",,"HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
2,"JHIKTIA","CHHOTI JHIKTIYA","Shallow Tubew ell","Ground Water","ASHOK DAS","HandPump","INSTALLATION OF HAND PUMPS(0001967296)"
3,"JHIKTIA","JAMAIYA TOLA","Shallow Tubew ell","Ground Water",,"HandPump","Gogri Hand Pump Scheme(0001989934)"
4,"JHIKTIA","JAMAIYA TOLA","Shallow Tubew ell","Ground Water","BINOD RAJAK","HandPump","INSTALLATION OF HAND PUMPS(0001967297)"
5,"JHIKTIA","JAMAIYA TOLA","Shallow Tubew ell","Ground Water","ISHWAR BHAGAT","HandPump","INSTALLATION OF HAND PUMPS(0001967298)"
6,"JHIKTIA","JAMAIYA TOLA","Shallow Tubew ell","Ground Water","Kaladhar Ram","HandPump","Sustainable T/W(0006952680)"
7,"JHIKTIA","JHIKTIYA","Shallow Tubew ell","Ground Water",,"HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
8,"JHIKTIA","JHIKTIYA","Shallow Tubew ell","Ground Water",,"HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
9,"JHIKTIA","JHIKTIYA","Shallow Tubew ell","Ground Water",,"HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
10,"JHIKTIA","JHIKTIYA","Deep Tubew ell","Ground Water","MIDDLE SCHOOL JHIKTIYA","HandPump","IM-II NRDWS SUSTAINABLE T/W (SHAILENDRA KUMAR) (0006494171)"
11,"JHIKTIA","JHIKTIYA","Shallow Tubew ell","Ground Water",,"HandPump","INSTALLATION OF HAND PUMPS(0001959864)"
12,"JHIKTIA","JHIKTIYA","Shallow Tubew ell","Ground Water","ISHWAR BHAGAT","HandPump","INSTALLATION OF HAND PUMPS(0001967299)"
13,"JHIKTIA","JHIKTIYA","Deep Tubew ell","Ground Water","PRIMARY SCHOOL BHADLAY","PWS","MPWSS PRIMARY SCHOOL BHADLAY(0006489563)"
14,"JHIKTIA","JHIKTIYA","Shallow Tubew ell","Ground Water","Kali Sthan","HandPump","Sustainable T/W(0006952680)"
15,"JHIKTIA","MUSLIM TOLA","Shallow Tubew ell","Ground Water",,"HandPump","Gogari Hand Pump(0002677255)"
16,"JHIKTIA","MUSLIM TOLA","Shallow Tubew ell","Ground Water",,"HandPump","Gogri Hand Pump Scheme(0001989934)"
17,"KAZICHAK","KAZICHAK","Shallow Tubew ell","Ground Water",,"HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
18,"KAZICHAK","KAZICHAK","Shallow Tubew ell","Ground Water","SHAMSHAD KHAN","HandPump","INSTALLATION OF HAND PUMPS(0001967019)"
19,"KAZICHAK","KAZICHAK","Shallow Tubew ell","Ground Water","JAY PRAKASH MISHRA","HandPump","INSTALLATION OF HAND PUMPS(0001967300)"
20,"RAMCHANDARPUR","DOM TOLA","Shallow Tubew ell","Ground Water",,"HandPump","Gogari Hand Pump(0002677255)"
21,"RAMCHANDARPUR","PATLA","Deep Tubew ell","Ground Water","T/W 3","HandPump","Gogari Block Ht Scheme(0004009280)"
22,"RAMCHANDARPUR","PATLA","Shallow Tubew ell","Ground Water","T/W 1","HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
23,"RAMCHANDARPUR","PATLA","Shallow Tubew ell","Ground Water","T/W 2","HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
24,"RAMCHANDARPUR","PATLA","Deep Tubew ell","Ground Water","T/W 4","HandPump","Khagaria Arsenic, Iron Aff. Habitation Scheme(0005590179)"
25,"RAMCHANDARPUR","PATLA","Deep Tubew ell","Ground Water","T/W 5","HandPump","Khagaria Arsenic, Iron Aff. Habitation Scheme(0005590179)"
26,"RAMCHANDARPUR","PATLA","Deep Tubew ell","Ground Water","T/W 6","HandPump","Khagaria Arsenic, Iron Aff. Habitation Scheme(0005590179)"
27,"RAMCHANDARPUR","PATLA","Deep Tubew ell","Ground Water","T/W 7","HandPump","Khagaria Arsenic, Iron Aff. Habitation Scheme(0005590179)"
28,"RAMCHANDARPUR","PATLA","Deep Tubew ell","Ground Water","MIDDLE SCHOOL PATLA","PWS","MPWSS MIDDLE SCHOOL PATLA(0006489700)"
29,"RAMCHANDARPUR","RAMCHANDRAPUR","Shallow Tubew ell","Ground Water",,"HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
30,"RAMCHANDARPUR","RAMCHANDRAPUR","Shallow Tubew ell","Ground Water",,"HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
31,"RAMCHANDARPUR","RAMCHANDRAPUR","Deep Tubew ell","Ground Water","RAJENDRA MALAKAR RAMCHANDRAPUR","HandPump","IM-II NRDWS SUSTAINABLE T/W (SHAILENDRA KUMAR) (0006494171)"
32,"RAMCHANDARPUR","RAMCHANDRAPUR","Shallow Tubew ell","Ground Water","RAJNISH KR.","HandPump","INSTALLATION OF HAND PUMPS(0001967004)"
33,"RAMCHANDARPUR","RAMCHANDRAPUR","Shallow Tubew ell","Ground Water","SHAMSHER KHAN","HandPump","INSTALLATION OF HAND PUMPS(0001967295)"
