"Sno.","Village Name","Habitation Name","Source Type","Source Type Category Location","Location","Type","Scheme Name"
1,"JAMALPUR","BARHARA","Shallow Tubew ell","Ground Water",,"HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
2,"JAMALPUR","BARHARA","Shallow Tubew ell","Ground Water",,"HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
3,"JAMALPUR","BRAHAMAN TOLA","Deep Tubew ell","Ground Water",,"HandPump","Gogari Hand Pump(0002677255)"
4,"JAMALPUR","BRAHAMAN TOLA","Shallow Tubew ell","Ground Water",,"HandPump","Gogri Hand Pump Scheme(0001989934)"
5,"JAMALPUR","CHHOTI MALIYA","Shallow Tubew ell","Ground Water",,"HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
6,"JAMALPUR","GARMOHARI","Deep Tubew ell","Ground Water",,"HandPump","Gogari Hand Pump(0002677255)"
7,"JAMALPUR","GARMOHARI","Shallow Tubew ell","Ground Water",,"HandPump","Gogri Hand Pump Scheme(0001989934)"
8,"JAMALPUR","GOPALPUR","Shallow Tubew ell","Ground Water",,"HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
9,"JAMALPUR","GORAIYA BATHAN","Shallow Tubew ell","Ground Water",,"HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
10,"JAMALPUR","GORAIYA BATHAN","Deep Tubew ell","Ground Water","MANOJ YADAV","HandPump","IM-II NRDWP SUSTAINABLE T/W (Sri Navin Kumar(0006492052)"
11,"JAMALPUR","GORAIYA BATHAN","Deep Tubew ell","Ground Water","Road Site","PWS","Mpw s Goriabathan(0006491981)"
12,"JAMALPUR","GORAIYA BATHAN","Shallow Tubew ell","Ground Water","Nageshw ar Singh","HandPump","Sustainable T/W(0006952680)"
13,"JAMALPUR","HARIJAN TOLA","Deep Tubew ell","Ground Water",,"HandPump","Gogari Hand Pump(0002677255)"
14,"JAMALPUR","HARIJAN TOLA","Shallow Tubew ell","Ground Water",,"HandPump","Gogri Hand Pump Scheme(0001989934)"
15,"JAMALPUR","HARIJAN TOLA","Shallow Tubew ell","Ground Water","Sanskritik Manch","HandPump","Sustainable T/W(0006952680)"
16,"JAMALPUR","JAMALPUR","Shallow Tubew ell","Ground Water",,"HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
17,"JAMALPUR","JAMALPUR","Shallow Tubew ell","Ground Water",,"HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
18,"JAMALPUR","JAMALPUR","Deep Tubew ell","Ground Water","KARTIK MUNI","HandPump","IM-II NRDWP SUSTAINABLE T/W (Sri Navin Kumar(0006492052)"
19,"JAMALPUR","JAMALPUR","Shallow Tubew ell","Ground Water","Lal","HandPump","Sustainable T/W(0006952680)"
20,"JAMALPUR","KHATHA","Shallow Tubew ell","Ground Water",,"HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
21,"JAMALPUR","KHATHA","Deep Tubew ell","Ground Water","MANOJ YADAV","HandPump","IM-II NRDWP SUSTAINABLE T/W (Sri Navin Kumar(0006492052)"
22,"JAMALPUR","KHATHA","Deep Tubew ell","Ground Water","KHATHA SAMUDAIK BHAWAN","PWS","MPWSS KHATHA SAMUDAIK BHAWAN(0006489605)"
23,"JAMALPUR","LAXMIPUR","Deep Tubew ell","Ground Water",,"HandPump","Gogari Hand Pump(0002677255)"
24,"JAMALPUR","LAXMIPUR","Shallow Tubew ell","Ground Water",,"HandPump","Gogri Hand Pump Scheme(0001989934)"
25,"JAMALPUR","MUSALMAN TOLA","Shallow Tubew ell","Ground Water",,"HandPump","Gogri Hand Pump Scheme(0001989934)"
26,"JAMALPUR","MUSALMAN TOLA","Deep Tubew ell","Ground Water","SHAKIL KHAN","HandPump","IM-II NRDWP SUSTAINABLE T/W (Sri Navin Kumar(0006492052)"
27,"JAMALPUR","MUSALMAN TOLA","Shallow Tubew ell","Ground Water",,"HandPump","INSTALLATION OF HAND PUMPS(0001960351)"
28,"JAMALPUR","MUSALMAN TOLA","Shallow Tubew ell","Ground Water","Masjid","HandPump","Sustainable T/W(0006952680)"
29,"JAMALPUR","VIJAY NAGAR","Deep Tubew ell","Ground Water",,"HandPump","Gogari Hand Pump(0002677255)"
30,"JAMALPUR","VIJAY NAGAR","Shallow Tubew ell","Ground Water",,"HandPump","Gogri Hand Pump Scheme(0001989934)"
