"Sno.","Village Name","Habitation Name","Source Type","Source Type Category Location","Location","Type","Scheme Name"
1,"FATEHPUR","FATEHPUR","Deep Tubew ell","Ground Water","T/W 3","HandPump","Gogari Block Ht Scheme(0004009280)"
2,"FATEHPUR","FATEHPUR","Deep Tubew ell","Ground Water","T/W 2","HandPump","Gogari Ht Scheme(0002677321)"
3,"FATEHPUR","FATEHPUR","Shallow Tubew ell","Ground Water","T/W 1","HandPump","Gogri Hand Pump Scheme(0001989934)"
4,"FATEHPUR","FATEHPUR","Shallow Tubew ell","Ground Water","Chow k","HandPump","Sustainable T/W(0006952680)"
5,"FATEHPUR","HARIJAN TOLA","Deep Tubew ell","Ground Water","T/W 3","HandPump","Gogari Block Ht Scheme(0004009280)"
6,"FATEHPUR","HARIJAN TOLA","Deep Tubew ell","Ground Water","T/W 2","HandPump","Gogari Ht Scheme(0002677321)"
7,"FATEHPUR","HARIJAN TOLA","Shallow Tubew ell","Ground Water","T/W 1","HandPump","Gogri Hand Pump Scheme(0001989934)"
8,"FATEHPUR","KUSHBAHA TOLA","Deep Tubew ell","Ground Water","T/W 2","HandPump","Gogari Block Ht Scheme(0004009280)"
9,"FATEHPUR","KUSHBAHA TOLA","Shallow Tubew ell","Ground Water","T/W 1","HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
10,"RAMPUR","HARIZAN TOLA","Deep Tubew ell","Ground Water","T/W 3","HandPump","Gogari Block Ht Scheme(0004009280)"
11,"RAMPUR","HARIZAN TOLA","Deep Tubew ell","Ground Water","T/W 2","HandPump","Gogari Ht Scheme(0002677321)"
12,"RAMPUR","HARIZAN TOLA","Shallow Tubew ell","Ground Water","T/W 1","HandPump","Gogri Hand Pump Scheme(0001989934)"
13,"RAMPUR","HARIZAN TOLA","Shallow Tubew ell","Ground Water","G N Band","HandPump","Sustainable T/W(0006952680)"
14,"RAMPUR","MUSALMAN TOLA","Deep Tubew ell","Ground Water","T/W 3","HandPump","Gogari Block Ht Scheme(0004009280)"
15,"RAMPUR","MUSALMAN TOLA","Deep Tubew ell","Ground Water","T/W 2","HandPump","Gogari Ht Scheme(0002677321)"
16,"RAMPUR","MUSALMAN TOLA","Shallow Tubew ell","Ground Water","T/W 1","HandPump","Gogri Hand Pump Scheme(0001989934)"
17,"RAMPUR","MUSALMAN TOLA","Deep Tubew ell","Ground Water","MD. MUNWAR","HandPump","IM-II NRDWP SUSTAINABLE T/W (Sri Navin Kumar(0006492052)"
18,"RAMPUR","RAMPUR","Deep Tubew ell","Ground Water","T/W 4","HandPump","Gogari Block Ht Scheme(0004009280)"
20,"RAMPUR","RAMPUR","Shallow Tubew ell","Ground Water","T/W 3","HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
21,"RAMPUR","RAMPUR","Deep Tubew ell","Ground Water","UPENDRA GOP","HandPump","IM-II NRDWP SUSTAINABLE T/W (Sri Navin Kumar(0006492052)"
22,"RAMPUR","RAMPUR","Shallow Tubew ell","Ground Water","T/W 1","HandPump","INSTALLATION OF HAND PUMPS(0001960352)"
23,"RAMPUR","RAMPUR","Deep Tubew ell","Ground Water","PRIMARY SCHOOL RAMPUR","HandPump","NRDWP SCHOOL TARGET(0007098453)"
24,"RAMPUR","YADAV TOLA","Deep Tubew ell","Ground Water","T/W 2","HandPump","Gogari Block Ht Scheme(0004009280)"
25,"RAMPUR","YADAV TOLA","Shallow Tubew ell","Ground Water","T/W 1","HandPump","GOGARI H.T. Water Supply Scheme(0001987609)"
