"Sno.","VillageName","HabitationName","SourceType","SourceTypeCategoryLocation","Location","Type","Scheme Name"
1,"SHERCHAKLA","BABUCHAKLA","DeepTubew ell","Ground Water",,"HandPump","Gogari Block HtScheme(0004009280)"
2,"SHERCHAKLA","BABUCHAKLA","DeepTubew ell","Ground Water",,"HandPump","Gogari HtScheme(0002677321)"
3,"SHERCHAKLA","BABUCHAKLA","ShallowTubew ell","Ground Water",,"HandPump","Gogri Hand PumpScheme(0001989934)"
4,"SHERCHAKLA","BABUCHAKLA","DeepTubew ell","Ground Water","BABULALTHAKUR","HandPump","IM-II NRDWPSUSTAINABLE T/W(Sri NavinKumar(0006492052)"
5,"SHERCHAKLA","BABUCHAKLA","ShallowTubew ell","Ground Water","Haridev Singh","HandPump","SustainableT/W(0006952680)"
6,"SHERCHAKLA","DINA CHAKLA","DeepTubew ell","Ground Water",,"HandPump","Gogari Block HtScheme(0004009280)"
7,"SHERCHAKLA","DINA CHAKLA","ShallowTubew ell","Ground Water",,"HandPump","GOGARI H.T. WaterSupplyScheme(0001987609)"
8,"SHERCHAKLA","DINA CHAKLA","ShallowTubew ell","Ground Water","Shyam Singh","HandPump","SustainableT/W(0006952680)"
9,"SHERCHAKLA","FUDKICHAK","DeepTubew ell","Ground Water",,"HandPump","Gogari Block HtScheme(0004009280)"
10,"SHERCHAKLA","FUDKICHAK","DeepTubew ell","Ground Water",,"HandPump","Gogari HtScheme(0002677321)"
11,"SHERCHAKLA","FUDKICHAK","ShallowTubew ell","Ground Water",,"HandPump","Gogri Hand PumpScheme(0001989934)"
12,"SHERCHAKLA","GAMGHATTA","DeepTubew ell","Ground Water",,"HandPump","Gogari Block HtScheme(0004009280)"
13,"SHERCHAKLA","GAMGHATTA","DeepTubew ell","Ground Water",,"HandPump","Gogari HtScheme(0002677321)"
14,"SHERCHAKLA","GAMGHATTA","ShallowTubew ell","Ground Water",,"HandPump","Gogri Hand PumpScheme(0001989934)"
15,"SHERCHAKLA","HARIJANTOLA","DeepTubew ell","Ground Water",,"HandPump","Gogari Block HtScheme(0004009280)"
16,"SHERCHAKLA","HARIJANTOLA","DeepTubew ell","Ground Water",,"HandPump","Gogari HtScheme(0002677321)"
17,"SHERCHAKLA","HARIJANTOLA","ShallowTubew ell","Ground Water",,"HandPump","Gogri Hand PumpScheme(0001989934)"
18,"SHERCHAKLA","HARIPUR","DeepTubew ell","Ground Water",,"HandPump","Gogari HtScheme(0002677321)"
19,"SHERCHAKLA","HARIPUR","ShallowTubew ell","Ground Water",,"HandPump","Gogri Hand PumpScheme(0001989934)"
20,"SHERCHAKLA","KHORANAU","DeepTubew ell","Ground Water",,"HandPump","Gogari Block HtScheme(0004009280)"
21,"SHERCHAKLA","KHORANAU","ShallowTubew ell","Ground Water",,"HandPump","GOGARI H.T. WaterSupplyScheme(0001987609)"
22,"SHERCHAKLA","SHERCHAKLA","DeepTubew ell","Ground Water",,"HandPump","Gogari Block HtScheme(0004009280)"
23,"SHERCHAKLA","SHERCHAKLA","ShallowTubew ell","Ground Water",,"HandPump","GOGARI H.T. WaterSupplyScheme(0001987609)"
24,"SHERCHAKLA","SHERCHAKLA","DeepTubew ell","Ground Water","PULKITYADAV","HandPump","IM-II NRDWPSUSTAINABLE T/W(Sri NavinKumar(0006492052)"
25,"SHERCHAKLA","SHERCHAKLA","ShallowTubew ell","Ground Water",,"HandPump","INSTALLATION OFHANDPUMPS(0001960355)"
