"Sno.","Village Name","Habitation Name","Source Type","Source Type Category Location","Location","Type","Scheme Name"
1,"BUNDEHRA","BANDEHRA","Deep Tubew ell","Ground Water","MD. INTESAR","HandPump","IM-II NRDWP SUSTAINABLE T/W (Sri Navin Kumar(0006492052)"
2,"BUNDEHRA","BANDEHRA","Deep Tubew ell","Ground Water","SACHIDANAND YADAV","HandPump","IM-II NRDWP SUSTAINABLE T/W (Sri Navin Kumar(0006492052)"
3,"BUNDEHRA","BANDEHRA","Deep Tubew ell","Ground Water","RJD OFFICE","HandPump","IM-II NRDWP SUSTAINABLE T/W (Sri Navin Kumar(0006492052)"
4,"BUNDEHRA","BANDEHRA","Shallow Tubew ell","Ground Water","Water Supply Scheme","HandPump","PARBATTA H.T. Water Scheme(0001987945)"
5,"BUNDEHRA","BANDEHRA","Deep Tubew ell","Ground Water","Sachi Kumar","HandPump","Parbatta Ht Scheme(0004012352)"
6,"BUNDEHRA","BANDEHRA","Shallow Tubew ell","Ground Water","MIDDLE SCHOOL BANDEHRA","HandPump","SCHOOL DWS PARBATTA(0002717381)"
7,"BUNDEHRA","BANDEHRA","Shallow Tubew ell","Ground Water","MIDDLE SCHOOL BANDEHRA","HandPump","SCHOOL DWS PARBATTA(0002717504)"
8,"BUNDEHRA","BANDEHRA","Deep Tubew ell","Ground Water","PRIMARY SCHOOL CHHOTI BUNDEHRA","HandPump","School Scheme Of Khagaria(0006243088)"
9,"BUNDEHRA","BANDEHRA","Deep Tubew ell","Ground Water","PRIMARY SCHOOL BUNDEHRA PURBI","HandPump","School Scheme Of Khagaria(0006243088)"
10,"BUNDEHRA","BANDEHRA","Deep Tubew ell","Ground Water","PRIMARY SCHOOL BUNDEHRA DAXIN TOLA","HandPump","School Scheme Of Khagaria(0006243088)"
11,"BUNDEHRA","BANDEHRA","Deep Tubew ell","Ground Water","MIDDLE SCHOOL BANDEHRA","HandPump","School Scheme Of Khagaria(0006243088)"
12,"BUNDEHRA","BANDEHRA","Shallow Tubew ell","Ground Water","Masjid","HandPump","Sustainable T/W(0006952680)"
13,"BUNDEHRA","BARHI TOLA","Deep Tubew ell","Ground Water","T/W 3","HandPump","Mansi Quality Habitation Scheme(0005816227)"
14,"BUNDEHRA","BARHI TOLA","Deep Tubew ell","Ground Water","T/W 2","HandPump","Parbatta Ht Scheme(0004012352)"
15,"BUNDEHRA","BARHI TOLA","Shallow Tubew ell","Ground Water","T/W 1","HandPump","PARBATTA New  Sinking H.T. Water Supply Scheme(0001989555)"
16,"BUNDEHRA","BHAGAT TOLA","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA H.T. Water Scheme(0001987945)"
17,"BUNDEHRA","BHAGAT TOLA","Deep Tubew ell","Ground Water",,"HandPump","Parbatta Ht Scheme(0004012352)"
18,"BUNDEHRA","HARIZAN TOLA","Deep Tubew ell","Ground Water",,"HandPump","Parbatta Ht Scheme(0004012352)"
19,"BUNDEHRA","HARIZAN TOLA","Shallow Tubew ell","Ground Water","Kali Mandir","HandPump","Sustainable T/W(0006952680)"
20,"BUNDEHRA","YADAV TOLA","Deep Tubew ell","Ground Water",,"HandPump","Parbatta Ht Scheme(0004012352)"
21,"BUNDEHRA","YADAV TOLA","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA New  Sinking H.T. Water Supply Scheme(0001989555)"
