"Sno.","Village Name","Habitation Name","Source Type","Source Type Category Location","Location","Type","Scheme Name"
1,"BALHA","BALHA","Deep Tubew ell","Ground Water","MUSLIM TOLA","HandPump","IM-II NRDWP SUSTAINABLE T/W (Sri Navin Kumar(0006492052)"
2,"BALHA","BALHA","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA H.T. Water Scheme(0001987945)"
3,"BALHA","BALHA","Deep Tubew ell","Ground Water","PRIMARY SCHOOL BALHA","HandPump","School Scheme Of Khagaria(0006243088)"
4,"BALHA","HARIZAN TOLA","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA New Sinking H.T. Water Supply Scheme(0001989555)"
5,"KABAILA","DUMARIYA KHURD","Deep Tubew ell","Ground Water","SHYAMANAND JHA","HandPump","IM-II NRDWP SUSTAINABLE T/W (Sri Navin Kumar(0006492052)"
6,"KABAILA","DUMARIYA KHURD","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA New Sinking H.T. Water Supply Scheme(0001989555)"
7,"KABAILA","HARIZAN TOLA","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA New Sinking H.T. Water Supply Scheme(0001989555)"
8,"KABAILA","HARIZAN TOLA","Shallow Tubew ell","Ground Water","Near Chow k","HandPump","Sustainable T/W(0006952680)"
9,"KABAILA","KABELA","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA H.T. Water Scheme(0001987945)"
10,"KABAILA","KABELA","Shallow Tubew ell","Ground Water","Arun Kumar","HandPump","Sustainable T/W(0006952680)"
11,"KHARAGPURA","KHARAGPUR","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA New Sinking H.T. Water Supply Scheme(0001989555)"
12,"KHARAGPURA","KHARAGPUR","Deep Tubew ell","Ground Water","NEW SCHOOL DUMARIAGHAT","HandPump","School Scheme Of Khagaria(0006243088)"
13,"KHARAGPURA","KHARAGPUR","Deep Tubew ell","Ground Water","MIDDLE SCHOOL KABAILA","HandPump","School Scheme Of Khagaria(0006243088)"
14,"KHARAGPURA","KHARAGPUR","Deep Tubew ell","Ground Water","MODEL SCHOOL DUMARIA KHURD","HandPump","School Scheme Of Khagaria(0006243088)"
15,"KHARAGPURA","KHARAGPURA","Deep Tubew ell","Ground Water",,"HandPump","Nc/Pc Hand Pump Scheme(0004568388)"
16,"KHARAGPURA","KHARAGPURA","Shallow Tubew ell","Ground Water",,"HandPump","NRDWP(0004708017)"
17,"KHARAGPURA","KHARAGPURA","Deep Tubew ell","Ground Water","PRIMARY SCHOOL KHARAGPURA","HandPump","School Scheme Of Khagaria(0006243088)"
18,"KHARAGPURA","KHARAGPURA","Shallow Tubew ell","Ground Water",,"HandPump","SPOT SOURCE(0004708653)"
