"Sno.","Village Name","Habitation Name","Source Type","Source Type Category Location","Location","Type","Scheme Name"
1,"MEHDIPUR","HARIZAN TOLA","Shallow Tubew ell","Ground Water",,"HandPump","NRDWP(0004708017)"
2,"MEHDIPUR","HARIZAN TOLA","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA New  Sinking H.T. Water Supply Scheme(0001989555)"
3,"MEHDIPUR","HARIZAN TOLA","Shallow Tubew ell","Ground Water","Durga Sthan","HandPump","Sustainable T/W(0006952680)"
4,"MEHDIPUR","MAHADDIPUR","Deep Tubew ell","Ground Water","SIR DILIP SINGH","HandPump","IM-II NRDWP SUSTAINABLE T/W (Sri Navin Kumar(0006492052)"
5,"MEHDIPUR","MAHADDIPUR","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA H.T. Water Scheme(0001987945)"
6,"MEHDIPUR","MAHADDIPUR","Infiltration Gallery","Ground Water","MIDDLE SCHOOL MAHADDIPUR","HandPump","SCHOOL DWS PARBATTA(0002717382)"
7,"MEHDIPUR","MAHADDIPUR","Shallow Tubew ell","Ground Water","Near Chow k","HandPump","Sustainable T/W(0006952680)"
8,"MEHDIPUR","PACHIM TOLA","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA New  Sinking H.T. Water Supply Scheme(0001989555)"
9,"MEHDIPUR","PURAB TOLA","Deep Tubew ell","Ground Water","KALI STHAN","HandPump","IM-II NRDWP SUSTAINABLE T/W (Sri Navin Kumar(0006492052)"
10,"MEHDIPUR","PURAB TOLA","Deep Tubew ell","Ground Water","DUGRA STHAN","HandPump","IM-II NRDWP SUSTAINABLE T/W (Sri Navin Kumar(0006492052)"
11,"MEHDIPUR","PURAB TOLA","Shallow Tubew ell","Ground Water",,"HandPump","NRDWP(0004708017)"
12,"MEHDIPUR","PURAB TOLA","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA New  Sinking H.T. Water Supply Scheme(0001989555)"
