"Sno.","Village Name","Habitation Name","Source Type","Source Type Category Location","Location","Type","Scheme Name"
1,"KHIRARAHI","KHIRADIH","Deep Tubew ell","Ground Water","MAHARANI MANDIR","HandPump","IM-II NRDWP SUSTAINABLE T/W (Sri Navin Kumar(0006492052)"
2,"KHIRARAHI","KHIRADIH","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA H.T. Water Scheme(0001987945)"
3,"KHIRARAHI","KHIRADIH","Deep Tubew ell","Ground Water",,"HandPump","Parbatta Ht Scheme(0004012352)"
4,"KHIRARAHI","MINAPUR","Deep Tubew ell","Ground Water",,"HandPump","Parbatta Ht Scheme(0004012352)"
5,"KHIRARAHI","SRI RAMPUR","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA H.T. Water Scheme(0001987945)"
6,"KHIRARAHI","SRI RAMPUR","Deep Tubew ell","Ground Water",,"HandPump","Parbatta Ht Scheme(0004012352)"
7,"SIADATPUR AGUANI","BABRAHA","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA H.T. Water Scheme(0001987945)"
8,"SIADATPUR AGUANI","BABRAHA","Deep Tubew ell","Ground Water",,"HandPump","Parbatta Ht Scheme(0004012352)"
9,"SIADATPUR AGUANI","DUMARIA BUJURG","Deep Tubew ell","Ground Water",,"HandPump","Parbatta Ht Scheme(0004012352)"
10,"SIADATPUR AGUANI","DUMARIA BUJURG","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA New  Sinking H.T. Water Supply Scheme(0001989555)"
11,"SIADATPUR AGUANI","DUMARIA BUJURG","Shallow Tubew ell","Ground Water","MIDDLE SCHOOL DUMARIA BUJURG","HandPump","SCHOOL DWS PARBATTA(0002717371)"
12,"SIADATPUR AGUANI","PACHHIM TOLA","Deep Tubew ell","Ground Water","T/W2","HandPump","Mansi Quality Habitation Scheme(0005816227)"
13,"SIADATPUR AGUANI","PACHHIM TOLA","Deep Tubew ell","Ground Water","IN SIDE OF HABITATION","PWS","MPWSS WITH SOLAR ENERGY (PACHIM TOLA) (0006547186)"
14,"SIADATPUR AGUANI","PACHHIM TOLA","Deep Tubew ell","Ground Water","T/W1","HandPump","Parbatta Ht Scheme(0004012352)"
15,"SIADATPUR AGUANI","PURAB TOLA","Deep Tubew ell","Ground Water","IN SIDE HABITATION SITE 1","HandPump","C/S OF IMII HANDPUMP WITH IRP IN KHAGARIA(0006547665)"
16,"SIADATPUR AGUANI","PURAB TOLA","Deep Tubew ell","Ground Water","IN SIDE OF HABITATION SITE 2","HandPump","C/S OF IMII HANDPUMP WITH IRP IN KHAGARIA(0006547665)"
17,"SIADATPUR AGUANI","PURAB TOLA","Deep Tubew ell","Ground Water","T/W2","HandPump","Mansi Quality Habitation Scheme(0005816227)"
18,"IADATPUR GUANI","PURAB TOLA","Deep Tubew ell","Ground Water","T/W1","HandPump","Parbatta Ht Scheme(0004012352)"
19,"IADATPUR GUANI","RANKA","Deep Tubew ell","Ground Water","T/W 3","HandPump","Khagaria Arsenic, Iron Aff. Habitation Scheme(0005590179)"
20,"IADATPUR GUANI","RANKA","Deep Tubew ell","Ground Water","T/W4","HandPump","Khagaria Arsenic, Iron Aff. Habitation Scheme(0005590179)"
21,"IADATPUR GUANI","RANKA","Shallow Tubew ell","Ground Water","T/W1","HandPump","PARBATTA H.T. Water Scheme(0001987945)"
22,"IADATPUR GUANI","RANKA","Deep Tubew ell","Ground Water","T/W2","HandPump","Parbatta Ht Scheme(0004012352)"
23,"IADATPUR GUANI","RANKA","Shallow Tubew ell","Ground Water","MIDDLE SCHOOL RAKA","HandPump","SCHOOL DWS PARBATTA(0002717370)"
24,"IADATPUR GUANI","SIADAT PUR AGUANI","Deep Tubew ell","Ground Water",,"HandPump","Mansi Quality Habitation Scheme(0005816227)"
25,"IADATPUR GUANI","SIADAT PUR AGUANI","Deep Tubew ell","Ground Water","In Side Of Habitation","PWS","Mpw ss Solar Energy (Siyadatpur Aguani) (0006545166)"
26,"IADATPUR GUANI","SIADAT PUR AGUANI","Deep Tubew ell","Ground Water","Bhagvati Sthan","HandPump","NRDWP(0007074667)"
27,"IADATPUR GUANI","SIADAT PUR AGUANI","Deep Tubew ell","Ground Water",,"HandPump","Parbatta Ht Scheme(0004012352)"
28,"IADATPUR GUANI","SIADAT PUR AGUANI","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA New  Sinking H.T. Water Supply Scheme(0001989555)"
29,"IADATPUR GUANI","SIADATPUR AGUANI","Deep Tubew ell","Ground Water","GOPAL SINGH","HandPump","IM-II NRDWP SUSTAINABLE T/W (Sri Navin Kumar(0006492052)"
30,"IADATPUR GUANI","SIADATPUR AGUANI","Deep Tubew ell","Ground Water",,"HandPump","Mansi Quality Habitation Scheme(0005816227)"
31,"IADATPUR GUANI","SIADATPUR AGUANI","Deep Tubew ell","Ground Water","In Side Habitation","HandPump","Mini Pipe Water Supply Scheme With Irp Driven By Solarenergy(0006539105)"
32,"IADATPUR GUANI","SIADATPUR AGUANI","Deep Tubew ell","Ground Water","INSIDE OF HABITATION","PWS","Mpw ss IRP SOLAR ENERY (SIYADATPUR AGUANI)(0006547153)"
33,"IADATPUR GUANI","SIADATPUR AGUANI","Shallow Tubew ell","Ground Water",,"HandPump","PARBATTA H.T. Water Scheme(0001987945)"
34,"IADATPUR GUANI","SIADATPUR AGUANI","Deep Tubew ell","Ground Water",,"HandPump","Parbatta Ht Scheme(0004012352)"
35,"IADATPUR GUANI","SIADATPUR AGUANI","Shallow Tubew ell","Ground Water","MIDDLE SCHOOL AGUANI","HandPump","SCHOOL DWS PARBATTA(0002717367)"
36,"IADATPUR GUANI","SIADATPUR AGUANI","Shallow Tubew ell","Ground Water","PRIMARY SCHOOL AGUANI","HandPump","SCHOOL DWS PARBATTA(0002717368)"
37,"IADATPUR GUANI","SIADATPUR AGUANI","Shallow Tubew ell","Ground Water","School","HandPump","Sustainable T/W(0006952680)"
38,"IADATPUR GUANI","SIADATPUR AGUANI","Shallow Tubew ell","Ground Water","Mahender Singh","HandPump","Sustainable T/W(0006952680)"
