Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BIKRAM SHER,BIKRAMSER,Deep tubewell,Ground Water,Road Side Me,HandPump,HP Scheme(0004690544)
2,BIKRAM SHER,BIKRAMSER,Shallow tubewell,Ground Water,Ramsagar Sah Ghar Ke Pas,HandPump,MLA QOUTA- BABUBARHI- 1(0006403309)
3,BIKRAM SHER,BIKRAMSER,Shallow tubewell,Ground Water,Satay Lal Choodhray Ghar Ke Niket,HandPump,MLA QUOTA-Babubrahi- 3(0005787702)
4,BIKRAM SHER,BIKRAMSER,Shallow tubewell,Ground Water,Rambahadur Thakur Ghar Se Utar Sadak Se Pachim,HandPump,MLA QUOTA-Babubrahi- 3(0005787702)
5,BIKRAM SHER,BIKRAMSER,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC BABUBARHI- 1(0005694054)
6,BIKRAM SHER,BIKRAMSER,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC BABUBARHI- 1(0005694054)
7,BIKRAM SHER,BIKRAMSER,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC BABUBARHI- 1(0005694054)
8,BIKRAM SHER,BIKRAMSER,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC BABUBARHI- 1(0005694054)
9,BIKRAM SHER,BIKRAMSER,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC(0004557833)
10,BIKRAM SHER,BIKRAMSER,Deep tubewell,Ground Water,M.S Bikramsher,HandPump,School Scheme Of Babubarhi(0006233993)
11,BIKRAM SHER,BIKRAMSER,Shallow tubewell,Ground Water,M.S Bikramsher,HandPump,SCHOOL T/W- BABUBARHI- 1(0006171665)
12,DHAMAURA,DHAMAURA,Deep tubewell,Ground Water,Road Side Me,HandPump,HP Scheme(0004690544)
13,DHAMAURA,DHAMAURA,Shallow tubewell,Ground Water,Ramji Pasw an Ghar Ke Niket Ghar Se Utar Sadak Sr Pachim Patila Tola,HandPump,MLA QUOTA-Babubrahi- 3(0005787702)
14,DHAMAURA,DHAMAURA,Shallow tubewell,Ground Water,Alapsankhyak And Atipichra Tola Ke Bich Kason Tola Par,HandPump,MLA QUOTA-Babubrahi- 3(0005787702)
15,DHAMAURA,DHAMAURA,Deep tubewell,Ground Water,P.S. RAKSAUN DHAMAURA,HandPump,School Scheme Of Babubarhi(0006233993)
16,DHAMAURA,DHAMAURA,Deep tubewell,Ground Water,P.S Pataila Dhamaura,HandPump,School Scheme Of Babubarhi(0006233993)
17,DHAMAURA,DHAMAURA,Deep tubewell,Ground Water,P.S Dhamaura,HandPump,School Scheme Of Babubarhi(0006233993)
18,DHAMAURA,DHAMAURA,Deep tubewell,Ground Water,P.Mak Padampur,HandPump,School Scheme Of Babubarhi(0006233993)
19,DHAMAURA,DHAMAURA,Deep tubewell,Ground Water,New  P.S Rakson,HandPump,School Scheme Of Babubarhi(0006233993)
20,DHAMAURA,DHAMAURA,Shallow tubewell,Ground Water,P.Mak Padampur,HandPump,SCHOOL T/W- BABUBARHI- 1(0006171665)
21,DHAMAURA,DHAMAURA,Shallow tubewell,Ground Water,New  P.S Rakson,HandPump,SCHOOL T/W- BABUBARHI- 1(0006171665)
22,DHAMAURA,DHAMAURA,Shallow tubewell,Ground Water,P.S Pataila Dhamaura,HandPump,SCHOOL T/W- BABUBARHI- 2(0006171872)
