Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,MISRAULIA,CHAUPARI,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC BABUBARHI- 2(0005694194)
2,MISRAULIA,CHAUPARI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002671814)
3,MISRAULIA,CHAUPARI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001967182)
4,MISRAULIA,MISRAULIA,Shallow tubewell,Ground Water,Pappu Thakur And Umakant Jha Ghar Se Uttar Moglaha Jane Wale Sadak Ke Kinare,HandPump,MLA QOUTA- BABUBARHI- 1(0006403309)
5,MISRAULIA,MISRAULIA,Shallow tubewell,Ground Water,Mo Naiym Ghar Ke Niket,HandPump,MLA QOUTA- BABUBARHI- 1(0006403309)
6,MISRAULIA,MISRAULIA,Shallow tubewell,Ground Water,Parbhat Kumar Ray S/O Baijnath Ray Ghar Ke Niket,HandPump,MLA QOUTA- BABUBARHI- 1(0006403309)
7,MISRAULIA,MISRAULIA,Shallow tubewell,Ground Water,Mahesh Pasw an Ghar Ke Samne Kuw a Ke Niket,HandPump,MLA QUOTA-Babubrahi- 3(0005787702)
8,MISRAULIA,MISRAULIA,Shallow tubewell,Ground Water,Mo Naiyar Aajam S/O Abdul Rahim Ghar Ke Pas,HandPump,MLA QUOTA-Babubrahi- 3(0005787702)
9,MISRAULIA,MISRAULIA,Shallow tubewell,Ground Water,Shivlal Mandal S/O Sr Fulchand Mandal Ghar Se Utar Sadak Ke Kinare Chay Dukan Ke Pas,HandPump,MLA QUOTA-Babubrahi- 3(0005787702)
10,MISRAULIA,MISRAULIA,Shallow tubewell,Ground Water,B,HandPump,NC/PC BABUBARHI- 1(0006534242)
11,MISRAULIA,MISRAULIA,Shallow tubewell,Ground Water,A,HandPump,NC/PC BABUBARHI- 1(0006534242)
12,MISRAULIA,MISRAULIA,Deep tubewell,Ground Water,U.M.S.RAHIKPUR,HandPump,School Scheme Of Babubarhi(0006233993)
13,MISRAULIA,MISRAULIA,Deep tubewell,Ground Water,P.S Moglaha Dom Tol,HandPump,School Scheme Of Babubarhi(0006233993)
14,MISRAULIA,MISRAULIA,Deep tubewell,Ground Water,P.S Barhara Urdu,HandPump,School Scheme Of Babubarhi(0006233993)
15,MISRAULIA,MISRAULIA,Deep tubewell,Ground Water,P.Mak Mishrauliya,HandPump,School Scheme Of Babubarhi(0006233993)
16,MISRAULIA,MISRAULIA,Deep tubewell,Ground Water,New  P.S Gopo Patti,HandPump,School Scheme Of Babubarhi(0006233993)
17,MISRAULIA,MISRAULIA,Deep tubewell,Ground Water,M.S Mishrauliya,HandPump,School Scheme Of Babubarhi(0006233993)
18,MISRAULIA,MISRAULIA,Deep tubewell,Ground Water,M.S Barhara,HandPump,School Scheme Of Babubarhi(0006233993)
19,MISRAULIA,MISRAULIA,Shallow tubewell,Ground Water,New  P.S Gopo Patti,HandPump,SCHOOL T/W- BABUBARHI- 1(0006171665)
