Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAUSI,BALANSER,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC BABUBARHI- 2(0005694194)
2,BAUSI,BALANSER,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC BABUBARHI- 2(0005694194)
3,BAUSI,BALANSER,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002671547)
4,BAUSI,BAUSI,Shallow tubewell,Ground Water,Devkumar Pasw an Ghar Ke Niket Bajrang Chw ak,HandPump,MLA QOUTA- BABUBARHI- 1(0006403309)
5,BAUSI,BAUSI,Shallow tubewell,Ground Water,Jakir Ghar Ke Pas,HandPump,MLA QUOTA-Babubrahi- 1(0005487701)
6,BAUSI,BAUSI,Deep tubewell,Ground Water,Nc/Pc Scheme For Babubarhi Block,SPOT,Nc/Pc Scheme For Babubarhi Block(0004563091)
7,BAUSI,BAUSI,Shallow tubewell,Ground Water,U.M.S Bausi Urdu,HandPump,SCHOOL T/W- BABUBARHI- 2(0006171872)
8,BAUSI,BAUSI,Deep tubewell,Ground Water,Road Side Me,HandPump,Spot Source(0004037714)
9,BAUSI,JAMUNIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Babubarhi Block,SPOT,Nc/Pc Scheme For Babubarhi Block(0004563092)
10,BAUSI,JAMUNIA,Deep tubewell,Ground Water,Road Side Me,HandPump,Spot Source(0004037714)
11,HANUMANNAGAR,HANUMAN NAGAR,Deep tubewell,Ground Water,Road Side Me,HandPump,Aghanu Das(0000047855)
12,HANUMANNAGAR,HANUMAN NAGAR,Deep tubewell,Ground Water,Road Side Me,HandPump,Masirul Haque(0000047857)
13,HANUMANNAGAR,HANUMAN NAGAR,Deep tubewell,Ground Water,Road Side Me,HandPump,Md.Hakkir Rahman(0000047860)
14,HANUMANNAGAR,HANUMAN NAGAR,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Shyam Narayan Jha(0000047856)
15,HANUMANNAGAR,HANUMAN NAGAR,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Spot Source(0004037714)
16,TIRHUTA,PAKARIA,Shallow tubewell,Ground Water,Samudaik Bhaban Pakariya,HandPump,Aw w  Hp Babubarahi(0004958007)
17,TIRHUTA,PAKARIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Babubarhi Block,SPOT,Nc/Pc Scheme For Babubarhi Block(0004563093)
18,TIRHUTA,PAKARIA,Deep tubewell,Ground Water,Road Side Me,HandPump,Spot Source(0004037714)
19,TIRHUTA,PARWATIA TOL,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Chow k Par Near Jaamun Tree(0000047917)
20,TIRHUTA,PARWATIA TOL,Shallow tubewell,Ground Water,P.S Parbathiya Tola,HandPump,SCHOOL T/W- BABUBARHI- 2(0006171872)
21,TIRHUTA,PARWATIA TOL,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Spot Source(0004037714)
22,TIRHUTA,RAJWARA,Shallow tubewell,Ground Water,A,HandPump,NC/PC BABUBARHI- 1(0006534242)
23,TIRHUTA,RAJWARA,Deep tubewell,Ground Water,Nc/Pc Scheme For Babubarhi Block,SPOT,Nc/Pc Scheme For Babubarhi Block(0004563094)
24,TIRHUTA,RAJWARA,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Spot Source(0004037714)
25,TIRHUTA,TIRHUTA,Shallow tubewell,Ground Water,P.S Tirhuta Aw c,HandPump,Aw w  Hp Babubarahi(0004958007)
26,TIRHUTA,TIRHUTA,Shallow tubewell,Ground Water,Aabid Husain Mansuri S/Io Rahman Mansuri Ghar Ke Niket,HandPump,MLA QOUTA- BABUBARHI- 1(0006403309)
27,TIRHUTA,TIRHUTA,Shallow tubewell,Ground Water,Srichandra Yadav S/O Asarfi Yadav Ghar Ke Pas Salkhanya,HandPump,MLA QOUTA- BABUBARHI- 1(0006403309)
28,TIRHUTA,TIRHUTA,Shallow tubewell,Ground Water,Bishhara Sthan Ke Pas Thakur Tola,HandPump,MLA QOUTA- BABUBARHI- 1(0006403309)
