Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BHAKUA,BHAKUA,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC KHAJAULI(0005701504)
2,BHAKUA,BHAKUA,Deep tubewell,Ground Water,Nc/Pc Scheme For Khajauli Block,SPOT,Nc/Pc Scheme For Khajauli Block(0004563225)
3,BHAKUA,MARAR NORTH,Deep tubewell,Ground Water,Sadak Kinare-17,HandPump,Manoj Saday(0000048483)
4,BHAKUA,MARAR NORTH,Shallow tubewell,Ground Water,B,HandPump,NC/PC KHAJAULI(0006534965)
5,BHAKUA,MARAR NORTH,Shallow tubewell,Ground Water,A,HandPump,NC/PC KHAJAULI(0006534965)
6,BHAKUA,MARAR NORTH,Shallow tubewell,Ground Water,B,HandPump,NC/PC KHAJAULI(0006534966)
7,BHAKUA,MARAR NORTH,Shallow tubewell,Ground Water,A,HandPump,NC/PC KHAJAULI(0006534966)
8,BHAKUA,MARAR NORTH,Shallow tubewell,Ground Water,A,HandPump,NC/PC KHAJAULI(0006539419)
9,GOBROURA CHATRA,BALUA TOL,Shallow tubewell,Ground Water,Smt Raj Nandni Pasw an S/O Late Ramjeet Pasw an Ke Ghar Ke Niket,HandPump,MLA QOUTA-KHAJULI- 1(0006428746)
10,GOBROURA CHATRA,BALUA TOL,Shallow tubewell,Ground Water,P.S Chatra Balua,HandPump,SCHOOL T/W- KHAJAULI- 2(0006184576)
11,GOBROURA CHATRA,BALUA TOL,Deep tubewell,Ground Water,(Non Mandatory,HandPump,Spot Source(0002683327)
12,GOBROURA CHATRA,BALUA TOL,Shallow tubewell,Ground Water,Mahavir Pasw an,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W KHAJAULI(0006352229)
13,GOBROURA CHATRA,DHUNIYA TOL,Deep tubewell,Ground Water,Road Side Me,HandPump,Masjid(0000048472)
14,GOBROURA CHATRA,DHUNIYA TOL,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Naw aji Miyan(0000048475)
15,GOBROURA CHATRA,GOBROURA,Shallow tubewell,Ground Water,Aw c Dadha- 29,HandPump,Anganw ari Hp Khajouli 2(0005252469)
16,GOBROURA CHATRA,GOBROURA,Shallow tubewell,Ground Water,Aw c Dadha- 21,HandPump,Anganw ari Hp Khajouli 2(0005252469)
17,GOBROURA CHATRA,GOBROURA,Shallow tubewell,Ground Water,Aw c Dadha- 20,HandPump,Anganw ari Hp Khajouli 2(0005252469)
18,GOBROURA CHATRA,GOBROURA,Shallow tubewell,Ground Water,Aw c Dadha- 109,HandPump,Anganw ari Hp Khajouli 2(0005252469)
19,GOBROURA CHATRA,GOBROURA,Shallow tubewell,Ground Water,Aw c Dadha- 29,HandPump,Anganw ari Khajauli Block(0005467456)
20,GOBROURA CHATRA,GOBROURA,Shallow tubewell,Ground Water,Aw c Dadha- 21,HandPump,Anganw ari Khajauli Block(0005467456)
21,GOBROURA CHATRA,GOBROURA,Shallow tubewell,Ground Water,Aw c Dadha- 109,HandPump,Anganw ari Khajauli Block(0005467456)
22,GOBROURA CHATRA,GOBROURA,Shallow tubewell,Ground Water,Aw c Dadha- 20,HandPump,Anganw ari Khajauli Block(0005467456)
23,GOBROURA CHATRA,GOBROURA,Shallow tubewell,Ground Water,Sr Pandit Kaibar S/O Sr Gangay Kaibar Ke Ghar Ke Pas,HandPump,MLA QOUTA-KHAJULI- 1(0006428746)
24,GOBROURA CHATRA,GOBROURA,Shallow tubewell,Ground Water,Sr Mishrilal Yadav S/O Late Aklu Yadav Ghar Ke Pas,HandPump,MLA QOUTA-KHAJULI- 1(0006428746)
25,GOBROURA CHATRA,GOBROURA,Shallow tubewell,Ground Water,Nahar Chaw k Utar Bari Bhandh Par,HandPump,MLA QOUTA-KHAJULI- 1(0006428746)
26,GOBROURA CHATRA,GOBROURA,Shallow tubewell,Ground Water,Sr Shivji Chaudhary S/O Late Nathuni Chaudhary Ghar Ke Niket Sadak Kinare Pokhra Bhinda Par,HandPump,MLA QOUTA-KHAJULI- 1(0006428746)
27,GOBROURA CHATRA,GOBROURA,Shallow tubewell,Ground Water,Lagandev Saday S/O Thakay Saday Ghar Se Pachim Marar Mushari,HandPump,MLA QUOTA- KHAJAULI- 3(0005511349)
28,GOBROURA CHATRA,GOBROURA,Shallow tubewell,Ground Water,Mahendar Safi S/O Met Bahru Safi Ghar Ke South -,HandPump,MLA QUOTA- KHAJAULI- 3(0005511349)
