Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BELAHI,BAGULBA,Shallow tubewell,Ground Water,Aw c Center No 02,HandPump,ANGANWARDI T/W - LADANYA(0006363015)
2,BELAHI,BAGULBA,Shallow tubewell,Ground Water,Aw c Center No 02,HandPump,Anganw ari Ladania Block 1(0005467812)
3,BELAHI,BAGULBA,Shallow tubewell,Ground Water,Kapleshw ar Mukhya Ghar Ke Niket Sadak Kinare,HandPump,MLA QOUTA-LADANYA- 1(0006418644)
4,BELAHI,BAGULBA,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC LADANIA- 1(0005701924)
5,BELAHI,BAGULBA,Shallow tubewell,Ground Water,P.S Bagulba,HandPump,SCHOOL T/W-LADANIYA- 1(0006238411)
6,BELAHI,BAGULBA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004068397)
7,BELAHI,BELAHI,Shallow tubewell,Ground Water,Aw c Center No 06,HandPump,ANGANWARDI T/W - LADANYA(0006363015)
8,BELAHI,BELAHI,Shallow tubewell,Ground Water,Aw c Center No 05,HandPump,ANGANWARDI T/W - LADANYA(0006363015)
9,BELAHI,BELAHI,Shallow tubewell,Ground Water,Aw c Center No 04,HandPump,ANGANWARDI T/W - LADANYA(0006363015)
10,BELAHI,BELAHI,Shallow tubewell,Ground Water,Aw c Center No 05,HandPump,Anganw ari Ladania Block 1(0 05467812) b
11,BELAHI,BELAHI,Shallow tubewell,Ground Water,Aw c Center No 04,HandPump,Anganw ari Ladania Block 1(0005467812)
12,BELAHI,BELAHI,Shallow tubewell,Ground Water,Aw c Center No 06,HandPump,Anganw ari Ladania Block 2(0005467917)
13,BELAHI,BELAHI,Shallow tubewell,Ground Water,Chaw k Road Se North,HandPump,MLA QOUTA-LADANYA- 1(0006418644)
14,BELAHI,BELAHI,Shallow tubewell,Ground Water,Bhogi Pathak Ghar Ke Niket,HandPump,MLA QOUTA-LADANYA- 1(0006418644)
15,BELAHI,BELAHI,Shallow tubewell,Ground Water,Ramdev Saday S/O Ghuran Saday Ghar Ke Niket,HandPump,MLA QUOTA-Ladnya- 2(0005501949)
16,BELAHI,BELAHI,Shallow tubewell,Ground Water,Sambhu Ram Ghar Ke Niket Kouapati,HandPump,MLA QUOTA-Ladnya- 2(0005501949)
17,BELAHI,BELAHI,Shallow tubewell,Ground Water,N.P.S Kauapatti Sc Tol,HandPump,SCHOOL T/W-LADANIYA- 1(0006238411)
18,BELAHI,BELAHI,Shallow tubewell,Ground Water,N.P.S Karunahi Mushari,HandPump,SCHOOL T/W-LADANIYA- 1(0006238411)
19,BELAHI,BELAHI,Shallow tubewell,Ground Water,M.S Shorw a,HandPump,SCHOOL T/W-LADANIYA- 1(0006238411)
20,BELAHI,BELAHI,Shallow tubewell,Ground Water,P.S Belahi,HandPump,SCHOOL T/W-LADANIYA- 1(0006238411)
