Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAURAHA,BAURAHA,Shallow tubewell,Ground Water,Bali Mandal Ghar Ke Niket,HandPump,MLA QOUTA-LADANYA- 1(0006418644)
2,BAURAHA,BAURAHA,Shallow tubewell,Ground Water,Ramjanki Mandir Ke Niket,HandPump,MLA QUOTA-Ladnya- 4(0005503688)
3,BAURAHA,BAURAHA,Shallow tubewell,Ground Water,B,HandPump,NC/PC LADANIYAN(0006535066)
4,BAURAHA,BAURAHA,Shallow tubewell,Ground Water,A,HandPump,NC/PC LADANIYAN(0006535066)
5,BAURAHA,BAURAHA,Shallow tubewell,Ground Water,P.S Barha Girl,HandPump,SCHOOL T/W-LADANIYA- 1(0006238411)
6,BAURAHA,BAURAHA,Deep tubewell,Ground Water,T/W 1,HandPump,Spot Source Scheme 3(0007086586)
7,BAURAHA,BAURAHA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001968029)
8,BHUTAHA,BHUTAHA,Shallow tubewell,Ground Water,Birbal Saday Ghar Ke Bagal Me Purbi Tola Mushari,HandPump,MLA QUOTA-Ladnya- 4(0005503688)
9,BHUTAHA,BHUTAHA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ladania Block,SPOT,Nc/Pc Scheme For Ladania Block(0004563255)
10,BHUTAHA,BHUTAHA,Shallow tubewell,Ground Water,P.S Bhutaha,HandPump,SCHOOL T/W-LADANIYA- 1(0006238411)
11,BHUTAHA,BHUTAHA,Deep tubewell,Ground Water,Road Side Me,HandPump,Spot Source (HT) Scheme(0004690598)
12,BHUTAHA,DHUTTA,Deep tubewell,Ground Water,Chow k Par,HandPump,Harlakhi Spot Source Scheme(0004713242)
13,BHUTAHA,DHUTTA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ladania Block,SPOT,Nc/Pc Scheme For Ladania Block(0004563256)
14,BHUTAHA,GIDHWAS,Deep tubewell,Ground Water,Chow k Par,HandPump,Harlakhi Spot Source Scheme(0004713242)
15,BHUTAHA,GIDHWAS,Shallow tubewell,Ground Water,Mandir Ke Samne,HandPump,NC/PC LADANIA- 1(0005701924)
16,BHUTAHA,GIDHWAS,Deep tubewell,Ground Water,Nc/Pc Scheme For Ladania Block,SPOT,Nc/Pc Scheme For Ladania Block(0004563257)
17,BHUTAHA,GOSAITOL,Deep tubewell,Ground Water,Chow k Par,HandPump,Harlakhi Spot Source Scheme(0004713242)
18,BHUTAHA,GOSAITOL,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC LADANIA- 1(0005701924)
19,BHUTAHA,GOSAITOL,Deep tubewell,Ground Water,Nc/Pc Scheme For Ladania Block,SPOT,Nc/Pc Scheme For Ladania Block(0004563258)
20,BHUTAHA,GULARIA,Deep tubewell,Ground Water,Masjid Ke Paas,HandPump,Harlakhi Spot Source Scheme(0004713242)
21,BHUTAHA,GULARIA,Shallow tubewell,Ground Water,Sarw ajanik Sthan,HandPump,NC/PC LADANIA- 1(0005701924)
22,BHUTAHA,GULARIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ladania Block,SPOT,Nc/Pc Scheme For Ladania Block(0004563259)
23,BHUTAHA,SAJMANIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ladania Block,SPOT,Nc/Pc Scheme For Ladania Block(0004563260)
24,BHUTAHA,SAJMANIA,Deep tubewell,Ground Water,Chow k Par,HandPump,Spot Source (HT) Scheme(0004690598)
25,GIDHWAS,GIDHWAS,Shallow tubewell,Ground Water,Aw c Center No 32,HandPump,ANGANWARDI T/W - LADANYA(0006363015)
26,GIDHWAS,GIDHWAS,Shallow tubewell,Ground Water,Aw c Center No 35,HandPump,ANGANWARDI T/W - LADANYA(0006363015)
27,GIDHWAS,GIDHWAS,Shallow tubewell,Ground Water,Aw c Center No 31,HandPump,Anganw ari Ladania Block 1(0005467812)
28,GIDHWAS,GIDHWAS,Shallow tubewell,Ground Water,Aw c Center No 35,HandPump,Anganw ari Ladania Block 1(0005467812)
29,GIDHWAS,GIDHWAS,Shallow tubewell,Ground Water,Aw c Center No 32,HandPump,Anganw ari Ladania Block 1(0005467812)
30,GIDHWAS,GIDHWAS,Shallow tubewell,Ground Water,Ratan Pasw an S/O Late Uttim Lal Pasw an Ghar Ke Niket,HandPump,MLA QOUTA-LADANYA- 1(0006418644)
31,GIDHWAS,GIDHWAS,Shallow tubewell,Ground Water,Beldarhi Mod Par,HandPump,MLA QUOTA-Ladnya- 4(0005503688)
32,GIDHWAS,GIDHWAS,Shallow tubewell,Ground Water,Hari Pasw an And Bhingur Pasw an Mandal Ghar Kd Bich Than Tol,HandPump,MLA QUOTA-Ladnya- 4(0005503688)
33,GIDHWAS,GIDHWAS,Shallow tubewell,Ground Water,Danvir Mandal Ghar Ke Niket,HandPump,MLA QUOTA-Ladnya- 4(0005503688)
34,GIDHWAS,GIDHWAS,Shallow tubewell,Ground Water,N.P.S Dhatta Mushari,HandPump,SCHOOL T/W-LADANIYA- 1(0006238411)
35,GIDHWAS,GIDHWAS,Shallow tubewell,Ground Water,P.S Kabilasa,HandPump,SCHOOL T/W-LADANIYA- 1(0006238411)
36,GIDHWAS,GIDHWAS,Shallow tubewell,Ground Water,P.S Gidw as Goth,HandPump,SCHOOL T/W-LADANIYA- 1(0006238411)
37,GIDHWAS,GIDHWAS,Shallow tubewell,Ground Water,N.P.S Sajmaniya Tol,HandPump,SCHOOL T/W-LADANIYA- 1(0006238411)
38,GIDHWAS,GIDHWAS,Shallow tubewell,Ground Water,U.M.S Gidw as,HandPump,SCHOOL T/W-LADANIYA- 2(0006242795)
39,GIDHWAS,GIDHWAS,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002681636)
40,GIDHWAS,GIDHWAS,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001968029)
41,GIDHWAS,GIDHWAS,Shallow tubewell,Ground Water,Kushe Pasw an,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD LADANIA(0005819837)
42,GIDHWAS,KAWILASA,Shallow tubewell,Ground Water,Rambrijh Yadav Ghar Ke Niket,HandPump,MLA QOUTA-LADANYA- 1(0006418644)
43,GIDHWAS,KAWILASA,Shallow tubewell,Ground Water,A,HandPump,NC/PC LADANIYA(0006539735)
44,GIDHWAS,KAWILASA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001967494)
45,GIDHWAS,MOHANPUR,Deep tubewell,Ground Water,Chow k Par,HandPump,Makhan Kamat(0000048036)
46,GIDHWAS,MOHANPUR,Shallow tubewell,Ground Water,Santosh Kumar Misra S/O Abhaykant Misra Ghar Ke Niket,HandPump,MLA QOUTA-LADANYA- 1(0006418644)
47,GIDHWAS,MOHANPUR,Shallow tubewell,Ground Water,N.P.S Moinpur,HandPump,SCHOOL T/W-LADANIYA- 1(0006238411)
48,GIDHWAS,MOHANPUR,Deep tubewell,Ground Water,Road Side Me,HandPump,Spot Source (HT) Scheme(0004690598)
49,GIDHWAS,MOHANPUR,Deep tubewell,Ground Water,Sarw ajanik Sthan,HandPump,Yogendra Mandal(0000048044)
50,GIDHWAS,RAMNAGAR,Deep tubewell,Ground Water,Nc/Pc Scheme For Ladania Block,SPOT,Nc/Pc Scheme For Ladania Block(0004563261)
51,GIDHWAS,RAMNAGAR,Deep tubewell,Ground Water,Road Kinare,HandPump,Spot Source (HT) Scheme(0004690598)
52,GIDHWAS,THANTOLA,Deep tubewell,Ground Water,Road Side Me,HandPump,Harlakhi Spot Source Scheme(0004713242)
53,GIDHWAS,THANTOLA,Shallow tubewell,Ground Water,Nandilal Yadav Ghar Ke Niket,HandPump,MLA QOUTA-LADANYA- 1(0006418644)
54,GIDHWAS,THANTOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ladania Block,SPOT,Nc/Pc Scheme For Ladania Block(0004563262)
55,SIPAHGIRI,MUSHARI,Deep tubewell,Ground Water,Road Side Me,HandPump,Budheshw ar Sadai(0000048028)
56,SIPAHGIRI,MUSHARI,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Harlakhi Spot Source Scheme(0004713242)
57,SIPAHGIRI,SIPAHIGIRI,Deep tubewell,Ground Water,Chow k Par,HandPump,Basudeo Sah(0000048016)
58,SIPAHGIRI,SIPAHIGIRI,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Gangai Yadav(0000048022)
59,SIPAHGIRI,SIPAHIGIRI,Deep tubewell,Ground Water,Masjid Ke Pas,HandPump,Hari Narayan Yadav(0000048025)
60,SIPAHGIRI,SIPAHIGIRI,Deep tubewell,Ground Water,Sarw ajanik Sthan,HandPump,Jagdish Roy(0000048021)
61,SIPAHGIRI,SIPAHIGIRI,Shallow tubewell,Ground Water,P.S Sipahgiri,HandPump,SCHOOL T/W-LADANIYA- 2(0006242795)
62,SIPAHGIRI,SIPAHIGIRI,Deep tubewell,Ground Water,Sarw ajanik Sthan,HandPump,Spot Source (HT) Scheme(0004690598)
63,SIPAHGIRI,SIPAHIGIRI,Shallow tubewell,Ground Water,Teji Lal Pasw an,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD LADANIA(0005819837)
