Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,KAMTAULIA,KAMTOLIA,Shallow tubewell,Ground Water,Aw c Center No 55,HandPump,ANGANWARDI T/W - LADANYA(0006363015)
2,KAMTAULIA,KAMTOLIA,Shallow tubewell,Ground Water,Aw c Center No 53,HandPump,ANGANWARDI T/W - LADANYA(0006363015)
3,KAMTAULIA,KAMTOLIA,Shallow tubewell,Ground Water,Aw c Center No 51,HandPump,ANGANWARDI T/W - LADANYA(0006363015)
4,KAMTAULIA,KAMTOLIA,Shallow tubewell,Ground Water,Aw c Center No 50,HandPump,ANGANWARDI T/W - LADANYA(0006363015)
5,KAMTAULIA,KAMTOLIA,Shallow tubewell,Ground Water,Aw c Center No 48,HandPump,ANGANWARDI T/W - LADANYA(0006363015)
6,KAMTAULIA,KAMTOLIA,Shallow tubewell,Ground Water,Aw c Center No 51,HandPump,ANGANWARDI T/W - LADANYA(0006363015)
7,KAMTAULIA,KAMTOLIA,Shallow tubewell,Ground Water,Aw c Center No 55,HandPump,Anganw ari Ladania Block 1(0005467812)
8,KAMTAULIA,KAMTOLIA,Shallow tubewell,Ground Water,Aw c Center No 53,HandPump,Anganw ari Ladania Block 1(0005467812)
9,KAMTAULIA,KAMTOLIA,Shallow tubewell,Ground Water,Aw c Center No 51,HandPump,Anganw ari Ladania Block 1(0005467812)
10,KAMTAULIA,KAMTOLIA,Shallow tubewell,Ground Water,Aw c Center No 50,HandPump,Anganw ari Ladania Block 1(0005467812)
11,KAMTAULIA,KAMTOLIA,Shallow tubewell,Ground Water,Aw c Center No 48,HandPump,Anganw ari Ladania Block 1(0005467812)
12,KAMTAULIA,KAMTOLIA,Shallow tubewell,Ground Water,Aw c Center No 46,HandPump,Anganw ari Ladania Block 1(0005467812)
13,KAMTAULIA,KAMTOLIA,Shallow tubewell,Ground Water,Chandeshw ar Ram S/O Chirai Ram And Kishori Ram Ghar Ke Niket,HandPump,MLA QOUTA- LADANYA- 1(0006418644)
14,KAMTAULIA,KAMTOLIA,Shallow tubewell,Ground Water,Kumarkhat Mushari Mahar Ke Niket,HandPump,MLA QOUTA- LADANYA- 1(0006418644)
15,KAMTAULIA,KAMTOLIA,Shallow tubewell,Ground Water,Samudayik Bhaban Ke Pas Najirtol,HandPump,MLA QUOTA- Ladanya(0005501676)
16,KAMTAULIA,KAMTOLIA,Shallow tubewell,Ground Water,Amiri Kamat Ke Bagal Me,HandPump,MLA QUOTA- Ladanya(0005501676)
17,KAMTAULIA,KAMTOLIA,Shallow tubewell,Ground Water,Masjid Ke Prangan Me Muslman Muhlla Kumarkhat,HandPump,MLA QUOTA- Ladanya(0005501676)
18,KAMTAULIA,KAMTOLIA,Shallow tubewell,Ground Water,P.S Karaunha Ke Bagal Me,HandPump,MLC QOUTA LADANIA(0006401039)
19,KAMTAULIA,KAMTOLIA,Shallow tubewell,Ground Water,Brhamasthan Ke Bagal Me,HandPump,MLC QOUTA LADANIA(0006401039)
20,KAMTAULIA,KAMTOLIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Ladania Block,SPOT,Nc/Pc Scheme For Ladania Block(0004563273)
21,KAMTAULIA,KAMTOLIA,Shallow tubewell,Ground Water,N.P.S Khirkhirya,HandPump,SCHOOL T/W- LADANIYA- 1(0006238411)
22,KAMTAULIA,KAMTOLIA,Shallow tubewell,Ground Water,N.P.S Jhokhrahi Tol,HandPump,SCHOOL T/W- LADANIYA- 1(0006238411)
23,KAMTAULIA,KAMTOLIA,Shallow tubewell,Ground Water,M.S Kumarkhat,HandPump,SCHOOL T/W- LADANIYA- 1(0006238411)
24,KAMTAULIA,KAMTOLIA,Shallow tubewell,Ground Water,P.S Karaunha,HandPump,SCHOOL T/W- LADANIYA- 2(0006242795)
25,KAMTAULIA,KAMTOLIA,Shallow tubewell,Ground Water,P.S Kamtauliya,HandPump,SCHOOL T/W- LADANIYA- 2(0006242795)
