Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BEHATA,BEHTA,Shallow tubewell,Ground Water,Sr Indar Shankhar Kamat Ke Ghar Ke Pas,HandPump,MLA QUOTA- BENIPATTI- 3(0005514898)
2,BEHATA,BEHTA,Shallow tubewell,Ground Water,Sri Mati Birbal Devi Pati Met Nagendar Choodhari Ke Ghar Ke Pas,HandPump,MLA QUOTA- BENIPATTI- 3(0005514898)
3,BEHATA,BEHTA,Shallow tubewell,Ground Water,Sr Jhulfi Saday Ke Ghar Ke Pas Mushari Tola,HandPump,MLA QUOTA- BENIPATTI- 3(0005514898)
4,BEHATA,BEHTA,Shallow tubewell,Ground Water,Sr Vinoda Jha S/O Met Madan Jha Ke Ghar Ke Pas Pubaiyar Tol,HandPump,MLA QUOTA- BENIPATTI- 3(0005514898)
5,BEHATA,BEHTA,Shallow tubewell,Ground Water,Sr Sahdev Pasw an Ke Ghar Ke Pas Pachvaritola,HandPump,MLA QUOTA- BENIPATTI- 3(0005514898)
6,BEHATA,BEHTA,Shallow tubewell,Ground Water,D,HandPump,NC/PC- BENIPATTI(0006538717)
7,BEHATA,BEHTA,Shallow tubewell,Ground Water,C,HandPump,NC/PC- BENIPATTI(0006538717)
8,BEHATA,BEHTA,Shallow tubewell,Ground Water,B,HandPump,NC/PC- BENIPATTI(0006538717)
9,BEHATA,BEHTA,Shallow tubewell,Ground Water,A,HandPump,NC/PC- BENIPATTI(0006538717)
10,BEHATA,BEHTA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001980420)
11,BEHATA,BEHTA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002682879)
12,BEHATA,BEHTA,Shallow tubewell,Ground Water,SR PANAKJ KUMAR JHA S/O JEEVAN JHA HARDIYA TOL,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W BENIPATTI(0006682204)
