Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BENIPATTI,BENIPATTI,Shallow tubewell,Ground Water,Aw c-75,HandPump,ANGANWARDI T/W - BENIPATTI(0006364245)
2,BENIPATTI,BENIPATTI,Shallow tubewell,Ground Water,Aw c-65,HandPump,ANGANWARDI T/W - BENIPATTI(0006364245)
3,BENIPATTI,BENIPATTI,Deep tubewell,Ground Water,Benipatti,PWS,Benipatti PWSS Solar(0004945184)
4,BENIPATTI,BENIPATTI,Shallow tubewell,Ground Water,Ram Narayan Jha S/O Rajkumar Jha Ke Ghar Ke Pas,HandPump,MLA QOUTA- BENIPATTI- 1(0006280019)
5,BENIPATTI,BENIPATTI,Shallow tubewell,Ground Water,Ram Kumar Ram S/O Rambilash Ram Ke Ghar Ke Pas Harijan Tol,HandPump,MLA QOUTA- BENIPATTI- 1(0006280019)
6,BENIPATTI,BENIPATTI,Shallow tubewell,Ground Water,Birendra Kumar Jha S/O Ramchandra Jha Ke Ghar Ke Pas,HandPump,MLA QOUTA- BENIPATTI- 1(0006280019)
7,BENIPATTI,BENIPATTI,Shallow tubewell,Ground Water,Nilambar Chaudhary School Ke Prangan Me,HandPump,MLA QOUTA- BENIPATTI- 1(0006280019)
8,BENIPATTI,BENIPATTI,Shallow tubewell,Ground Water,Suresh Thakur S/O Ramchandra Thakur Ke Ghar Ke Pas Jihuliser,HandPump,MLA QOUTA- BENIPATTI- 1(0006280019)
9,BENIPATTI,BENIPATTI,Shallow tubewell,Ground Water,Sr Manoj Pandit S/O Sundar Pandit Ke Ghar Ke Pas,HandPump,MLA QUOTA- BENIPATTI- 3(0005514898)
10,BENIPATTI,BENIPATTI,Shallow tubewell,Ground Water,Sr Mohan Giri Ke Ghar Ke Pas,HandPump,MLA QUOTA- BENIPATTI- 3(0005514898)
11,BENIPATTI,BENIPATTI,Shallow tubewell,Ground Water,Sr Dinesh Mukhiya S/O Ram Khelaban Mukhiya Ke Ghar Ke Pas,HandPump,MLA QUOTA- BENIPATTI-3(0005514898)
12,BENIPATTI,BENIPATTI,Shallow tubewell,Ground Water,Amod Kumar Jha S/O Mat Gangdhar Jha Ghar Ke Niket Ward No-01,HandPump,MLC QOUTA BENIPATTI(0006388277)
13,BENIPATTI,BENIPATTI,Shallow tubewell,Ground Water,D,HandPump,NC/PC BENIPATTI(0006534357)
14,BENIPATTI,BENIPATTI,Shallow tubewell,Ground Water,C,HandPump,NC/PC BENIPATTI(0006534357)
15,BENIPATTI,BENIPATTI,Shallow tubewell,Ground Water,B,HandPump,NC/PC BENIPATTI(0006534357)
16,BENIPATTI,BENIPATTI,Shallow tubewell,Ground Water,A,HandPump,NC/PC BENIPATTI(0006534357)
17,BENIPATTI,BENIPATTI,Deep tubewell,Ground Water,Benipatti Pw ss Solar,PWS,Pw ss(0004945188)
18,BENIPATTI,BENIPATTI,Shallow tubewell,Ground Water,P.S. RAJIYA,HandPump,SCHOOL T/W- BENIPATTI(0006558062)
19,BENIPATTI,BENIPATTI,Shallow tubewell,Ground Water,N.P.S. DHOBI TOLA BENEPATTI,HandPump,SCHOOL T/W- BENIPATTI(0006558062)
20,BENIPATTI,BENIPATTI,Shallow tubewell,Ground Water,M.S. BENIPATTI,HandPump,SCHOOL T/W- BENIPATTI- 1(0006252770)
21,BENIPATTI,BENIPATTI,Shallow tubewell,Ground Water,P.S. DIHULISER,HandPump,SCHOOL T/W- BENIPATTI- 2(0006255139)
22,BENIPATTI,BENIPATTI,Shallow tubewell,Ground Water,P.S. BHATHI,HandPump,SCHOOL T/W- BENIPATTI- 2(0006255139)
23,BENIPATTI,BENIPATTI,Deep tubewell,Ground Water,T/W 1,HandPump,Spot Source Scheme 2(0007086483)
24,BENIPATTI,BENIPATTI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001980227)
25,BENIPATTI,BENIPATTI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002683136)
26,BENIPATTI,BENIPATTI,Deep tubewell,Ground Water,N.P.S. DHOBI TOLA BENEPATTI,HandPump,SPOT SOURCES(0002719923)
27,BENIPATTI,BENIPATTI,Deep tubewell,Ground Water,P.S. DIHULISER,HandPump,SPOT SOURCES(0002719924)
28,BENIPATTI,BENIPATTI,Deep tubewell,Ground Water,M.S. BENIPATTI,HandPump,SPOT SOURCES(0002719935)
29,BENIPATTI,BENIPATTI,Deep tubewell,Ground Water,P.S. BHATHI,HandPump,SPOT SOURCES(0002719938)
30,BENIPATTI,BENIPATTI,Shallow tubewell,Ground Water,HIRA RAM LOHIYA CHOWK,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W BENIPATTI(0006682204)
31,BENIPATTI,BENIPATTI,Shallow tubewell,Ground Water,N.S COLLAGE BENIPATT,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W BENIPATTI(0006682204)
32,BENIPATTI,BHATHISER,Shallow tubewell,Ground Water,Sr Selendar Jha S/O Ganesw ar Jha Ke Ghar Ke Pas,HandPump,MLA QUOTA- BENIPATTI- 3(0005514898)
33,BENIPATTI,BHATHISER,Shallow tubewell,Ground Water,P.S Bhathi Ser,HandPump,SCHOOL T/W- BENIPATTI- 3(0006255444)
34,BENIPATTI,BHATHISER,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004061627)
35,BENIPATTI,DIHULI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004061928)
36,BENIPATTI,SARISAV,Shallow tubewell,Ground Water,Sr Manoj Mishra S/O Met Kishundhar Mishra Ke Ghar Ke Pas,HandPump,MLA QUOTA- BENIPATTI- 3(0005514898)
37,BENIPATTI,SARISAV,Shallow tubewell,Ground Water,School Ke Pas,HandPump,NC/PC BENIPATTI- 1(0005695070)
38,BENIPATTI,SARISAV,Shallow tubewell,Ground Water,M.S. SARISAB,HandPump,SCHOOL T/W- BENIPATTI- 1(0006252770)
39,BENIPATTI,SARISAV,Shallow tubewell,Ground Water,P.S.SARESAB SAKRADHI,HandPump,SCHOOL T/W- BENIPATTI- 3(0006255444)
40,BENIPATTI,SARISAV,Shallow tubewell,Ground Water,P.S.SARESAB KARMAHE,HandPump,SCHOOL T/W- BENIPATTI- 3(0006255444)
41,BENIPATTI,SARISAV,Shallow tubewell,Ground Water,P.S.SARESAB GIRL,HandPump,SCHOOL T/W- BENIPATTI- 3(0006255444)
42,BENIPATTI,SARISAV,Deep tubewell,Ground Water,Sarvjanik Asthan Me,HandPump,Spot Source(0004037714)
43,BENIPATTI,SARISAV,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004062000)
44,BENIPATTI,SARISAV,Deep tubewell,Ground Water,P.S.SARESAB GIRL,HandPump,SPOT SOURCES(0002719940)
45,BENIPATTI,SARISAV,Deep tubewell,Ground Water,M.S. SARISAB,HandPump,SPOT SOURCES(0002721015)
46,BENIPATTI,SARISAV,Deep tubewell,Ground Water,P.S.SARESAB SAKRADHI,HandPump,SPOT SOURCES(0002721016)
47,BENIPATTI,SARISAV,Deep tubewell,Ground Water,P.S.SARESAB KARMAHE,HandPump,SPOT SOURCES(0002721017)
48,BENIPATTI,SARISAV,Shallow tubewell,Ground Water,Rajsaw Kachari S/O Shyam Yadav,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W BENIPATTI- 1(0006133915)
49,BENIPATTI,SARISAV,Shallow tubewell,Ground Water,Abadh Yadav S/O Bachha Yadav,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W BENIPATTI- 1(0006133915)
