Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,DHANGA,DHANGA,Shallow tubewell,Ground Water,Fudan Jha S/O Lat Sukhdev Jha Ke Ghar Ke Pas East,HandPump,MLA QOUTA- BENIPATTI- 1(0006280019)
2,DHANGA,DHANGA,Shallow tubewell,Ground Water,Ratish Jah S/O Parmanand Jha Ke Ghar Ke Pas West,HandPump,MLA QOUTA- BENIPATTI- 1(0006280019)
3,DHANGA,DHANGA,Shallow tubewell,Ground Water,Kiyot Tol Samuhik Darw aja Ke Pas East Tol,HandPump,MLA QOUTA- BENIPATTI- 1(0006280019)
4,DHANGA,DHANGA,Shallow tubewell,Ground Water,Rate Ray S/O Bauku Ray Ke Ghar Ke Pas West,HandPump,MLA QOUTA- BENIPATTI- 1(0006280019)
5,DHANGA,DHANGA,Shallow tubewell,Ground Water,Kali Mandir Ke Prangan West,HandPump,MLA QOUTA- BENIPATTI- 1(0006280019)
6,DHANGA,DHANGA,Shallow tubewell,Ground Water,Sr Meghanand Jha S/O Met Tara Nand Jha,HandPump,MLA QUOTA- BENIPATTI- 4(0005515210)
7,DHANGA,DHANGA,Shallow tubewell,Ground Water,Sr Jitan Jha Ke Ghar Ke Pas Gram Champa,HandPump,MLA QUOTA- BENIPATTI- 4(0005515210)
8,DHANGA,DHANGA,Shallow tubewell,Ground Water,Sr Ram Virijh Choodri,HandPump,MLA QUOTA- BENIPATTI- 4(0005515210)
9,DHANGA,DHANGA,Shallow tubewell,Ground Water,Sr Ram Mandir Ke Prangan Me,HandPump,MLA QUOTA- BENIPATTI- 4(0005515210)
10,DHANGA,DHANGA,Shallow tubewell,Ground Water,Sadanand Jha S/O Bhagayeshw ar Jha Ghar Ke Pas West Tola Dhanga Bajranbali Mandir Ke Niket,HandPump,MLC QOUTA BENIPATTI(0006388277)
11,DHANGA,DHANGA,Shallow tubewell,Ground Water,B,HandPump,NC/PC BENIPATTI(0006534357)
12,DHANGA,DHANGA,Shallow tubewell,Ground Water,A,HandPump,NC/PC BENIPATTI(0006534357)
13,DHANGA,DHANGA,Shallow tubewell,Ground Water,M.S. DHANGA,HandPump,SCHOOL T/W- BENIPATTI(0006558062)
14,DHANGA,DHANGA,Shallow tubewell,Ground Water,M.S. DHANGA,HandPump,SCHOOL T/W- BENIPATTI- 1(0006252770)
15,DHANGA,DHANGA,Shallow tubewell,Ground Water,B.S. CHAMPA,HandPump,SCHOOL T/W- BENIPATTI- 1(0006252770)
16,DHANGA,DHANGA,Shallow tubewell,Ground Water,P.S Dhanga East,HandPump,SCHOOL T/W- BENIPATTI- 3(0006255444)
17,DHANGA,DHANGA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001980353)
18,DHANGA,DHANGA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002683720)
19,DHANGA,DHANGA,Deep tubewell,Ground Water,M.S. DHANGA,HandPump,SPOT SOURCES(0002721239)
20,DHANGA,DHANGA,Deep tubewell,Ground Water,B.S. CHAMPA,HandPump,SPOT SOURCES(0002721677)
21,DHANGA,DHANGA,Shallow tubewell,Ground Water,FIRDEV PASWAN WEST TOL,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W BENIPATTI(0006682204)
22,DHANGA,DHANGA,Shallow tubewell,Ground Water,HALKA KACHARI DHANGA,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W BENIPATTI(0006682204)
23,DHANGA,DHANGA,Shallow tubewell,Ground Water,Rafal Ram,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W BENIPATTI- 2(0006134620)
24,DHANGA,DHANGA,Shallow tubewell,Ground Water,Khadi Bhandar,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W BENIPATTI- 2(0006134620)
25,DHANGA,GHUSKI PATTI,Shallow tubewell,Ground Water,Sr Ram Asish Mandal S/O Halkhori Mandal,HandPump,MLA QUOTA- BENIPATTI- 4(0005515210)
26,DHANGA,GHUSKI PATTI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001980353)
