Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,EKTARA,EKTARA,Shallow tubewell,Ground Water,Ramsukh Sahni Ke Ghar Ke Pas,HandPump,MLA QOUTA-BENIPATTI- 1(0006280019)
2,EKTARA,EKTARA,Shallow tubewell,Ground Water,High School Me,HandPump,MLA QOUTA-BENIPATTI- 1(0006280019)
3,EKTARA,EKTARA,Shallow tubewell,Ground Water,Sr Haribhusan Prtap Singh S/O Ram Shray Singh,HandPump,MLA QUOTA BENIPATTI- 4(0005515210) J
4,EKTARA,EKTARA,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC BASOPATTI- 2(0005695486)
5,EKTARA,EKTARA,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC BASOPATTI- 2(0005695486)
6,EKTARA,EKTARA,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC BASOPATTI- 2(0005695486)
7,EKTARA,EKTARA,Shallow tubewell,Ground Water,School Ke Pas,HandPump,NC/PC BASOPATTI- 2(0005695486)
8,EKTARA,EKTARA,Shallow tubewell,Ground Water,Sarvjanik Asthan Me,HandPump,NC/PC BENIPATTI- 2(0005696138)
9,EKTARA,EKTARA,Shallow tubewell,Ground Water,Masjid Ke Pas,HandPump,NC/PC BENIPATTI- 2(0005696138)
10,EKTARA,EKTARA,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC BENIPATTI- 2(0005696138)
11,EKTARA,EKTARA,Shallow tubewell,Ground Water,School Ke Pas,HandPump,NC/PC BENIPATTI- 2(0005696138)
12,EKTARA,EKTARA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001980323)
13,EKTARA,EKTARA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002683690)
14,JHONJHI,JHONJHI,Deep tubewell,Ground Water,Mandir Ke Pas,HandPump,Brahma Asthan(0000046118)
15,JHONJHI,JHONJHI,Deep tubewell,Ground Water,School Ke Bagal Me,HandPump,Ganga Chaudhary(0000046122)
16,JHONJHI,JHONJHI,Shallow tubewell,Ground Water,Sr Ananad Misra Ke Ghar Ke Pas,HandPump,MLA QUOTA-BENIPATTI- 4(0005515210)
17,JHONJHI,JHONJHI,Shallow tubewell,Ground Water,Kali Mandir Ke Prangan Me,HandPump,MLA QUOTA-BENIPATTI- 4(0005515210)
18,JHONJHI,JHONJHI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001980334)
19,PARAUL,PARAUL,Shallow tubewell,Ground Water,Urmila Devi (Devendra Thakur) Ke Ghar Ke Pas,HandPump,MLA QOUTA-BENIPATTI- 1(0006280019)
20,PARAUL,PARAUL,Shallow tubewell,Ground Water,Kalichan Saday Ke Ghar Ke Niket,HandPump,MLA QOUTA-BENIPATTI- 1(0006280019)
21,PARAUL,PARAUL,Shallow tubewell,Ground Water,Sitaram Jha Ke Ghar Ke Pas,HandPump,MLA QOUTA-BENIPATTI- 1(0006280019)
22,PARAUL,PARAUL,Shallow tubewell,Ground Water,Sr Jugay Sahani S/O Raghunandan Sahani Mahrajpur,HandPump,MLA QUOTA-BENIPATTI- 4(0005515210)
23,PARAUL,PARAUL,Shallow tubewell,Ground Water,Sr Parbhu Sada S/O Met Luray Saday Ke Ghar Ke Pas Mushari,HandPump,MLA QUOTA-BENIPATTI- 4(0005515210)
24,PARAUL,PARAUL,Shallow tubewell,Ground Water,Satish Chandra Misra S/O Mat Baijnath Misra Ke Ghar Ke Niket,HandPump,MLC QOUTA BENIPATTI(0006388277)
25,PARAUL,PARAUL,Shallow tubewell,Ground Water,Sri Vasith Narayan Jha Ke Ghar Ke Niket Jhajhi,HandPump,MLC QOUTA BENIPATTI(0006388277)
26,PARAUL,PARAUL,Shallow tubewell,Ground Water,Sanjay Kumar Singh Ke Ghar Ke Niket,HandPump,MLC QOUTA BENIPATTI(0006388277)
27,PARAUL,PARAUL,Shallow tubewell,Ground Water,U.P.SPARAUL,HandPump,RUNNING WS IN SCHOOL(0006534632)
28,PARAUL,PARAUL,Shallow tubewell,Ground Water,P.S. JHONJHI,HandPump,RUNNING WS IN SCHOOL(0006534784)
29,PARAUL,PARAUL,Shallow tubewell,Ground Water,P.S. JHONJHI,HandPump,RUNNING WS IN SCHOOL(0006534787)
30,PARAUL,PARAUL,Shallow tubewell,Ground Water,U.P.SPARAUL,HandPump,SCHOOL T/W- BENIPATTI(0006558062)
31,PARAUL,PARAUL,Shallow tubewell,Ground Water,P.S. JHONJHI,HandPump,SCHOOL T/W- BENIPATTI(0006558062)
32,PARAUL,PARAUL,Shallow tubewell,Ground Water,M.S. EKTARA,HandPump,SCHOOL T/W- BENIPATTI- 1(0006252770)
33,PARAUL,PARAUL,Shallow tubewell,Ground Water,N.P.S. MAHRAJPUR,HandPump,SCHOOL T/W- BENIPATTI- 1(0006252770)
34,PARAUL,PARAUL,Shallow tubewell,Ground Water,P.S. JHONJHI,HandPump,SCHOOL T/W- BENIPATTI- 2(0006255139)
35,PARAUL,PARAUL,Shallow tubewell,Ground Water,P.S. EKTARA NORTH,HandPump,SCHOOL T/W- BENIPATTI- 2(0006255139)
36,PARAUL,PARAUL,Shallow tubewell,Ground Water,U.P.SPARAUL,HandPump,SCHOOL T/W- BENIPATTI- 3(0006255444)
37,PARAUL,PARAUL,Shallow tubewell,Ground Water,P.S.PARAU MUSHARI,HandPump,SCHOOL T/W- BENIPATTI- 3(0006255444)
38,PARAUL,PARAUL,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001980329)
39,PARAUL,PARAUL,Deep tubewell,Ground Water,N.P.S. MAHRAJPUR,HandPump,SPOT SOURCES(0002721745)
40,PARAUL,PARAUL,Deep tubewell,Ground Water,P.S.PARAU MUSHARI,HandPump,SPOT SOURCES(0002721746)
41,PARAUL,PARAUL,Deep tubewell,Ground Water,U.P.SPARAUL,HandPump,SPOT SOURCES(0002721747)
42,PARAUL,PARAUL,Deep tubewell,Ground Water,P.S. EKTARA NORTH,HandPump,SPOT SOURCES(0002721749)
43,PARAUL,PARAUL,Deep tubewell,Ground Water,P.S. JHONJHI,HandPump,SPOT SOURCES(0002721751)
44,PARAUL,PARAUL,Deep tubewell,Ground Water,M.S. EKTARA,HandPump,SPOT SOURCES(0002721752)
45,PARAUL,PARAUL,Shallow tubewell,Ground Water,PHULCHAN RAM,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W BENIPATTI(0006682204)
46,PARAUL,PARAUL,Shallow tubewell,Ground Water,PULKIT PASWAN,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W BENIPATTI(0006682204)
