Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,MAHUA,MAHUA,Deep tubewell,Ground Water,School Ke Pas,HandPump,HP Scheme(0004690544)
2,MAHUA,MAHUA,Shallow tubewell,Ground Water,Sr Ramvilash Sah Ke Ghar Ke Pas,HandPump,MLA QUOTA- BENIPATTI- 5(0005515427)
3,MAHUA,MAHUA,Deep tubewell,Ground Water,U.P.S.RAMNAGAR,HandPump,SPOT SOURCES(0002721753)
4,MAHUA,MAHUA,Shallow tubewell,Ground Water,Jhaldhari Mochi,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W BENIPATTI- 2(0006134620)
5,PARJUAR,BALHA,Shallow tubewell,Ground Water,Haridev Jha S/O Lat Panchdev Jha Ke Ghar Ke Pas,HandPump,MLA QOUTA- BENIPATTI- 2(0006281277)
6,PARJUAR,BALHA,Deep tubewell,Ground Water,Nc/Pc Scheme For Benipatti Block,SPOT,Nc/Pc Scheme For Benipatti Block(0004563119)
7,PARJUAR,BALHA,Deep tubewell,Ground Water,T/W 1,HandPump,Spot Source Scheme 2(0007086483)
8,PARJUAR,BALHA,Deep tubewell,Ground Water,Road Side Me,HandPump,Spot Source Scheme(0004720604)
9,PARJUAR,DAHIA,Shallow tubewell,Ground Water,Ramchandra Yadav S/O Lat Gosay Yadav Ke Ghar Ke Pas,HandPump,MLA QOUTA- BENIPATTI- 2(0006281277)
10,PARJUAR,DAHIA,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC BASOPATTI- 2(0005695486)
11,PARJUAR,DAHIA,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC BASOPATTI- 2(0005695486)
12,PARJUAR,DAHIA,Shallow tubewell,Ground Water,Mandr Ke Pas,HandPump,NC/PC BENIPATTI- 2(0005696138)
13,PARJUAR,DAHIA,Shallow tubewell,Ground Water,School Ke Pas,HandPump,NC/PC BENIPATTI- 2(0005696138)
14,PARJUAR,DAHIA,Shallow tubewell,Ground Water,U.M.S DAHILA,HandPump,SCHOOL T/W- BENIPATTI- 3(0006255444)
15,PARJUAR,DAHIA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001980346)
16,PARJUAR,DAHIA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002683713)
17,PARJUAR,DAHIA,Deep tubewell,Ground Water,P.S.PARJAUR DAHILA,HandPump,SPOT SOURCES(0002721754)
18,PARJUAR,DAHIA,Shallow tubewell,Ground Water,Raghuni Ram Road Kinare,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W BENIPATTI- 2(0006134620)
19,PARJUAR,DIH TOL,Shallow tubewell,Ground Water,Foudar Ray S/O Lat Ramji Ray Ghar Ke Pas,HandPump,MLA QOUTA- BENIPATTI- 2(0006281277)
20,PARJUAR,DIH TOL,Shallow tubewell,Ground Water,B,HandPump,NC/PC- BENIPATTI(0006538717)
