Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,HARIPUR,BHALNI,Deep tubewell,Ground Water,Road Side Me,HandPump,Akid Nadaf(0000047370)
2,HARIPUR,BHALNI,Deep tubewell,Ground Water,Sadak Kinare,HandPump,High School Chow k(0000047373)
3,HARIPUR,BHALNI,Shallow tubewell,Ground Water,Devu Chodhari Ke Ghar Ke Pas,HandPump,MLA QUOTA- KALUAHI- 1(0005515779)
4,HARIPUR,BHALNI,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC KALUAHI- 1(0005700938)
5,HARIPUR,BHALNI,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC KALUAHI- 1(0005700938)
6,HARIPUR,BHALNI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001977801)
7,KORMAULI,BIJ NAGAR,Shallow tubewell,Ground Water,Santosh Jha Ke Ghar Ke Pas,HandPump,MLA QOUTA- KALUAHI- 1(0006281388)
8,KORMAULI,BIJ NAGAR,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC KALUAHI- 1(0005700938)
9,KORMAULI,BIJ NAGAR,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC KALUAHI- 1(0005700938)
10,KORMAULI,BIJ NAGAR,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC KALUAHI- 1(0005700938)
11,KORMAULI,BIJ NAGAR,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC KALUAHI- 1(0005700938)
12,KORMAULI,BIJ NAGAR,Shallow tubewell,Ground Water,P.S Bijnagar Karmauli,HandPump,SCHOOL T/W- KALUAHI(0006220516)
13,KORMAULI,BIJ NAGAR,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Spot Source Scheme(0004738657)
14,KORMAULI,BIJ NAGAR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004083646)
15,KORMAULI,BIJ NAGAR,Deep tubewell,Ground Water,Road Side Me,HandPump,Umesh Yadav(0000047380)
16,KORMAULI,DOSPUR,Shallow tubewell,Ground Water,Aw c-25,HandPump,ANGANWARDI T/W KALUAHI(0006355345)
17,KORMAULI,DOSPUR,Shallow tubewell,Ground Water,Aw c-24,HandPump,ANGANWARDI T/W KALUAHI(0006355345)
18,KORMAULI,DOSPUR,Shallow tubewell,Ground Water,Aw c-19,HandPump,ANGANWARDI T/W KALUAHI(0006355345)
19,KORMAULI,DOSPUR,Shallow tubewell,Ground Water,Harinath Sahu Ke Ghar Ke Pas,HandPump,MLA QOUTA- KALUAHI- 1(0006281388)
20,KORMAULI,DOSPUR,Shallow tubewell,Ground Water,Rambabu Pandit Ke Ghar Ke Pas,HandPump,MLA QUOTA- KALUAHI- 1(0005515779)
21,KORMAULI,DOSPUR,Shallow tubewell,Ground Water,P.MAK Dostpur,HandPump,SCHOOL T/W- KALUAHI(0006220516)
22,KORMAULI,DOSPUR,Shallow tubewell,Ground Water,P.S Dostpur,HandPump,SCHOOL T/W- KALUAHI(0006220516)
23,KORMAULI,DOSPUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004083653)
24,KORMAULI,HAJAM TOLA,Shallow tubewell,Ground Water,B,HandPump,NC/PC KALUAHI(0006534827)
25,KORMAULI,HAJAM TOLA,Shallow tubewell,Ground Water,A,HandPump,NC/PC KALUAHI(0006534827)
