Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,ANRER,ARER,Deep tubewell,Ground Water,,PWS,Arer Pw ss(0004890799)
2,ANRER,ARER,Shallow tubewell,Ground Water,Mohan Mishra S/O Lat Shaktinath Mishra Ke Ghar Ke Pas Dih Tol,HandPump,MLA QOUTA- BENIPATTI- 2(0006281277)
3,ANRER,ARER,Shallow tubewell,Ground Water,Mo Ruby Devi S/O Lat Ramesh Jha Ke Ghar Ke Pas Dih Tol,HandPump,MLA QOUTA- BENIPATTI- 2(0006281277)
4,ANRER,ARER,Shallow tubewell,Ground Water,Javahar Mahto S/O Utimlal Mahto Ke Ghar Ke Pas Barhi Tol,HandPump,MLA QOUTA- BENIPATTI- 2(0006281277)
5,ANRER,ARER,Shallow tubewell,Ground Water,Chalitar Ray S/O Lat Munesw ar Ray Ke Ghar Ke Pas Hat Par,HandPump,MLA QOUTA- BENIPATTI- 2(0006281277)
6,ANRER,ARER,Shallow tubewell,Ground Water,Brahamasthan Ke Pas Laxmipur,HandPump,MLA QOUTA- BENIPATTI- 2(0006281277)
7,ANRER,ARER,Shallow tubewell,Ground Water,Sr Mohan Jha S/O Balmukunad Jha Pubairtol,HandPump,MLA QUOTA- BENIPATTI- 5(0005515427)
8,ANRER,ARER,Shallow tubewell,Ground Water,Sr Raghuvir Sahu Ke Ghar Ke Pas Tinbatiya Par Khasra No-9001,HandPump,MLA QUOTA- BENIPATTI- 5(0005515427)
9,ANRER,ARER,Shallow tubewell,Ground Water,Ganga Devi Ke Ghar Ke Pas Dih Tol Khasra No- 8237,HandPump,MLA QUOTA- BENIPATTI- 5(0005515427)
10,ANRER,ARER,Shallow tubewell,Ground Water,"Sr Ram Sundar Mahto Khasra No-8450new ,Old 5192",HandPump,MLA QUOTA- BENIPATTI- 5(0005515427)
11,ANRER,ARER,Shallow tubewell,Ground Water,Shambhu Mahto S/O Garib Mahto Ghar Ke Pas,HandPump,MLC QOUTA BENIPATTI(0006388277)
12,ANRER,ARER,Shallow tubewell,Ground Water,Baldevsaday S/O Late Saryug Saday Ghar Ke Pas,HandPump,MLC QOUTA BENIPATTI(0006388277)
13,ANRER,ARER,Shallow tubewell,Ground Water,Krisna Kumar Yadav S/O Late Jamun Yadav Ghar Ke Pas,HandPump,MLC QOUTA BENIPATTI(0006388277)
14,ANRER,ARER,Shallow tubewell,Ground Water,U.P.S.SINWUARA,HandPump,SCHOOL T/W- BENIPATTI(0006558062)
15,ANRER,ARER,Shallow tubewell,Ground Water,P.S. AREEER HAT,HandPump,SCHOOL T/W- BENIPATTI(0006558062)
16,ANRER,ARER,Shallow tubewell,Ground Water,N.P.S. SINUWARA MUSLMAN TOLA,HandPump,SCHOOL T/W- BENIPATTI- 1(0006252770)
17,ANRER,ARER,Shallow tubewell,Ground Water,N.P.S. SINUWARA SC TOLA,HandPump,SCHOOL T/W- BENIPATTI- 1(0006252770)
18,ANRER,ARER,Shallow tubewell,Ground Water,N.P.S. BAIJALPUR,HandPump,SCHOOL T/W- BENIPATTI- 1(0006252770)
19,ANRER,ARER,Shallow tubewell,Ground Water,P.S. BICHKHANA,HandPump,SCHOOL T/W- BENIPATTI- 2(0006255139)
