Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,KAZIANA,KAJIANA,Shallow tubewell,Ground Water,Bajranbali Mandir Ke Pas,HandPump,MLA QOUTA-KALUAHI- 1(0006281388)
2,KAZIANA,KAJIANA,Shallow tubewell,Ground Water,Sambhu Kumar Singh Ke Ghar Ke Pas,HandPump,MLA QUOTA-KALUAHI- 1(0005515779)
3,KAZIANA,KAJIANA,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC KALUAHI- 1(0005700938)
4,KAZIANA,KAJIANA,Shallow tubewell,Ground Water,P.S Kaziyana Malmal,HandPump,SCHOOL T/W- KALUAHI(0006220516)
5,KAZIANA,KAJIANA,Deep tubewell,Ground Water,Road Side Me,HandPump,Spot Source Scheme(0004738657)
6,KAZIANA,KAJIANA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004083497)
7,MALMAL,BALUA,Deep tubewell,Ground Water,Road Side Me,HandPump,Madarsa(0000047324)
8,MALMAL,BALUA,Shallow tubewell,Ground Water,Koshi Chaw ak Par,HandPump,MLA QOUTA-KALUAHI- 1(0006281388)
9,MALMAL,BALUA,Shallow tubewell,Ground Water,Brahman Asthan Ke Pas,HandPump,MLA QOUTA-KALUAHI- 1(0006281388)
10,MALMAL,BALUA,Shallow tubewell,Ground Water,Ramparsad Mahto Ke Ghar Ke Pas,HandPump,MLA QUOTA-KALUAHI- 1(0005515779)
11,MALMAL,BALUA,Shallow tubewell,Ground Water,P.S Balua Tol Malmal,HandPump,SCHOOL T/W- KALUAHI(0006220516)
12,MALMAL,BALUA,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Spot Source (HT) Scheme(0004690598)
13,MALMAL,BALUA,Shallow tubewell,Ground Water,Rajeshw ar Mahto Ke Ghar Ke Pas,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W KALUAHI- 1(0006366723)
14,MALMAL,DOANI TOLI,Shallow tubewell,Ground Water,Aw c-89,HandPump,ANGANWARDI T/W KALUAHI(0006355345)
15,MALMAL,DOANI TOLI,Shallow tubewell,Ground Water,Rajendar Ram Ke Ghar Ke Pas,HandPump,MLA QUOTA-KALUAHI- 1(0005515779)
16,MALMAL,DOANI TOLI,Shallow tubewell,Ground Water,B,HandPump,NC/PC KALUAHI(0006539479)
17,MALMAL,DOANI TOLI,Shallow tubewell,Ground Water,A,HandPump,NC/PC KALUAHI(0006539479)
18,MALMAL,DOANI TOLI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001977786)
19,MALMAL,DOANI TOLI,Shallow tubewell,Ground Water,Ramsebak Sahni,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W KALUAHI(0006352368)
20,MALMAL,MALMAL,Shallow tubewell,Ground Water,Aw c-94,HandPump,ANGANWARDI T/W KALUAHI(0006355345)
21,MALMAL,MALMAL,Shallow tubewell,Ground Water,Aw c88,HandPump,Anganw ari Kaluahi Block(0005456976)
22,MALMAL,MALMAL,Shallow tubewell,Ground Water,Aw c92,HandPump,Anganw ari Kaluahi Block(0005456976)
23,MALMAL,MALMAL,Shallow tubewell,Ground Water,Aw c96,HandPump,Anganw ari Kaluahi Block(0005456976)
24,MALMAL,MALMAL,Shallow tubewell,Ground Water,Aw c95,HandPump,Anganw ari Kaluahi Block(0005456976)
25,MALMAL,MALMAL,Shallow tubewell,Ground Water,Aw c90,HandPump,Anganw ari Kaluahi Block(0005456976)
26,MALMAL,MALMAL,Shallow tubewell,Ground Water,Jagtarni Devi Center Code. 94 Malmal Harijan Dalan,HandPump,Anganw ari Kaluahi Block(0005456976)
27,MALMAL,MALMAL,Shallow tubewell,Ground Water,Nitu Devi Center Cod 89 Prathmik School Ghenatol,HandPump,Anganw ari Kaluahi Block(0005456976)
28,MALMAL,MALMAL,Shallow tubewell,Ground Water,MAHA KANT CHOUDHARY,HandPump,MLA QUOTA- KALUAHI(0005338220)
29,MALMAL,MALMAL,Shallow tubewell,Ground Water,MAHA KANT CHOUDHARY,HandPump,MLA QUOTA- KALUAHI(0005338220)
30,MALMAL,MALMAL,Shallow tubewell,Ground Water,Mahakant Chodhari Ke Ghar Ke Pas,HandPump,MLA QUOTA-KALUAHI- 1(0005515779)
31,MALMAL,MALMAL,Deep tubewell,Ground Water,OLD P.H.E.D CAMPUS,PWS,RURAL PIPE SCHEME KALUAHI(0006509962)
32,MALMAL,MALMAL,Shallow tubewell,Ground Water,N.P.S Radha East Tol,HandPump,SCHOOL T/W- KALUAHI(0006220516)
33,MALMAL,MALMAL,Shallow tubewell,Ground Water,N.P.S Malmal Dheni Tol,HandPump,SCHOOL T/W- KALUAHI(0006220516)
34,MALMAL,MALMAL,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Spot Source (HT) Scheme(0004690598)
35,MALMAL,MALMAL,Deep tubewell,Ground Water,,PWS,West Of MalmalHat(0000042613)
36,MALMAL,MUSLIM TOLA,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC KALUAHI- 1(0005700938)
37,MALMAL,MUSLIM TOLA,Shallow tubewell,Ground Water,A,HandPump,NC/PC KALUAHI(0006539479)
38,MALMAL,MUSLIM TOLA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002684801)
39,MALMAL,NARAILA,Shallow tubewell,Ground Water,Sadak Kianre,HandPump,NC/PC KALUAHI- 2(0005701225)
40,MALMAL,NARAILA,Deep tubewell,Ground Water,Nc/Pc Scheme For Kaluahi Block,SPOT,Nc/Pc Scheme For Kaluahi Block(0004563208)
41,MALMAL,NARAILA,Shallow tubewell,Ground Water,N.P.S Naaraila,HandPump,SCHOOL T/W- KALUAHI(0006220516)
42,MALMAL,NARAILA,Deep tubewell,Ground Water,Road Side Me,HandPump,Spot Source (HT) Scheme(0004690598)
43,MALMAL,NARAILA,Shallow tubewell,Ground Water,Thakay Yadav,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W KALUAHI(0006352368)
44,MALMAL,NONIA TOLA,Shallow tubewell,Ground Water,A,HandPump,NC/PC KALUAHI(0006539479)
45,MALMAL,NONIA TOLA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001977786)
46,MALMAL,NORH TOLA,Deep tubewell,Ground Water,Road Side Me,HandPump,Chow k(0000047337)
47,MALMAL,NORH TOLA,Shallow tubewell,Ground Water,C,HandPump,NC/PC KALUAHI(0006539479)
48,MALMAL,NORH TOLA,Shallow tubewell,Ground Water,B,HandPump,NC/PC KALUAHI(0006539479)
49,MALMAL,NORH TOLA,Shallow tubewell,Ground Water,A,HandPump,NC/PC KALUAHI(0006539479)
50,MALMAL,NORH TOLA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001977786)
