"SL.No.","GP Name","Total Detail Entered (With & Without Toilet) BLS-2012","BPL (2012)","Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified  Identified, APL, 2012)","Total (BPLò�)","Total HH Identified","No.of HH entered by name [2013-14]","No. of Households covered 2014-2015 (including unapproved)","Total No. of Households Covered after Survey 2012","No.of HH reported by name [2015-16]"
1,"AUNSI BABHANGAMA NORTH ",3629,1422,612,1282,1894,3316,2034,0,40,40,10
2,"AUNSI BABHANGAMA SOUTH ",0,0,0,0,0,0,0,0,0,0,0
3,"BALHA ",0,0,0,0,0,0,0,0,0,0,0
4,"BHAIRBA ",4721,2201,1871,119,1990,4191,4072,0,0,0,52
5,"BHOJ PANDAUL ",3547,2089,1061,36,1097,3186,3150,0,6,6,23
6,"BISFI ",2802,922,1463,140,1603,2525,2385,0,37,37,61
7,"CHAHUTA ",2195,1091,868,14,882,1973,1959,0,24,24,6
8,"JAFRA ",2036,1440,42,343,385,1825,1482,0,110,110,42
9,"JAGBAN EAST ",0,0,0,0,0,0,0,0,0,0,0
10,"JAGBAN WEST ",4219,1976,1732,27,1759,3735,3708,0,32,32,1
11,"KHAIRI BANKA NORTH ",5394,2846,1921,0,1921,4767,4767,0,9,9,31
12,"KHAIRI BANKA SOUTH ",0,0,0,0,0,0,0,0,0,0,0
13,"NAHAS RUPAULI NORTH ",2131,1153,146,617,763,1916,1299,0,17,17,0
14,"NAHAS RUPAULI SOUTH ",2903,1639,968,0,968,2607,2607,0,0,0,0
15,"NURCHAK ",3966,2692,840,25,865,3557,3532,0,1,1,0
16,"PARSAUNI NORTH ",3325,1682,1386,5,1391,3073,3068,0,9,9,15
17,"PARSAUNI SOUTH ",0,0,0,0,0,0,0,0,0,0,0
18,"RAGHAULI ",2629,1557,809,0,809,2366,2366,0,0,0,0
19,"RAGHEPURA ",2493,1659,32,545,577,2236,1691,0,0,0,0
20,"RATHAUS ",2822,2047,273,217,490,2537,2320,0,0,0,0
21,"SADULAHPUR ",3206,2045,193,637,830,2875,2238,0,0,0,1
22,"SIMRI ",2876,2012,569,1,570,2582,2581,0,0,0,44
23,"SINGASO ",3802,2043,1312,62,1374,3417,3355,0,0,0,0
24,"SINGIA WEST ",2993,1432,1298,5,1303,2735,2730,0,0,0,0
25,"SINGIA EAST ",0,0,0,0,0,0,0,0,0,0,0
26,"SOHAS ",2496,1561,679,0,679,2240,2240,0,25,25,11
27,"TISI NARSAM NORTH ",2852,1324,1232,12,1244,2568,2556,0,0,0,0
28,"TISI NARSAM SOUTH ",0,0,0,0,0,0,0,0,0,0,0
