Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,AZ RAKBE JAFRA,A JAFRA,Deep tubewell,Ground Water,Mandir Ke Paa,HandPump,Hand Pump Scheme(0004690566)
2,AZ RAKBE JAFRA,A JAFRA,Deep tubewell,Ground Water,Road Side Me,HandPump,Kunw ar Kant Jha(0000044253)
3,AZ RAKBE JAFRA,A JAFRA,Shallow tubewell,Ground Water,Samudayik Bhaw an,HandPump,NC/PC BISFI- 1(0005696678)
4,AZ RAKBE JAFRA,A JAFRA,Deep tubewell,Ground Water,Pokhar Bhinda Par,HandPump,Parichan Pasw an(0000044178)
5,JAFRA,JAFRA,Shallow tubewell,Ground Water,LAXMI YADAV KE BHADHA KE NAJDIK ROAD SE WEST SARVJANIK STHAL PAR,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
6,JAFRA,JAFRA,Shallow tubewell,Ground Water,TROLI LAYAN CHAURAHA PAR DHANUK TOLA,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
7,JAFRA,JAFRA,Shallow tubewell,Ground Water,SR LAXMAN RAM GHAR KE PAS,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
8,JAFRA,JAFRA,Shallow tubewell,Ground Water,BELONJA SOUTH NEAR KRISHNA MANDIR,HandPump,MLA QUOTA- BISFI(0005336979)
9,JAFRA,JAFRA,Shallow tubewell,Ground Water,Ramnagar Domu Thakur Ke Ghar Ke Najdik Karpuri Nagar,HandPump,MLA QUOTA-BISFI- 1(0005797218)
10,JAFRA,JAFRA,Shallow tubewell,Ground Water,Durga Than Se Utar Road Ke Pachim,HandPump,MLA QUOTA-BISFI- 1(0005797218)
11,JAFRA,JAFRA,Shallow tubewell,Ground Water,Sukhiram Ke Ghar Ke Najdik Hat Par,HandPump,MLA QUOTA-BISFI- 1(0005797218)
12,JAFRA,JAFRA,Shallow tubewell,Ground Water,Krishna Mandir Belouja,HandPump,MLA QUOTA-BISFI- 1(0005797218)
13,JAFRA,JAFRA,Shallow tubewell,Ground Water,M.S.JAFRA,HandPump,SCHOOL T/W-BISFI- 1(0006252902)
14,JAFRA,JAFRA,Shallow tubewell,Ground Water,M.S.BELAUNJA,HandPump,SCHOOL T/W-BISFI- 1(0006252902)
15,JAFRA,JAFRA,Shallow tubewell,Ground Water,N.P.S Belauja West Tol,HandPump,SCHOOL T/W-BISFI- 1(0006252902)
16,JAFRA,JAFRA,Shallow tubewell,Ground Water,P.MAK. BELAUNJA NORTH,HandPump,SCHOOL T/W-BISFI- 2(0006253289)
17,JAFRA,JAFRA,Shallow tubewell,Ground Water,P.S. MOKDAMPUR,HandPump,SCHOOL T/W-BISFI- 2(0006253289)
18,JAFRA,JAFRA,Deep tubewell,Ground Water,Pokhar Bhinda Par,HandPump,Shushila Jha(0000044554)
19,JAFRA,JAFRA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004038652)
20,JAFRA,JAFRA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004043272)
21,JAFRA,JAFRA,Deep tubewell,Ground Water,P.MAK. BELAUNJA NORTH,HandPump,SPOT SOURCES(0002718507)
22,JAFRA,JAFRA,Deep tubewell,Ground Water,M.S.BELAUNJA,HandPump,SPOT SOURCES(0002718511)
