Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,ARAZI PARSAUNI,ARAZI PARSAUNI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001973579)
2,PARSAUNI,MURLIA CHACK,Shallow tubewell,Ground Water,BINDESHWAR YADAV S/O LATE BECHAN YADAV,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
3,PARSAUNI,MURLIA CHACK,Shallow tubewell,Ground Water,RAM BABU YADAV S/O LATE MALIK YADAV,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
4,PARSAUNI,MURLIA CHACK,Shallow tubewell,Ground Water,SHANKAR YADAV S/O AYODHI YADAV,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
5,PARSAUNI,MURLIA CHACK,Shallow tubewell,Ground Water,A,HandPump,NC/PC BISFI(0006534409)
6,PARSAUNI,MURLIA CHACK,Shallow tubewell,Ground Water,C,HandPump,NC/PC BISFI(0006541567)
7,PARSAUNI,MURLIA CHACK,Shallow tubewell,Ground Water,B,HandPump,NC/PC BISFI(0006541567)
8,PARSAUNI,MURLIA CHACK,Shallow tubewell,Ground Water,A,HandPump,NC/PC BISFI(0006541567)
9,PARSAUNI,MURLIA CHACK,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001965571)
10,PARSAUNI,PARSAUNI,Shallow tubewell,Ground Water,BATHU PANDIT S/O LATE ACHHE PANDIT,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
11,PARSAUNI,PARSAUNI,Shallow tubewell,Ground Water,AJAY MANDAL S/O DEV NARAYAN MANDAL BICHLA TOLA,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
12,PARSAUNI,PARSAUNI,Shallow tubewell,Ground Water,Pardip Yadav Ghar Ke Pas Bichla Tol Ward No-12,HandPump,MLA QUOTA-BISFI- 2(0005555887)
13,PARSAUNI,PARSAUNI,Shallow tubewell,Ground Water,Masomat Biva Devi Ward No-1,HandPump,MLA QUOTA-BISFI- 2(0005555887)
14,PARSAUNI,PARSAUNI,Shallow tubewell,Ground Water,Shambhu Ram Dharak Tol Ward No-12,HandPump,MLA QUOTA-BISFI- 2(0005555887)
15,PARSAUNI,PARSAUNI,Shallow tubewell,Ground Water,Ananad Ray Atipichra Moyan Tolal Ward No-14,HandPump,MLA QUOTA-BISFI- 2(0005555887)
16,PARSAUNI,PARSAUNI,Shallow tubewell,Ground Water,Rijhan Ram Dharak Tola Ward No -12,HandPump,MLA QUOTA-BISFI- 2(0005555887)
17,PARSAUNI,PARSAUNI,Shallow tubewell,Ground Water,Jahirul Hasn S/O Met Nurhasan Ghar Ke Niket,HandPump,MLA QUOTA-BISFI- 5(0005556626)
18,PARSAUNI,PARSAUNI,Shallow tubewell,Ground Water,Badrul Jamma S/O Met Farmud Amhad,HandPump,MLA QUOTA-BISFI- 5(0005556626)
19,PARSAUNI,PARSAUNI,Shallow tubewell,Ground Water,Mo Mustufa S/O Amahad Ali Ke Ghar Ke Bagal Me,HandPump,MLA QUOTA-BISFI- 5(0005556626)
20,PARSAUNI,PARSAUNI,Shallow tubewell,Ground Water,Ushrahi Aejaj Saheb Ke Ghar Ke Pas,HandPump,MLA QUOTA-BISFI- 5(0005556626)
21,PARSAUNI,PARSAUNI,Shallow tubewell,Ground Water,Amina Khatun S/O Met Habib Ke Ghar Ke Pas,HandPump,MLA QUOTA-BISFI- 5(0005556626)
22,PARSAUNI,PARSAUNI,Shallow tubewell,Ground Water,M.S.PARSAUNI,HandPump,SCHOOL T/W-BISFI- 1(0006252902)
23,PARSAUNI,PARSAUNI,Shallow tubewell,Ground Water,1U.M.S Parsauni Boys,HandPump,SCHOOL T/W-BISFI- 1(0006252902)
24,PARSAUNI,PARSAUNI,Shallow tubewell,Ground Water,N.P.S Mushari Tol,HandPump,SCHOOL T/W-BISFI- 1(0006252902)
25,PARSAUNI,PARSAUNI,Shallow tubewell,Ground Water,P.S. PARSAUNI NAVTOLI,HandPump,SCHOOL T/W-BISFI- 2(0006253289)
26,PARSAUNI,PARSAUNI,Shallow tubewell,Ground Water,P.S. PARSAUNI HINDI,HandPump,SCHOOL T/W-BISFI- 2(0006253289)
27,PARSAUNI,PARSAUNI,Shallow tubewell,Ground Water,P.MAK.PARSAUNI GIRL,HandPump,SCHOOL T/W-BISFI- 2(0006253289)
28,PARSAUNI,PARSAUNI,Shallow tubewell,Ground Water,P.S. USRAHI,HandPump,SCHOOL T/W-BISFI- 2(0006253289)
29,PARSAUNI,PARSAUNI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002660634)
30,PARSAUNI,PARSAUNI,Deep tubewell,Ground Water,P.S. PARSAUNI HINDI,HandPump,SPOT SOURCES(0002718545)
31,PARSAUNI,PARSAUNI,Deep tubewell,Ground Water,P.S. PARSAUNI NAVTOLI,HandPump,SPOT SOURCES(0002718548)
32,PARSAUNI,PARSAUNI,Deep tubewell,Ground Water,P.S. USRAHI,HandPump,SPOT SOURCES(0002718550)
33,PARSAUNI,PARSAUNI,Deep tubewell,Ground Water,U.M.MAK. PARSAUNI,HandPump,SPOT SOURCES(0002718552)
34,PARSAUNI,PARSAUNI,Deep tubewell,Ground Water,M.S.PARSAUNI,HandPump,SPOT SOURCES(0002718554)
35,PARSAUNI,PARSAUNI,Deep tubewell,Ground Water,P.MAK.PARSAUNI GIRL,HandPump,SPOT SOURCES(0002718561)
36,PARSAUNI,PARSAUNI,Deep tubewell,Ground Water,M.A.D.MOHSENUL OLUM USRAHI,HandPump,SPOT SOURCES(0002718562)
37,PARSAUNI,PARSAUNI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001965571)
38,PARSAUNI,PARSAUNI,Shallow tubewell,Ground Water,Ramnath Ram,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD BISFI(0005820169)
39,PARSAUNI,PARSAUNI,Shallow tubewell,Ground Water,Sone Sahu,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD BISFI(0005820169)
40,PARSAUNI,PARSAUNI,Shallow tubewell,Ground Water,MD KARI,HandPump,SUSTAIPNABLE NEW IN PLACE OF OLD TW BISFI(2014(0006682511)
41,PARSAUNI,PARSAUNI NAV TOLI,Shallow tubewell,Ground Water,N.P.S.PARSAUNI BICHLA TOL,HandPump,SCHOOL T/W-BISFI- 1(0006252902)
42,PARSAUNI,PARSAUNI NAV TOLI,Shallow tubewell,Ground Water,P.MAK.ASURA GIRL,HandPump,SCHOOL T/W-BISFI- 2(0006253289)
43,PARSAUNI,PARSAUNI NAV TOLI,Shallow tubewell,Ground Water,P.MAK.ASURA BOYS,HandPump,SCHOOL T/W-BISFI- 2(0006253289)
44,PARSAUNI,PARSAUNI NAV TOLI,Deep tubewell,Ground Water,T/W 1,HandPump,Spot Source Scheme 2(0007086483)
45,PARSAUNI,PARSAUNI NAV TOLI,Deep tubewell,Ground Water,N.P.S.PARSAUNI BICHLA TOL,HandPump,SPOT SOURCES(0002718563)
46,PARSAUNI,PARSAUNI NAV TOLI,Deep tubewell,Ground Water,P.MAK.ASURA BOYS,HandPump,SPOT SOURCES(0002718568)
47,PARSAUNI,PARSAUNI NAV TOLI,Deep tubewell,Ground Water,P.MAK.ASURA GIRL,HandPump,SPOT SOURCES(0002718569)
48,PARSAUNI,PARSAUNI NAV TOLI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001965571)
49,PARSAUNI,PARSAUNI NAV TOLI,Shallow tubewell,Ground Water,Ghuran Jha,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD BISFI(0005820169)
50,PARSAUNI,PARSUNI SOUTH,Shallow tubewell,Ground Water,MD AEJAJ KE GHAR KE PAS USRAHI,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
51,PARSAUNI,PARSUNI SOUTH,Shallow tubewell,Ground Water,FAIJANE KHIJIR KE GHAR KE PAS SARVJANIK STHAL PAR EAST MOHHALA,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
