Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,AJNAULI,AJNAVLI,Shallow tubewell,Ground Water,A,HandPump,NC/PC BISFI(0006534409)
2,AJNAULI,AJNAVLI,Shallow tubewell,Ground Water,Chow k Par,HandPump,NC/PC BISFI- 2(0005696937)
3,AJNAULI,AJNAVLI,Shallow tubewell,Ground Water,P.S.AJNAULI,HandPump,RUNNING WS IN SCHOOL(0006534784)
4,AJNAULI,AJNAVLI,Shallow tubewell,Ground Water,P.S.AJNAULI,HandPump,RUNNING WS IN SCHOOL(0006534787)
5,AJNAULI,AJNAVLI,Shallow tubewell,Ground Water,P.S.AJNAULI,HandPump,SCHOOL T/W- BISFI(0006557172)
6,AJNAULI,AJNAVLI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Sport Sourse(0001965524)
7,AJNAULI,AJNAVLI,Deep tubewell,Ground Water,T/W 1,HandPump,Spot Source Scheme 2(0007086483)
8,AJNAULI,AJNAVLI,Deep tubewell,Ground Water,P.MAK. BARHA GIRL,HandPump,SPOT SOURCES(0002719377)
9,AJNAULI,AJNAVLI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001965515)
10,AJNAULI,AJNAVLI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001973572)
11,RAGHEPURA,DARAHI HAT,Deep tubewell,Ground Water,Mandir Ke Pas,HandPump,Hand Pump Scheme(0004690566)
12,RAGHEPURA,DARAHI HAT,Shallow tubewell,Ground Water,Pokhar Bhinda Par,HandPump,NC/PC BISFI- 2(0005696937)
13,RAGHEPURA,DARAHI HAT,Deep tubewell,Ground Water,Non Mandatroy,HandPump,Spot Sourse(0001965515)
14,RAGHEPURA,RAGHEPURA,Deep tubewell,Ground Water,Chow k Par,HandPump,Md.Jaffar(0000044126)
15,RAGHEPURA,RAGHEPURA,Deep tubewell,Ground Water,Mandir Ke Pas,HandPump,Md.Motijan(0000044125)
16,RAGHEPURA,RAGHEPURA,Shallow tubewell,Ground Water,Chalitar Ram S/O Sone Lal Ram Chamar Toli Mod Par,HandPump,MLA QUOTA-BISFI- 6(0005577297)
17,RAGHEPURA,RAGHEPURA,Shallow tubewell,Ground Water,Mo Kalamudin S/O Met Sebul Hak Pachim Tola,HandPump,MLA QUOTA-BISFI- 6(0005577297)
18,RAGHEPURA,RAGHEPURA,Shallow tubewell,Ground Water,M0 Abulesh S/O Mo Hasshan Ke Ghar Ke Pas,HandPump,MLA QUOTA-BISFI- 6(0005577297)
19,RAGHEPURA,RAGHEPURA,Shallow tubewell,Ground Water,"Hasan S/O Hafij J,Mo Isha Ke Ghar Ke Pas",HandPump,MLA QUOTA-BISFI- 6(0005577297)
20,RAGHEPURA,RAGHEPURA,Shallow tubewell,Ground Water,Mosafir Yadav Ke Ghae Ke Pas Sadak Ke Utar Gram Ithar,HandPump,MLA QUOTA-BISFI- 6(0005577297)
21,RAGHEPURA,RAGHEPURA,Deep tubewell,Ground Water,Road Side Me,HandPump,Nan Kun Pasw an(0000044129)
22,RAGHEPURA,RAGHEPURA,Shallow tubewell,Ground Water,Mandir Ke Pas,HandPump,NC/PC BISFI- 2(0005696937)
23,RAGHEPURA,RAGHEPURA,Shallow tubewell,Ground Water,Samudayik Bhaw an Ke Pas,HandPump,NC/PC BISFI- 2(0005696937)
24,RAGHEPURA,RAGHEPURA,Shallow tubewell,Ground Water,Chow k Par,HandPump,NC/PC BISFI- 2(0005696937)
25,RAGHEPURA,RAGHEPURA,Shallow tubewell,Ground Water,Haat Par,HandPump,NC/PC BISFI- 2(0005696937)
26,RAGHEPURA,RAGHEPURA,Shallow tubewell,Ground Water,Masjid Ke Pas,HandPump,NC/PC BISFI- 2(0005696937)
27,RAGHEPURA,RAGHEPURA,Shallow tubewell,Ground Water,P.S. RAGHEPURA,HandPump,RUNNING WS IN SCHOOL(0006534784)
28,RAGHEPURA,RAGHEPURA,Shallow tubewell,Ground Water,P.S. RAGHEPURA,HandPump,RUNNING WS IN SCHOOL(0006534787)
29,RAGHEPURA,RAGHEPURA,Shallow tubewell,Ground Water,P.S. RAGHEPURA,HandPump,SCHOOL T/W- BISFI(0006557172)
30,RAGHEPURA,RAGHEPURA,Shallow tubewell,Ground Water,P.S Barha Girl,HandPump,SCHOOL T/W-BISFI- 1(0006252902)
31,RAGHEPURA,RAGHEPURA,Shallow tubewell,Ground Water,M.S Barha,HandPump,SCHOOL T/W-BISFI- 1(0006252902)
32,RAGHEPURA,RAGHEPURA,Shallow tubewell,Ground Water,P.MAK.AJNAULI,HandPump,SCHOOL T/W-BISFI- 2(0006253289)
33,RAGHEPURA,RAGHEPURA,Shallow tubewell,Ground Water,P.S. YADURATTI,HandPump,SCHOOL T/W-BISFI- 2(0006253289)
34,RAGHEPURA,RAGHEPURA,Shallow tubewell,Ground Water,P.S. RAGHEPURA,HandPump,SCHOOL T/W-BISFI- 2(0006253289)
35,RAGHEPURA,RAGHEPURA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002660598)
