Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,DUDHAIL,DUDHAIL,Shallow tubewell,Ground Water,D,HandPump,NC/PC BISFI(0006534409)
2,DUDHAIL,DUDHAIL,Shallow tubewell,Ground Water,C,HandPump,NC/PC BISFI(0006534409)
3,DUDHAIL,DUDHAIL,Shallow tubewell,Ground Water,B,HandPump,NC/PC BISFI(0006534409)
4,DUDHAIL,DUDHAIL,Shallow tubewell,Ground Water,A,HandPump,NC/PC BISFI(0006534409)
5,DUDHAIL,DUDHAIL,Shallow tubewell,Ground Water,U.M.S Godhaul,HandPump,SCHOOL T/W-BISFI- 1(0006252902)
6,DUDHAIL,DUDHAIL,Deep tubewell,Ground Water,T/W 1,HandPump,Spot Source Scheme 2(0007086483)
7,DUDHAIL,DUDHAIL,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001965477)
8,DUDHAIL,DUDHAIL,Deep tubewell,Ground Water,Mandir Ke Paas,HandPump,Spot Sourse(0001973567)
9,DUDHAIL,DUDHAIL,Shallow tubewell,Ground Water,Caitu Kahar,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD BISFI(0005820169)
10,SADULLAHPUR,SADULAHPUR,Deep tubewell,Ground Water,Mini Pw ss Sahdullahpur,HandPump,Mini Pipe Water Sapply Scheme Electric Madhubani(0005017362)
11,SADULLAHPUR,SADULAHPUR,Deep tubewell,Ground Water,Sahadulahpur Mini Pw ss,PWS,Mini Pipe Water Sapply Scheme Electric(0004914551)
12,SADULLAHPUR,SADULAHPUR,Deep tubewell,Ground Water,Sahdulah Pur Mini Pipe Water Sapply,PWS,Mini Pipe Water Sapply Scheme Electric(0004914551)
13,SADULLAHPUR,SADULAHPUR,Deep tubewell,Ground Water,,PWS,Mini Pipe Water Sapply Scheme Electric(0004914739)
14,SADULLAHPUR,SADULAHPUR,Deep tubewell,Ground Water,,PWS,Mini Pipe Water Sapply Scheme Electric(0004914739)
15,SADULLAHPUR,SADULAHPUR,Deep tubewell,Ground Water,,PWS,Mini Pipe Water Sapply Scheme Electric(0004914739)
16,SADULLAHPUR,SADULAHPUR,Shallow tubewell,Ground Water,MOHAN YADAV KE GHAR KE PAS SARVJANIK STHAL PAR GORHAUL,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
17,SADULLAHPUR,SADULAHPUR,Shallow tubewell,Ground Water,MANDIR KE PAS PACHWARI BHINDA PAR ANGANWADI KENDRA KE NIEKT GORHAUL,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
18,SADULLAHPUR,SADULAHPUR,Shallow tubewell,Ground Water,MUSLIM MOHALLA KABRISTAN KE NIKET,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
19,SADULLAHPUR,SADULAHPUR,Shallow tubewell,Ground Water,YADUNANDAN YADAV KE GACHI KE NIKET GORHAUL,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
20,SADULLAHPUR,SADULAHPUR,Shallow tubewell,Ground Water,ASAUTHU STATE KE BAGAL ME,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
21,SADULLAHPUR,SADULAHPUR,Shallow tubewell,Ground Water,Narsingh Sthan Ke Najdik Grak Gadoul,HandPump,MLA QUOTA-BISFI 10(0005484173)
22,SADULLAHPUR,SADULAHPUR,Shallow tubewell,Ground Water,Baijnath Chouk Par,HandPump,MLA QUOTA-BISFI 10(0005484173)
23,SADULLAHPUR,SADULAHPUR,Shallow tubewell,Ground Water,Tarkesw ar Jha Ke Ghar Ke Pas,HandPump,MLA QUOTA-BISFI 10(0005484173)
24,SADULLAHPUR,SADULAHPUR,Shallow tubewell,Ground Water,Asmasan Me Sadullahpur Gram Gorhoul,HandPump,MLA QUOTA-BISFI 10(0005484173)
25,SADULLAHPUR,SADULAHPUR,Shallow tubewell,Ground Water,Bhola Yadav S/O Met Ache Yadav Ji Ke Bhrath Ke Najdik Sadak Kinare Gram Gorhoul,HandPump,MLA QUOTA-BISFI 10(0005484173)
26,SADULLAHPUR,SADULAHPUR,Shallow tubewell,Ground Water,Narsingh Asthan Ke Najdik Gram Godhol,HandPump,MLA QUOTA-BISFI- 6(0005577297)
27,SADULLAHPUR,SADULAHPUR,Shallow tubewell,Ground Water,Baijnath Chook Par,HandPump,MLA QUOTA-BISFI- 6(0005577297)
28,SADULLAHPUR,SADULAHPUR,Shallow tubewell,Ground Water,Tarkesw ar Jha Ke Ghar Ke Pas,HandPump,MLA QUOTA-BISFI- 6(0005577297)
29,SADULLAHPUR,SADULAHPUR,Shallow tubewell,Ground Water,Asmashan Me Gram Gorhoul,HandPump,MLA QUOTA-BISFI- 6(0005577297)
30,SADULLAHPUR,SADULAHPUR,Shallow tubewell,Ground Water,Sr Bhola Yadav S/O Met Achhe Yadavji Ke Bharth Ke Najdik Sadak Kinare,HandPump,MLA QUOTA-BISFI- 6(0005577297)
31,SADULLAHPUR,SADULAHPUR,Shallow tubewell,Ground Water,Samudayik Bhaw an,HandPump,NC/PC BISFI- 2(0005696937)
32,SADULLAHPUR,SADULAHPUR,Shallow tubewell,Ground Water,Pokhar Bhinda Par,HandPump,NC/PC BISFI- 2(0005696937)
33,SADULLAHPUR,SADULAHPUR,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC BISFI- 2(0005696937)
34,SADULLAHPUR,SADULAHPUR,Shallow tubewell,Ground Water,Masjid Ke Pas,HandPump,NC/PC BISFI- 2(0005696937)
35,SADULLAHPUR,SADULAHPUR,Shallow tubewell,Ground Water,Masjid Ke Pas,HandPump,NC/PC BISFI- 2(0005696937)
36,SADULLAHPUR,SADULAHPUR,Shallow tubewell,Ground Water,P.S Sadullahpur,HandPump,SCHOOL T/W-BISFI- 1(0006252902)
37,SADULLAHPUR,SADULAHPUR,Shallow tubewell,Ground Water,U.M.S. DUDHAIL,HandPump,SCHOOL T/W-BISFI- 2(0006253289)
38,SADULLAHPUR,SADULAHPUR,Shallow tubewell,Ground Water,N.P.S.SUNDERPUR GATHOL TOL,HandPump,SCHOOL T/W-BISFI- 2(0006253289)
39,SADULLAHPUR,SADULAHPUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002660261)
40,SADULLAHPUR,SADULAHPUR,Deep tubewell,Ground Water,P.MAK. SADULLAHPUR,HandPump,SPOT SOURCES(0002718774)
41,SADULLAHPUR,SADULAHPUR,Deep tubewell,Ground Water,U.M.S. DUDHAIL,HandPump,SPOT SOURCES(0002720718)
42,SADULLAHPUR,SADULAHPUR,Deep tubewell,Ground Water,N.P.S.SUNDERPUR GATHOL TOL,HandPump,SPOT SOURCES(0002720723)
43,SADULLAHPUR,SADULAHPUR,Deep tubewell,Ground Water,P.MAK. SADULLAHPUR,HandPump,SPOT SOURCES(0002720732)
44,SADULLAHPUR,SADULAHPUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001965477)
45,SADULLAHPUR,SADULAHPUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001973568)
46,SADULLAHPUR,SADULAHPUR,Shallow tubewell,Ground Water,Pokhrauni Hat Par,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD BISFI(0005820169)
