Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,AALE,AKASPURA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004038068)
2,AALE,ALE,Shallow tubewell,Ground Water,VINOD YADAV S/O JALESHWAR YADAV KE GHAR KE NAJDIK SADAK KINARE,HandPump,MLA QOUTA-RAHIKA- 1(0006375885)
3,AALE,ALE,Shallow tubewell,Ground Water,Aalw  Chow k Par,HandPump,NC/PC RAHIKA- 1(0005706193)
4,AALE,ALE,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004037659)
5,KAJIANA,KAJIANA,Deep tubewell,Ground Water,Mandir Ke Pas,HandPump,Spot Source(0002656777)
6,KAJIANA,KAJIANA,Deep tubewell,Ground Water,Khajaana Chow k Par,HandPump,Spot Sourse(0001973379)
7,KESOPUR,KESOPUR,Deep tubewell,Ground Water,T/W 1,HandPump,Spot Source Scheme(0007085595)
8,KESOPUR,KESOPUR,Deep tubewell,Ground Water,Mandir Ke Pas,HandPump,Spot Sourse(0001973371)
9,KHAJURI,KHAJURI,Shallow tubewell,Ground Water,NEW MAHADALIT BASTI NAVTOLI,HandPump,MLA QOUTA-RAHIKA- 1(0006375885)
10,KHAJURI,KHAJURI,Shallow tubewell,Ground Water,LAL YADAV GHAR KE PAS SADAK KINARE,HandPump,MLA QOUTA-RAHIKA- 1(0006375885)
11,KHAJURI,KHAJURI,Shallow tubewell,Ground Water,NAVTOLI PAKRI GACH KE PAS PASWAN TOLA,HandPump,MLA QOUTA-RAHIKA- 1(0006375885)
12,KHAJURI,KHAJURI,Shallow tubewell,Ground Water,D,HandPump,NC/PC RAHIKA(0006539751)
13,KHAJURI,KHAJURI,Shallow tubewell,Ground Water,C,HandPump,NC/PC RAHIKA(0006539751)
14,KHAJURI,KHAJURI,Shallow tubewell,Ground Water,B,HandPump,NC/PC RAHIKA(0006539751)
15,KHAJURI,KHAJURI,Shallow tubewell,Ground Water,A,HandPump,NC/PC RAHIKA(0006539751)
16,KHAJURI,KHAJURI,Shallow tubewell,Ground Water,P.Mak Khajuri,HandPump,SCHOOL T/W-RAHIKA- 2(0006219511)
17,KHAJURI,KHAJURI,Shallow tubewell,Ground Water,M.S Khajuri Rajhan,HandPump,SCHOOL T/W-RAHIKA- 2(0006219511)
18,KHAJURI,KHAJURI,Shallow tubewell,Ground Water,M.S Khajuri Hindi,HandPump,SCHOOL T/W-RAHIKA- 2(0006219511)
19,KHAJURI,KHAJURI,Shallow tubewell,Ground Water,U.M.S Akashpura,HandPump,SCHOOL T/W-RAHIKA- 3(0006220259)
20,KHAJURI,KHAJURI,Deep tubewell,Ground Water,N.P.S NIMA MALLAH TOL,HandPump,SPOT SOURCES(0002719776)
21,KHAJURI,KHAJURI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001973421)
22,KHAJURI,KHAJURI,Shallow tubewell,Ground Water,Jangli Safi,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD RAHIKA(0005820076)
23,KHAJURI,KHAJURI,Shallow tubewell,Ground Water,Janak Saday,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD RAHIKA(0005820076)
24,PHATEPUR,PHATEPUR,Shallow tubewell,Ground Water,VINOD KUMAR GHAR KE PAS SADAK KINARE,HandPump,MLA QOUTA-RAHIKA- 1(0006375885)
25,PHATEPUR,PHATEPUR,Shallow tubewell,Ground Water,U.M.S Khagiyana Phattepur,HandPump,SCHOOL T/W-RAHIKA- 3(0006220259)
26,PHATEPUR,PHATEPUR,Deep tubewell,Ground Water,Non Mandtory,HandPump,Spot Source(0002655087)
27,PHATEPUR,PHATEPUR,Deep tubewell,Ground Water,Chow k Par Fatehpur,HandPump,Spot Sourse(0001965678)
28,SALAMPUR,SALAMPUR,Shallow tubewell,Ground Water,B,HandPump,NC/PC RAHIKA(0006539751)
29,SALAMPUR,SALAMPUR,Shallow tubewell,Ground Water,A,HandPump,NC/PC RAHIKA(0006539751)
30,SALAMPUR,SALAMPUR,Shallow tubewell,Ground Water,P.MAK Bhitti Salempur,HandPump,SCHOOL T/W-RAHIKA- 2(0006219511)
31,SALAMPUR,SALAMPUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001973343)
