Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BIRSAR,BIRSAR,Shallow tubewell,Ground Water,VIJAY SAHNI S/O BHOLA SAHNI GHAR KE NAJDIK SADAK KINARE,HandPump,MLA QOUTA- RAHIKA- 1(0006375885)
2,BIRSAR,BIRSAR,Shallow tubewell,Ground Water,Deepika Das Ke Ghar Ke Bagal Me,HandPump,NC/PC RAHIKA- 3(0005706350)
3,BIRSAR,BIRSAR,Shallow tubewell,Ground Water,Mandir Ke Pas,HandPump,NC/PC RAHIKA- 3(0005706350)
4,BIRSAR,BIRSAR,Shallow tubewell,Ground Water,P.S Birsar,HandPump,SCHOOL T/W- RAHIKA- 2(0006219511)
5,BIRSAR,BIRSAR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001973480)
6,DAGAR BHITTHI,DAGAR BHITTI,Shallow tubewell,Ground Water,Aw c -116,HandPump,Anganw adi HP Madhubani And JJP(0004965546)
7,DAGAR BHITTHI,DAGAR BHITTI,Shallow tubewell,Ground Water,Aw c -115,HandPump,Anganw adi HP Madhubani And JJP(0004965546)
8,DAGAR BHITTHI,DAGAR BHITTI,Shallow tubewell,Ground Water,Aw c -116,HandPump,Anganw adi HP Madhubani And JJP(0004965546)
9,DAGAR BHITTHI,DAGAR BHITTI,Shallow tubewell,Ground Water,Aw c -115,HandPump,Anganw adi HP Madhubani And JJP(0004965546)
10,DAGAR BHITTHI,DAGAR BHITTI,Shallow tubewell,Ground Water,Aw c -116,HandPump,Anganw adi HP Madhubani And JJP(0004965546)
11,DAGAR BHITTHI,DAGAR BHITTI,Shallow tubewell,Ground Water,Aw c -115,HandPump,Anganw adi HP Madhubani And JJP(0004965546)
12,DAGAR BHITTHI,DAGAR BHITTI,Shallow tubewell,Ground Water,CHOWK PAR PIPAL PED KE NAJDIK,HandPump,MLA QOUTA- RAHIKA- 1(0006375885)
13,DAGAR BHITTHI,DAGAR BHITTI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001973456)
14,SAMAUL,SAMAUL,Shallow tubewell,Ground Water,P.S Samaul Dusadh Tol,HandPump,SCHOOL T/W- RAHIKA- 3(0006220259)
15,SAMAUL,SAMAUL,Shallow tubewell,Ground Water,P.S Samaul,HandPump,SCHOOL T/W- RAHIKA- 3(0006220259)
16,SAMAUL,SAMAUL,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001973462)
17,SAMAUL,SAMAUL,Shallow tubewell,Ground Water,Dharam Nath Jha,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD RAHIKA(0005820076)
18,SEMUARA,SEMUARA,Shallow tubewell,Ground Water,Angan Wari Bhitti Kendar No-115,HandPump,Angan Wari(0004944828)
19,SEMUARA,SEMUARA,Shallow tubewell,Ground Water,Angan Wari Kautola Harijan Kendar No- 116,HandPump,Angan Wari(0004944833)
20,SEMUARA,SEMUARA,Shallow tubewell,Ground Water,SANJAY KUMAR SAH GHAR KE NAJDIK SADAK KINARE,HandPump,MLA QOUTA- RAHIKA- 1(0006375885)
21,SEMUARA,SEMUARA,Shallow tubewell,Ground Water,GANESH MANDAL KE GHAR KE NAJDIK P.C.C SADAK KINARE,HandPump,MLA QOUTA- RAHIKA- 1(0006375885)
22,SEMUARA,SEMUARA,Shallow tubewell,Ground Water,UJWAL KUMAR SINGH KE GHAR KE NAJDIK SADAK KINARE,HandPump,MLA QOUTA- RAHIKA- 1(0006375885)
23,SEMUARA,SEMUARA,Shallow tubewell,Ground Water,M.S Shambhuar,HandPump,SCHOOL T/W- RAHIKA- 1(0006210464)
24,SEMUARA,SEMUARA,Shallow tubewell,Ground Water,M.S Chauri,HandPump,SCHOOL T/W- RAHIKA- 1(0006210464)
25,SEMUARA,SEMUARA,Shallow tubewell,Ground Water,P.S Shambhur Girl,HandPump,SCHOOL T/W- RAHIKA- 3(0006220259)
26,SEMUARA,SEMUARA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002655107)
27,SEMUARA,SEMUARA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001965691)
28,SEMUARA,SEMUARA,Shallow tubewell,Ground Water,Chandan Shukla,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD RAHIKA(0005820076)
29,SEMUARA,SEMUARA,Shallow tubewell,Ground Water,UCHAY VIDYALAYA SHABHUAR,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W RAHIKA(0006682500)
30,SEMUARA,SEMUARA,Shallow tubewell,Ground Water,VINIT THAKUR,HandPump,SUSTANABLE RAHIKA 1(0006498242)
31,SEMUARA,SEMUARA,Shallow tubewell,Ground Water,JAG NARAYAN JHA,HandPump,SUSTANABLE RAHIKA 1(0006498242)
32,SEMUARA,SEMUARA,Shallow tubewell,Ground Water,MAHAKANT THAKUR,HandPump,SUSTANABLE RAHIKA 1(0006498242)
