Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAJRAHA,BAJRAHA,Deep tubewell,Ground Water,Chow k Par,HandPump,Bashishta Narayan Jha(0000044523)
2,BAJRAHA,BAJRAHA,Deep tubewell,Ground Water,Pokhar Bhinda Par,HandPump,Hand Pump Scheme(0004690566)
3,BAJRAHA,BAJRAHA,Shallow tubewell,Ground Water,SMT SHEELA DEVI H/U SR JIBACH MEHARA KE GHAR KE NIKET,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
4,BAJRAHA,BAJRAHA,Shallow tubewell,Ground Water,Mandir Ke Pas,HandPump,NC/PC BISFI- 1(0005696678)
5,BAJRAHA,BAJRAHA,Shallow tubewell,Ground Water,Samudaik Bhaw an Ke Pas,HandPump,NC/PC BISFI- 1(0005696678)
6,BAJRAHA,BAJRAHA,Shallow tubewell,Ground Water,Pokhar Bhinda Par,HandPump,NC/PC BISFI- 1(0005696678)
7,BAJRAHA,BAJRAHA,Shallow tubewell,Ground Water,Chow k Par,HandPump,NC/PC BISFI- 1(0005696678)
8,BAJRAHA,BAJRAHA,Shallow tubewell,Ground Water,Chow k Par,HandPump,NC/PC BISFI- 1(0005696678)
9,BAJRAHA,BAJRAHA,Shallow tubewell,Ground Water,Ram Lakhan Ram,HandPump,NC/PC BISFI- 1(0005696678)
10,BAJRAHA,BAJRAHA,Shallow tubewell,Ground Water,Pokhar Bhinda Par,HandPump,NC/PC BISFI- 1(0005696678)
11,BAJRAHA,BAJRAHA,Shallow tubewell,Ground Water,Rajesh Yadav,HandPump,NC/PC BISFI- 1(0005696678)
12,BAJRAHA,BAJRAHA,Shallow tubewell,Ground Water,Ramlakhan Mochi,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD BISFI(0005820169)
13,CHANDARBANA,CHAND RABANA,Deep tubewell,Ground Water,Ravi Ram Ke Ghar Ke Pas,HandPump,Hand Pump Scheme(0004690566)
14,CHANDARBANA,CHAND RABANA,Shallow tubewell,Ground Water,BRHAMSTHAN KE PAS,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
15,CHANDARBANA,CHAND RABANA,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC BISFI- 2(0005696937)
16,CHANDARBANA,CHAND RABANA,Shallow tubewell,Ground Water,Samudayik Bhaw an Ke Pas,HandPump,NC/PC BISFI- 2(0005696937)
17,CHANDARBANA,CHAND RABANA,Shallow tubewell,Ground Water,Pokhar Bhinda Par,HandPump,NC/PC BISFI- 2(0005696937)
18,CHANDARBANA,CHAND RABANA,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC BISFI- 2(0005696937)
19,CHANDARBANA,CHAND RABANA,Deep tubewell,Ground Water,Chow k Par,HandPump,Ranjit Yadav(0000044237)
20,GENAUR,GANEUR,Deep tubewell,Ground Water,T/W 1,HandPump,Bisfi Spot Source Scheme(0007064642)
21,GENAUR,GANEUR,Shallow tubewell,Ground Water,SR MANOJ MISRA KE GHAR KE NIKET SARVJANIK STHAL PAR,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
22,GENAUR,GANEUR,Shallow tubewell,Ground Water,SR BHOLA BABU KE DARWAJE KE NIKET SARVJANIK STHAL PAR MUSL M TOLA 0,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
23,GENAUR,GANEUR,Shallow tubewell,Ground Water,HIRA PASWAN KE GHAR KE NIKET SADAK KINARE SARVJANIK STHAL PAR,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
24,GENAUR,GANEUR,Shallow tubewell,Ground Water,Khoda Bash Hira Ke Ghar Ke Niket Sadak Kinare,HandPump,MLA QUOTA-BISFI- 4(0005556405)
25,GENAUR,GANEUR,Shallow tubewell,Ground Water,B,HandPump,NC/PC BISFI(0006534409)
26,GENAUR,GANEUR,Shallow tubewell,Ground Water,A,HandPump,NC/PC BISFI(0006534409)
27,GENAUR,GANEUR,Shallow tubewell,Ground Water,P.S Genaur,HandPump,SCHOOL T/W-BISFI- 1(0006252902)
28,GENAUR,GANEUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002660983)
29,GENAUR,GANEUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001973601)
30,NAHAR RUPAULI,KHANG RAITWA,Deep tubewell,Ground Water,Road Side Me,HandPump,Hand Pump Scheme(0004690566)
31,NAHAR RUPAULI,KHANG RAITWA,Shallow tubewell,Ground Water,SAMODHI YADAV GHAR KE PAS,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
32,NAHAR RUPAULI,KHANG RAITWA,Shallow tubewell,Ground Water,SR RAMSAWGARATH YADAV S/O JAMINDAR YADAV,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
33,NAHAR RUPAULI,KHANG RAITWA,Deep tubewell,Ground Water,Samudaik Bhaw an,HandPump,Ram Sagar Ram(0000044517)
34,NAHAR RUPAULI,KHANG RAITWA,Shallow tubewell,Ground Water,P.S Khangrattha Charw aha,HandPump,SCHOOL T/W-BISFI- 1(0006252902)
35,NAHAR RUPAULI,KHANG RAITWA,Deep tubewell,Ground Water,Chow k Par,HandPump,Shree Garbhu Ram(0000044513)
36,NAHAR RUPAULI,KHANG RAITWA,Shallow tubewell,Ground Water,Mandir Ke Pas,HandPump,Spot Source- Bisfi(0005271807)
37,NAHAR RUPAULI,KHANG RAITWA,Shallow tubewell,Ground Water,Middle School,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD BISFI(0005820169)
38,NAHAR RUPAULI,KHANG RAITWA,Shallow tubewell,Ground Water,High School,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD BISFI(0005820169)
39,NAHAR RUPAULI,KHANG RAITWA,Shallow tubewell,Ground Water,UCHAY VIDYALAYA,HandPump,SUSTAIPNABLE NEW IN PLACE OF OLD TW BISFI(2014(0006682511)
40,NAHAR RUPAULI,MUNI TOL,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001965615)
41,NAHAR RUPAULI,NAHVS EAST,Deep tubewell,Ground Water,P.S. NAHAS EAST,HandPump,Hand Pump Scheme(0004690566)
42,NAHAR RUPAULI,NAHVS EAST,Shallow tubewell,Ground Water,P.S. NAHAS EAST,HandPump,NC/PC BISFI- 2(0005696937)
43,NAHAR RUPAULI,NAHVS EAST,Shallow tubewell,Ground Water,P.S. NAHAS EAST,HandPump,NC/PC BISFI- 2(0005696937)
44,NAHAR RUPAULI,NAHVS EAST,Shallow tubewell,Ground Water,P.S. CHANDRA VANA,HandPump,SCHOOL T/W-BISFI- 2(0006253289)
45,NAHAR RUPAULI,NAHVS EAST,Shallow tubewell,Ground Water,P.S. NAHAS EAST,HandPump,SCHOOL T/W-BISFI- 2(0006253289)
46,NAHAR RUPAULI,NAHVS EAST,Deep tubewell,Water,P.S. CHANDRA VANA,HandPump,SPOT SOURCES(0002718553)
47,NAHAR RUPAULI,NAHVS EAST,Deep tubewell,Ground Water,P.S. NAHAS EAST,HandPump,SPOT SOURCES(0002718663)
48,NAHAR RUPAULI,NAHVS EAST,Deep tubewell,Ground Water,P.S. CHANDRA VANA,HandPump,SPOT SOURCES(0002719033)
49,NAHAR RUPAULI,NAHVS EAST,Deep tubewell,Ground Water,P.S. NAHAS EAST,HandPump,SPOT SOURCES(0002719038)
