Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,DAMLA,DAMLA,Shallow tubewell,Ground Water,Masjid Ke Pas,HandPump,NC/PC BISFI- 2(0005696937)
2,DAMLA,DAMLA,Shallow tubewell,Ground Water,Samudayik Bhw an,HandPump,NC/PC BISFI- 2(0005696937)
3,DAMLA,DAMLA,Shallow tubewell,Ground Water,1pan Dukan Ke Pas,HandPump,NC/PC BISFI- 2(0005696937)
4,DAMLA,DAMLA,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC BISFI- 2(0005696937)
5,DAMLA,DAMLA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002661140)
6,DAMLA,DAMLA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001973636)
7,DAMLA,DURJAU LIYA,Deep tubewell,Ground Water,T/W 1,HandPump,Bisfi Spot Source Scheme(0007064642)
8,DAMLA,DURJAU LIYA,Shallow tubewell,Ground Water,SHAJADR S/O SARUL HAK KE GHAR KE PAS,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
9,DAMLA,DURJAU LIYA,Shallow tubewell,Ground Water,MD JABED S/O MD SAGIR KE GHAR KE PAS,HandPump,MLA QOUTA- BISFI (2013-14)(0006786437)
10,DAMLA,DURJAU LIYA,Shallow tubewell,Ground Water,A,HandPump,NC/PC BISFI(0006534409)
11,DAMLA,DURJAU LIYA,Deep tubewell,Ground Water,,HandPump,Spot Sourse(0001973636)
12,RATHOS,CHHOR AHIYA,Deep tubewell,Ground Water,T/W 1,HandPump,Bisfi Spot Source Scheme(0007064642)
13,RATHOS,CHHOR AHIYA,Deep tubewell,Ground Water,T/W 1,HandPump,Spot Source Scheme 2(0007086483)
14,RATHOS,CHHOR AHIYA,Deep tubewell,Ground Water,Chow k Par Chaai Dukan Ke Pass,HandPump,Spot Sourse(0001965639)
15,RATHOS,HARIJAN TOL,Deep tubewell,Ground Water,T/W 1,HandPump,Bisfi Spot Source Scheme(0007064642)
16,RATHOS,HARIJAN TOL,Deep tubewell,Ground Water,Harijan Dalaan Ke Pas,HandPump,Spot Source(0004043398)
17,RATHOS,LOHRA,Deep tubewell,Ground Water,Mandir Ke Pas,HandPump,Basant Yadav(0000044270)
18,RATHOS,LOHRA,Deep tubewell,Ground Water,Chow k Par,HandPump,Bechan Ram(0000044263)
19,RATHOS,LOHRA,Deep tubewell,Ground Water,Samudaik Bhaw an Kw Pas,HandPump,Chandra Deo Yadav(0000044272)
