Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAHARBAN,BAHARBAN,Shallow tubewell,Ground Water,Aw c 25,HandPump,ANGANWARDI T/W- RAHIKA(0006356299)
2,BAHARBAN,BAHARBAN,Shallow tubewell,Ground Water,Sri Bhishan Pasw an S/O Lat Chalitar Pasw an Ke Ghar Ke Pas,HandPump,MLA QOUTA-RAHIKA- 1(0006375885)
3,BAHARBAN,BAHARBAN,Shallow tubewell,Ground Water,Md Taiyab,HandPump,MLA QUOTA- Rahika(0005331100)
4,BAHARBAN,BAHARBAN,Shallow tubewell,Ground Water,Mo Abdullah S/O Mo Taiyab Ke Ghar Ke Niket Pulya Ke Bagal Me,HandPump,MLA QUOTA-RAHIKA- 2(0005796763)
5,BAHARBAN,BAHARBAN,Shallow tubewell,Ground Water,Chow k Par,HandPump,NC/PC RAHIKA- 2(0005706286)
6,BAHARBAN,BAHARBAN,Shallow tubewell,Ground Water,Pokhar Bhindaa Par,HandPump,NC/PC RAHIKA- 2(0005706286)
7,BAHARBAN,BAHARBAN,Shallow tubewell,Ground Water,Non Mandatory,HandPump,NC/PC RAHIKA- 2(0005706286)
8,BAHARBAN,BAHARBAN,Shallow tubewell,Ground Water,Md Islam,HandPump,NC/PC RAHIKA- 2(0005706236)
9,BAHARBAN,BAHARBAN,Shallow tubewell,Ground Water,Chhedi Pasw an,HandPump,NC/PC RAHIKA- 2(0005706236)
10,BAHARBAN,BAHARBAN,Shallow tubewell,Ground Water,Mandir Ke Pas,HandPump,NC/PC RAHIKA- 2(0005706236)
11,BAHARBAN,BAHARBAN,Shallow tubewell,Ground Water,New  P.S Baharw an Salhesstha,HandPump,SCHOOL T/W-RAHIKA- 1(0006210464)
12,BAHARBAN,BAHARBAN,Shallow tubewell,Ground Water,P.MAK Baharvan,HandPump,SCHOOL T/W-RAHIKA- 2(0006219511)
13,BAHARBAN,BAHARBAN,Shallow tubewell,Ground Water,U.M.S Baharw an,HandPump,SCHOOL T/W-RAHIKA- 3(0006220259)
14,BAHARBAN,BAHARBAN,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001973527)
15,BAHARBAN,BAHARBAN,Shallow tubewell,Ground Water,Saini Pasw an,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD RAHIKA(0005820076)
16,JITWAR PUR,JITWAR PUR,Shallow tubewell,Ground Water,Yogendar Pasw an S/O Gopali Pasw an Ke Ghar Ke,HandPump,MLA QUOTA-RAHIKA- 2(0005796763)
17,JITWAR PUR,JITWAR PUR,Shallow tubewell,Ground Water,Niket P.S Jitw arpur Pasw an Tol,HandPump,SCHOOL T/W-RAHIKA- 1(0006210464)
18,JITWAR PUR,JITWAR PUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001973538)
19,JITWAR PUR,JITWAR PUR,Shallow tubewell,Ground Water,M.S,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD RAHIKA(0005820076)
20,JITWAR PUR,JITWAR PUR,Shallow tubewell,Ground Water,Surykant Sada Ke Ghar Ke Pas,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W RAHIKA(0006367179)
21,KANAIL,KANAIL,Shallow tubewell,Ground Water,Aw c 22,HandPump,ANGANWARDI T/W- RAHIKA(0006356299)
22,KANAIL,KANAIL,Deep tubewell,Ground Water,Mini Pw s Kanail,HandPump,Mini Pipe Water Sapply Scheme Electric Madhubani(0005017362)
23,KANAIL,KANAIL,Deep tubewell,Ground Water,Kanail,PWS,Mini Pipe Water Sapply Scheme Electric(0004914518)
24,KANAIL,KANAIL,Shallow tubewell,Ground Water,Shivchandra Ram S/O Lat Khakhan Ram Ke Ghar Ke Pas,HandPump,MLA QOUTA-RAHIKA- 1(0006375885)
25,KANAIL,KANAIL,Shallow tubewell,Ground Water,Kalyani Devi S/O Lat Dhaneshw ar Mukhya Ke Ghar Ke Pas,HandPump,MLA QOUTA-RAHIKA- 1(0006375885)
