Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,GANOH BAIR,GANOHA BAIR,Deep tubewell,Ground Water,Sadak Kinar,HandPump,Hand Pump Scheme(0004690938)
2,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,RAMGULAM MANDAL KE GHAR KE PAS,HandPump,MLA QOUTA-RAHIKA- 1(0006375885)
3,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,RADHA KRISNA MANDIR KE PRANGAN ME,HandPump,MLA QOUTA-RAHIKA- 1(0006375885)
4,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC RAHIKA- 2(0005706286)
5,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,M.S. Gandhw ari,HandPump,NC/PC RAHIKA- 2(0005706286)
6,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC RAHIKA- 2(0005706286)
7,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC RAHIKA- 2(0005706286)
8,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,M.S. Gandhw ari,HandPump,NC/PC RAHIKA- 2(0005706286)
9,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC RAHIKA- 2(0005706286)
10,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC RAHIKA- 2(0005706286)
11,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Jivnath Thakur,HandPump,NC/PC RAHIKA- 2(0005706286)
12,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC RAHIKA- 2(0005706286)
13,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC RAHIKA- 2(0005706286)
14,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,M.S. Gandhw ari,HandPump,NC/PC RAHIKA- 2(0005706286)
15,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC RAHIKA- 2(0005706286)
16,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC RAHIKA- 2(0005706286)
17,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC RAHIKA- 2(0005706286)
18,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,M.S. Gandhw ari,HandPump,NC/PC RAHIKA- 2(0005706286)
19,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Jivnath Thakur,HandPump,NC/PC RAHIKA- 2(0005706286)
20,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Jivnath Thakur,HandPump,NC/PC RAHIKA- 2(0005706286)
21,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,M.S. Gandhw ari,HandPump,NC/PC RAHIKA- 2(0005706286)
22,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Jivnath Thakur,HandPump,NC/PC RAHIKA- 2(0005706286)
23,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,M.S. Gandhw ari,HandPump,NC/PC RAHIKA- 2(0005706286)
24,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Jivnath Thakur,HandPump,NC/PC RAHIKA- 2(0005706286)
25,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,M.S. Gandhw ari,HandPump,NC/PC RAHIKA- 2(0005706286)
26,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,M.S. Gandhw ari,HandPump,NC/PC RAHIKA- 2(0005706286)
27,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC RAHIKA- 2(0005706236)
28,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Mushari Me,HandPump,NC/PC RAHIKA- 2(0005706236)
29,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,M.S. Gandhw ari,HandPump,NC/PC RAHIKA- 2(0005706236)
30,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,M.S. Gandhw ari,HandPump,NC/PC RAHIKA- 2(0005706236)
31,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Jivnath Thakur,HandPump,NC/PC RAHIKA- 2(0005706236)
32,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC RAHIKA- 2(0005706236)
33,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,M.S. Gandhw ari,HandPump,NC/PC RAHIKA- 2(0005706236)
34,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Jivnath Thakur,HandPump,NC/PC RAHIKA- 2(0005706236)
35,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC RAHIKA- 2(0005706236)
36,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Jivnath Thakur,HandPump,NC/PC RAHIKA- 2(0005706236)
37,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Mushari Me,HandPump,NC/PC RAHIKA- 2(0005706236)
38,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC RAHIKA- 2(0005706236)
39,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Jivnath Thakur,HandPump,NC/PC RAHIKA- 2(0005706236)
40,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Mushari Me,HandPump,NC/PC RAHIKA- 2(0005706236)
41,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC RAHIKA- 2(0005706236)
42,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,M.S. Gandhw ari,HandPump,NC/PC RAHIKA- 2(0005706236)
43,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC RAHIKA- 2(0005706236)
44,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Jivnath Thakur,HandPump,NC/PC RAHIKA- 2(0005706236)
45,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC RAHIKA- 2(0005706236)
46,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,M.S. Gandhw ari,HandPump,NC/PC RAHIKA- 2(0005706236)
47,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC RAHIKA- 2(0005706236)
48,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Jivnath Thakur,HandPump,NC/PC RAHIKA- 2(0005706236)
49,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC RAHIKA- 2(0005706236)
50,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,M.S. Gandhw ari,HandPump,SCHOOL T/W-RAHIKA- 1(0006210464)
51,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,M.S. Gandhw ari,HandPump,SCHOOL T/W-RAHIKA- 1(0006210464)
52,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,M.S Gandhw ari Girl,HandPump,SCHOOL T/W-RAHIKA- 2(0006219511)
53,GANOH BAIR,GANOHA,Deep,Ground,M.S. Gandhw ari,HandPump,Spot
,,BAIR,tubewell,Water,,,Source(0002718031)
54,GANOH BAIR,GANOHA BAIR,Shallow tubewell,Ground Water,Jivnath Thakur,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD RAHIKA(0005820076)
55,GANOH BAIR,PAHI,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Hand Pump Scheme(0004690938)
56,GANOH BAIR,PAHI,Deep tubewell,Ground Water,Nc/Pc Scheme For Rahika Block,SPOT,Nc/Pc Scheme For Rahika Block(0004563523)
57,GANOH BAIR,PAHI,Shallow tubewell,Ground Water,Mushari Me,HandPump,Pc Habitation T/W Rahika(0005271726)
58,KAJIANA,KAJIANA,Deep tubewell,Ground Water,Khajana Chow k Par,HandPump,Hand Pump Scheme(0004690938)
59,KAJIANA,KAJIANA,Shallow tubewell,Ground Water,Chow k Par C,HandPump,NC/PC RAHIKA- 2(0005706286)
60,KAJIANA,KAJIANA,Shallow tubewell,Ground Water,Khajana Chow k Par,HandPump,NC/PC RAHIKA- 2(0005706286)
61,KAJIANA,KAJIANA,Shallow tubewell,Ground Water,Navtoli Me,HandPump,NC/PC RAHIKA- 2(0005706286)
62,KAJIANA,KAJIANA,Shallow tubewell,Ground Water,Sarvajanik Sthan Par,HandPump,NC/PC RAHIKA- 2(0005706236)
63,KAJIANA,KAJIANA,Shallow tubewell,Ground Water,Masjid Ke Pas,HandPump,NC/PC RAHIKA- 2(0005706236)
64,KAJIANA,KAJIANA,Shallow tubewell,Ground Water,Pokhar Bhinda Par,HandPump,NC/PC RAHIKA- 2(0005706236)
65,KAJIANA,KAJIANA,Deep tubewell,Ground Water,Nc/Pc Scheme For Rahika Block,SPOT,Nc/Pc Scheme For Rahika Block(0004563524)
66,KAJIANA,KAJIANA,Shallow tubewell,Ground Water,Mandir Ke Pas,HandPump,Pc Habitation T/W Rahika(0005271726)
67,KAJIANA,NAKSUDA ANSH,Deep tubewell,Ground Water,Chow k Par,HandPump,Hand Pump Scheme(0004690938)
68,KAJIANA,NAKSUDA ANSH,Shallow tubewell,Ground Water,Ramdev Sah Ke Ghar Ke Pas,HandPump,NC/PC RAHIKA- 3(0005706350)
69,KAJIANA,NAKSUDA ANSH,Shallow tubewell,Ground Water,Davnarayan Ke Ghar Ke Pas,HandPump,NC/PC RAHIKA- 3(0005706350)
70,KAJIANA,NAKSUDA ANSH,Shallow tubewell,Ground Water,Sarvajanik Sthan Ke Pas,HandPump,NC/PC RAHIKA- 3(0005706350)
71,KAJIANA,NAKSUDA ANSH,Deep tubewell,Ground Water,Nc/Pc Scheme For Rahika Block,SPOT,Nc/Pc Scheme For Rahika Block(0004563525)
72,KAJIANA,NAKSUDA ANSH,Shallow tubewell,Ground Water,Pokhar Bhindaa Par,HandPump,Pc Habitation T/W Rahika(0005271726)
73,SALHA,SALHA,Shallow tubewell,Ground Water,A,HandPump,NC/PC RAHIKA(0006539751)
74,SALHA,SALHA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001965657)
75,SANKAR PUR GANDHBAL,SANKAR PUR GANDHBA,Shallow tubewell,Ground Water,M.S Sankarpur,HandPump,SCHOOL T/W-RAHIKA- 1(0006210464)
76,SANKAR PUR GANDHBAL,SANKAR PUR GANDHBA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001973228)
77,SANUAR,DHANUKHI,Shallow tubewell,Ground Water,P.S Sonal Dhanushi,HandPump,SCHOOL T/W-RAHIKA- 3(0006220259)
78,SANUAR,DHANUKHI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002655000)
79,SANUAR,DHANUKHI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001973225)
80,SANUAR,SANUAR,Shallow tubewell,Ground Water,BECHU MANDAL GHAR KE NAJDIK SADAK KINARE,HandPump,MLA QOUTA-RAHIKA- 1(0006375885)
81,SANUAR,SANUAR,Shallow tubewell,Ground Water,BULAN MISRA KE GHAR KE NAJDIK,HandPump,MLA QOUTA-RAHIKA- 1(0006375885)
,,,,,CHANDU,,
82,SANUAR,SANUAR,Shallow tubewell,Ground Water,PASWAN S/O RAJENDRA PASWAN GHAR KE PAS BARKURBA,HandPump,MLA QOUTA-RAHIKA- 1(0006375885)
83,SANUAR,SANUAR,Shallow tubewell,Ground Water,N.P.S Navtoli,HandPump,SCHOOL T/W-RAHIKA- 1(0006210464)
84,SANUAR,SANUAR,Shallow tubewell,Ground Water,New  P.S Barkurba,HandPump,SCHOOL T/W-RAHIKA- 1(0006210464)
85,SANUAR,SANUAR,Shallow tubewell,Ground Water,New  P.S Barkurba,HandPump,SCHOOL T/W-RAHIKA- 1(0006210464)
86,SANUAR,SANUAR,Shallow tubewell,Ground Water,P.MAK Kajiyana Balant,HandPump,SCHOOL T/W-RAHIKA- 1(0006210464)
87,SANUAR,SANUAR,Shallow tubewell,Ground Water,P.MAK Kasera Pokhar,HandPump,SCHOOL T/W-RAHIKA- 2(0006219511)
