Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,KAMAT BHAWANI PUR,KAMAT BHAWANI PUR,Shallow tubewell,Ground Water,Mo Nurjavi S/O Mo Sarif Ward No-15,HandPump,MLA QUOTA-RAHIKA 3(0005486070)
2,KAMAT BHAWANI PUR,KAMAT BHAWANI PUR,Shallow tubewell,Ground Water,Chow k Par,HandPump,NC/PC RAHIKA- 3(0005706350)
3,KAMAT BHAWANI PUR,KAMAT BHAWANI PUR,Shallow tubewell,Ground Water,Pokhar Bhindaa Par,HandPump,NC/PC RAHIKA- 3(0005706350)
4,KAMAT BHAWANI PUR,KAMAT BHAWANI PUR,Shallow tubewell,Ground Water,Mandir Ke Pas,HandPump,NC/PC RAHIKA- 3(0005706350)
5,KAMAT BHAWANI PUR,KAMAT BHAWANI PUR,Shallow tubewell,Ground Water,N.P.S Kamat Bhaw anipur,HandPump,SCHOOL T/W-RAHIKA- 1(0006210464)
6,KAMAT BHAWANI PUR,KAMAT BHAWANI PUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001973213)
7,KAMAT BHAWANI PUR,LAHERIA GANJ,Deep tubewell,Ground Water,Chow k Par Laheriyagang,HandPump,Bajrangi Poddar(0000044058)
8,KAMAT BHAWANI PUR,LAHERIA GANJ,Deep tubewell,Ground Water,Mandir Ke Pas,HandPump,Hand Pump Scheme(0004690938)
9,KAMAT BHAWANI PUR,LAHERIA GANJ,Shallow tubewell,Ground Water,Masjid Ke Pas Purw ari Tol,HandPump,Pc Habitation T/W Rahika(0005271726)
10,SAPTA,KANGAR TOLI,Deep tubewell,Ground Water,Masjid Ke Pas,HandPump,Hand Pump Scheme(0004690938)
11,SAPTA,KANGAR TOLI,Deep tubewell,Ground Water,Mandir Ke Pas,HandPump,Meghna Kanjar(0000044053)
12,SAPTA,KANGAR TOLI,Shallow tubewell,Ground Water,P.S Kuzra Tol Sighiniya,HandPump,SCHOOL T/W-RAHIKA- 1(0006210464)
13,SAPTA,KANGAR TOLI,Shallow tubewell,Ground Water,P.S Kanjrtola Sapta,HandPump,SCHOOL T/W-RAHIKA- 2(0006219511)
14,SAPTA,KANGAR TOLI,Shallow tubewell,Ground Water,P.S,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD RAHIKA(0005820076)
15,SAPTA,MINA BAZAR,Shallow tubewell,Ground Water,Qw c 37,HandPump,ANGANWARDI T/W- RAHIKA(0006356299)
16,SAPTA,MINA BAZAR,Shallow tubewell,Ground Water,"Sunit Devi Aw c No 37, Lalu Nagar Amaina Bajar ,",HandPump,Anganw ari Rahika Block(0005469733)
17,SAPTA,MINA BAZAR,Shallow tubewell,Ground Water,Kisan Thakur S/O Ram Chandar Thakur Ward No-6,HandPump,MLA QUOTA-RAHIKA -4(0005487189)
18,SAPTA,MINA BAZAR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002654968)
19,SAPTA,MINA BAZAR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001965606)
20,SAPTA,PARBATI TOL,Deep tubewell,Ground Water,Raju Jha Ke Ghar Ke Pas,HandPump,Hand Pump Scheme(0004690938)
21,SAPTA,PARBATI TOL,Shallow tubewell,Ground Water,Kaushaliya Devi S/O Shivji Sah Gupta Ke Ghar Se West,HandPump,MLA QOUTA-RAHIKA- 1(0006375885)
22,SAPTA,PARBATI TOL,Shallow tubewell,Ground Water,Ramratan Yadav S/O Lat Laxmi Yadav Ke Ghar Ke Pas,HandPump,MLA QOUTA-RAHIKA- 1(0006375885)
23,SAPTA,PARBATI TOL,Shallow tubewell,Ground Water,Suraj Yadav S/O Lat Ramfal Yadav Samudayaik Bhavan,HandPump,MLA QOUTA-RAHIKA- 1(0006375885)
24,SAPTA,PARBATI TOL,Shallow tubewell,Ground Water,Ramdev Yadav S/O Lat Laxman Yadav Ke Ghar Ke Pas Jibach Chaw ak Se South Kapileshw ar Jane Wale Sadak,HandPump,MLA QOUTA-RAHIKA- 1(0006375885)
25,SAPTA,PARBATI TOL,Shallow tubewell,Ground Water,"Rambilash Pasw an S/O Lat Gangay Pasw an ,Nahar Ke Kinare",HandPump,MLA QOUTA-RAHIKA- 1(0006375885)
26,SAPTA,PARBATI TOL,Shallow tubewell,Ground Water,Mandir Ke Bagal Me,HandPump,NC/PC RAHIKA- 3(0005706350)
27,SAPTA,PARBATI TOL,Deep tubewell,Ground Water,Nc/Pc Scheme For Rahika Block,SPOT,Nc/Pc Scheme For Rahika Block(0004563526)
28,SAPTA,SAPTA N.,Shallow tubewell,Ground Water,Aw cv 30,HandPump,ANGANWARDI T/W- RAHIKA(0006356299)
29,SAPTA,SAPTA N.,Shallow tubewell,Ground Water,Aw c 29,HandPump,ANGANWARDI T/W- RAHIKA(0006356299)
30,SAPTA,SAPTA N.,Shallow tubewell,Ground Water,"Gita Devi Aw c No 29, Jagatpur Dalan",HandPump,Anganw ari Rahika Block(0005469733)
31,SAPTA,SAPTA N.,Shallow tubewell,Ground Water,Savita Sharma Aw c No. 32 Mitthuli,HandPump,Anganw ari Rahika Block(0005469733)
32,SAPTA,SAPTA N.,Shallow tubewell,Ground Water,"Punam Kumari Aw c No 30, Jagatpur Ghot",HandPump,Anganw ari Rahika Block(0005469733)
33,SAPTA,SAPTA N.,Deep tubewell,Ground Water,Chow k Par Bhalsari Gachh,HandPump,Dhanpat Yadav(0000044045)
34,SAPTA,SAPTA N.,Deep tubewell,Ground Water,Mandir Ke Pas,HandPump,Hand Pump Scheme(0004690938)
35,SAPTA,SAPTA N.,Deep tubewell,Ground Water,Chow k Par Sapta,HandPump,Lakshmi Pasw an(0000044041)
36,SAPTA,SAPTA N.,Shallow tubewell,Ground Water,Sadhu Saran Yadav Ward 9,HandPump,MLA QUOTA- Rahika(0005331100)
37,SAPTA,SAPTA N.,Shallow tubewell,Ground Water,Ganesh Yadav Ward No-11,HandPump,MLA QUOTA- Rahika(0005331100)
38,SAPTA,SAPTA N.,Shallow tubewell,Ground Water,Ganesh Yadav Ke Pas,HandPump,NC/PC RAHIKA- 3(0005706350)
39,SAPTA,SAPTA N.,Shallow tubewell,Ground Water,Raju Yadav Ke Ghar Ke Pas,HandPump,NC/PC RAHIKA- 3(0005706350)
40,SAPTA,SAPTA N.,Shallow tubewell,Ground Water,Pokhar Ke Pas,HandPump,NC/PC RAHIKA- 3(0005706350)
41,SAPTA,SAPTA N.,Shallow tubewell,Ground Water,P.S.Laheriaganj Mushahar,HandPump,New  In Place Of Old T/W In Schools(0005350136)
42,SAPTA,SAPTA N.,Deep tubewell,Ground Water,Masjid Ke Pas,HandPump,Ram Jee Mukhiya(0000044051)
43,SAPTA,SAPTA N.,Shallow tubewell,Ground Water,P.S Jiw achh Chaw k Sapta,HandPump,SCHOOL T/W-RAHIKA- 1(0006210464)
44,SAPTA,SAPTA N.,Shallow tubewell,Ground Water,N.P.S. PARWATI TOL SAPTA,HandPump,SCHOOL T/W-RAHIKA- 1(0006210464)
45,SAPTA,SAPTA N.,Shallow tubewell,Ground Water,N.P.S Kharaura Muslim Tol Sapta,HandPump,SCHOOL T/W-RAHIKA- 1(0006210464)
46,SAPTA,SAPTA N.,Shallow tubewell,Ground Water,P.S Adarsnagar,HandPump,SCHOOL T/W-RAHIKA- 2(0006219511)
47,SAPTA,SAPTA N.,Shallow tubewell,Ground Water,U.M.S Sapta Dihati,HandPump,SCHOOL T/W-RAHIKA- 3(0006220259)
48,SAPTA,SAPTA N.,Shallow tubewell,Ground Water,P.S Laheriyaganj Ward No-2,HandPump,SCHOOL T/W-RAHIKA- 3(0006220259)
49,SAPTA,SAPTA N.,Shallow tubewell,Ground Water,P.S Laheriyaganj Ward No-1,HandPump,SCHOOL T/W-RAHIKA- 3(0006220259)
50,SAPTA,SAPTA N.,Shallow tubewell,Ground Water,P.S Laheriyaganj Harijan Tol,HandPump,SCHOOL T/W-RAHIKA- 3(0006220259)
51,SAPTA,SAPTA N.,Deep tubewell,Ground Water,N.P.S. PARWATI TOL SAPTA,HandPump,SPOT SOURCES(0002719804)
52,SAPTA,SAPTA N.,Shallow tubewell,Ground Water,Bhalsari Chaw k,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD RAHIKA(0005820076)
53,SAPTA,SAPTA N.,Deep tubewell,Ground Water,Kabristaan Ke Pas,HandPump,Suraj Yadav(0000044043)
54,SAPTA,SAPTA S.,Shallow tubewell,Ground Water,Aw c 32,HandPump,ANGANWARDI T/W- RAHIKA(0006356299)
55,SAPTA,SAPTA S.,Deep tubewell,Ground Water,Shyam Kumar Ke Ghar Ke Pas,HandPump,Hand Pump Scheme(0004690938)
56,SAPTA,SAPTA S.,Shallow tubewell,Ground Water,Mo Jabir S/O Kamim Masud Ke Ghar Ke Samne Ward No -14,HandPump,MLA QUOTA-RAHIKA -4(0005487189)
