Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,GANGAUR,BAZAR,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC HARLAKHI(0005699573)
2,GANGAUR,BAZAR,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC HARLAKHI(0005699573)
3,GANGAUR,BAZAR,Deep tubewell,Ground Water,U.P.S.KAMTAUL GIRL,HandPump,Spot Source(0002717478)
4,GANGAUR,BAZAR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001968814)
5,GANGAUR,GANGAUR,Deep tubewell,Ground Water,Mini Pw ss Gangaur,HandPump,Mini Pipe Water Sapply Scheme Electric Madhubani(0005017362)
6,GANGAUR,GANGAUR,Deep tubewell,Ground Water,Gangaur Minipw ss Electric,PWS,Mini Pipe Water Sapply Scheme Electric(0004914691)
7,GANGAUR,GANGAUR,Deep tubewell,Ground Water,,PWS,Mini Pipe Water Sapply Scheme Electric(0004914739)
8,GANGAUR,GANGAUR,Deep tubewell,Ground Water,,PWS,Mini Pipe Water Sapply Scheme Electric(0004914739)
9,GANGAUR,GANGAUR,Deep tubewell,Ground Water,,PWS,Mini Pipe Water Sapply Scheme Electric(0004914739)
10,GANGAUR,GANGAUR,Shallow tubewell,Ground Water,Ram Sw arath Thakur Ghar Ke Pas,HandPump,MLA QOUTA- HARLAKHI- 1(0006387490)
11,GANGAUR,GANGAUR,Shallow tubewell,Ground Water,Shyam Mahto S/O Ramchandra Mahto Ghar Ke Pas,HandPump,MLA QOUTA- HARLAKHI- 1(0006387490)
12,GANGAUR,GANGAUR,Shallow tubewell,Ground Water,Ramsebak Sah S/O Ram Bilash Sah Ghar Ke Pas,HandPump,MLA QOUTA- HARLAKHI- 1(0006387490)
13,GANGAUR,GANGAUR,Shallow tubewell,Ground Water,Ramchandra Yadav S/O Gudhari Yadav Ghar Ke Pas,HandPump,MLA QOUTA- HARLAKHI- 1(0006387490)
14,GANGAUR,GANGAUR,Shallow tubewell,Ground Water,Mushari Gram Ke Sarvjanik Astha Par,HandPump,MLA QUOTA- HARLAKHI- 4(0005688771)
15,GANGAUR,GANGAUR,Shallow tubewell,Ground Water,Laxman Yadav Ke Ghar Ke Pas Sarvjanik Chubutra Ke Niket,HandPump,MLA QUOTA- HARLAKHI- 4(0005688771)
