Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,KAMLAPATPATT,KAMLABAR PATTI,Shallow tubewell,Ground Water,120,HandPump,ANGANWARDI T/W - HARLAKHI(0006356354)
2,KAMLAPATPATT,KAMLABAR PATTI,Shallow tubewell,Ground Water,119,HandPump,ANGANWARDI T/W - HARLAKHI(0006356354)
3,KAMLAPATPATT,KAMLABAR PATTI,Deep tubewell,Ground Water,Road Side Me,HandPump,Harlakhi Spot Source Scheme(0004688904)
4,KAMLAPATPATT,KAMLABAR PATTI,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Harlakhi Spot Source Scheme(0004713242)
5,KAMLAPATPATT,KAMLABAR PATTI,Shallow tubewell,Ground Water,Jaylal Sahni S/O Mat Nathuni Sahni Ghar Ke Pas,HandPump,MLA QOUTA- HARLAKHI- 1(0006387490)
6,KAMLAPATPATT,KAMLABAR PATTI,Shallow tubewell,Ground Water,Lalo Chaudhary S/O Chandrashekhar Chaudhary Ghar Ke Pas,HandPump,MLA QOUTA- HARLAKHI- 1(0006387490)
7,KAMLAPATPATT,KAMLABAR PATTI,Shallow tubewell,Ground Water,Brahamdev Mandal S/O Ashesw ar Mandal Ghar Ke Pas,HandPump,MLA QOUTA- HARLAKHI- 1(0006387490)
8,KAMLAPATPATT,KAMLABAR PATTI,Shallow tubewell,Ground Water,Ramprit Das S/O Ramlakhan Das Ward No -2,HandPump,MLA QUOTA- HARLAKHI- 1(0005687029)
9,KAMLAPATPATT,KAMLABAR PATTI,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC HARLAKHI(0005699573)
10,KAMLAPATPATT,KAMLABAR PATTI,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC HARLAKHI(0005699573)
11,KAMLAPATPATT,KAMLABAR PATTI,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC HARLAKHI(0005699573)
12,KAMLAPATPATT,KAMLABAR PATTI,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC HARLAKHI(0005699573)
13,KAMLAPATPATT,KAMLABAR PATTI,Shallow tubewell,Ground Water,U.M.S Kamlapat Patti,HandPump,SCHOOL T/W- HARLAKHI- 2(0006206012)
14,KAMLAPATPATT,KAMLABAR PATTI,Deep tubewell,Ground Water,N.P.S.KAMLAPATPATTI NORTH TOL,HandPump,SPORT SOURCES(0002717789)
15,KAMLAPATPATT,KAMLABAR PATTI,Deep tubewell,Ground Water,P.S.KAMLAPATPATTI,HandPump,SPORT SOURCES(0002717789)
16,KAMLAPATPATT,KAMLABAR PATTI,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD HARLAKHI(0005819891)
17,KAMLAPATPATT,KAMLABAR PATTI,Shallow tubewell,Ground Water,Laxman Mochi Ke Ghar Ke Niket,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD HARLAKHI(0005819891)
18,KAURNA,BHARIAR TOL,Deep tubewell,Ground Water,Road Side Me,HandPump,Hand Pump Scheme(0004690566)
19,KAURNA,BHARIAR TOL,Deep tubewell,Ground Water,Nc/Pc Scheme For Harlakhi Block,SPOT,Nc/Pc Scheme For Harlakhi Block(0004563152)
20,KAURNA,CHAUDHARY TOL,Deep tubewell,Ground Water,Road Side Me,HandPump,Chandeshw ar Choudhary(0000048942)
21,KAURNA,CHAUDHARY TOL,Deep tubewell,Ground Water,Road Side Me,HandPump,Harlakhi Spot Source Scheme(0004688904)
22,KAURNA,CHAUDHARY TOL,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Harlakhi Spot Source Scheme(0004713242)
23,KAURNA,KARUNA,Shallow tubewell,Ground Water,124,HandPump,ANGANWARDI T/W - HARLAKHI(0006356354)
24,KAURNA,KARUNA,Shallow tubewell,Ground Water,Harendra Ray S/O Ramachal Ray Ghar Ke Pas,HandPump,MLA QOUTA- HARLAKHI- 1(0006387490)
25,KAURNA,KARUNA,Shallow tubewell,Ground Water,Rambahdur Thakur Belatol Ward No -12,HandPump,MLA QUOTA- HARLAKHI- 1(0005687029)
26,KAURNA,KARUNA,Shallow tubewell,Ground Water,Shivshankar Yadav S/O Bidesw ar Yadav Kadw ahi Ward No 11,HandPump,MLA QUOTA- HARLAKHI- 1(0005687029)
27,KAURNA,KARUNA,Shallow tubewell,Ground Water,Pargas Mandal Raghunathpur Ward No- 11,HandPump,MLA QUOTA- HARLAKHI- 1(0005687029)
28,KAURNA,KARUNA,Shallow tubewell,Ground Water,Birju Ray S/O Rambahadur Ray Ward No -6,HandPump,MLA QUOTA- HARLAKHI- 1(0005687029)
29,KAURNA,KARUNA,Shallow tubewell,Ground Water,M.S. Karuna,HandPump,SCHOOL T/W- HARLAKHI- 1(0006193183)
30,KAURNA,KARUNA,Shallow tubewell,Ground Water,P.S Kadw ahi,HandPump,SCHOOL T/W- HARLAKHI- 2(0006206012)
31,KAURNA,KARUNA,Deep tubewell,Ground Water,P.S.KARUNA TOLE BISHAUL,HandPump,SPORT SOURCES(0002717789)
32,KAURNA,KARUNA,Deep tubewell,Ground Water,M.S. Karuna,HandPump,SPORT SOURCES(0002717789)
33,KAURNA,KARUNA,Deep tubewell,Ground Water,N.P.S.DATTAKOL TOOL,HandPump,SPORT SOURCES(0002717789)
34,KAURNA,KARUNA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001968703)
35,KAURNA,KASAK TOL,Deep tubewell,Ground Water,Sadak Inare,HandPump,Harlakhi Spot Source Scheme(0004688904)
36,KAURNA,KASAK TOL,Deep tubewell,Ground Water,Road Ke Bagal Me,HandPump,Harlakhi Spot Source Scheme(0004713242)
37,KAURNA,KASAK TOL,Deep tubewell,Ground Water,Nc/Pc Scheme For Harlakhi Block,SPOT,Nc/Pc Scheme For Harlakhi Block(0004563153)
38,KAURNA,KURMI TOL,Shallow tubewell,Ground Water,B,HandPump,NC/PC HARLAKHI(0006534908)
39,KAURNA,KURMI TOL,Shallow tubewell,Ground Water,A,HandPump,NC/PC HARLAKHI(0006534908)
40,KAURNA,KURMI TOL,Shallow tubewell,Ground Water,B,HandPump,NC/PC HARLAKHI(0006538710)
41,KAURNA,KURMI TOL,Shallow tubewell,Ground Water,A,HandPump,NC/PC HARLAKHI(0006538710)
42,KAURNA,KURMI TOL,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001968703)
43,KAURNA,MANG PATTI,Shallow tubewell,Ground Water,P.S.BELA,HandPump,SCHOOL T/W- HARLAKHI- 1(0006193183)
44,KAURNA,MANG PATTI,Deep tubewell,Ground Water,P.S.BELA,HandPump,SPORT SOURCES(0002717789)
45,KAURNA,MANG PATTI,Deep tubewell,Ground Water,P.S.MANGPATTI HRIJAN,HandPump,SPORT SOURCES(0002717789)
46,KAURNA,MANG PATTI,Deep tubewell,Ground Water,P.S.MANGPATTI,HandPump,SPORT SOURCES(0002717789)
47,KAURNA,MANG PATTI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001976237)
