Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,DEURI,DEURI,Deep tubewell,Ground Water,Road Side Me,HandPump,HP Scheme(0004690544)
2,DEURI,DEURI,Shallow tubewell,Ground Water,School Ke Pas,HandPump,NC/PC BASOPATTI- 2(0005695486)
3,DEURI,DEURI,Shallow tubewell,Ground Water,Mandir Ke Pas,HandPump,NC/PC BENIPATTI- 2(0005696138)
4,DEURI,DEURI,Deep tubewell,Ground Water,Nc/Pc Scheme For Benipatti Block,SPOT,Nc/Pc Scheme For Benipatti Block(0004563121)
5,DEURI,DEURI,Shallow tubewell,Ground Water,Masjid Ke Pas,HandPump,Spot Source- BENIPATTI(0005272039)
6,DHANAUJA,DHANOJA,Shallow tubewell,Ground Water,Aw c-35,HandPump,ANGANWARDI T/W - BENIPATTI(0006364245)
7,DHANAUJA,DHANOJA,Deep tubewell,Ground Water,Masjid Ke Pas,HandPump,Bargath Tree Main Road Side(0000046023)
8,DHANAUJA,DHANOJA,Deep tubewell,Ground Water,Mandir Ke Pas,HandPump,Haribodh Pathak(0000046015)
9,DHANAUJA,DHANOJA,Deep tubewell,Ground Water,Sarvjanik Ke Pas,HandPump,HP Scheme(0004690544)
10,DHANAUJA,DHANOJA,Deep tubewell,Ground Water,Road Side Me,HandPump,Jivkant Pathak(0000046017)
11,DHANAUJA,DHANOJA,Shallow tubewell,Ground Water,Rambrisjh Ram S/O Hau Ram Ghar Ke Pas Chamar Tol,HandPump,MLA QOUTA- BENIPATTI- 2(0006281277)
12,DHANAUJA,DHANOJA,Shallow tubewell,Ground Water,Vidyanand Pathak S/O Visw anath Pathak Ghar Ke Pas,HandPump,MLA QOUTA- BENIPATTI- 2(0006281277)
13,DHANAUJA,DHANOJA,Shallow tubewell,Ground Water,Mandal Tol,HandPump,MLA QUOTA- BENIPATTI- 6(0005678665)
14,DHANAUJA,DHANOJA,Shallow tubewell,Ground Water,Bhogi Sah S/O Met Jaykant Sah,HandPump,MLA QUOTA- BENIPATTI- 6(0005678665)
15,DHANAUJA,DHANOJA,Shallow tubewell,Ground Water,Devendar Jha S/O Lambodar Jha,HandPump,MLA QUOTA- BENIPATTI- 6(0005678665)
16,DHANAUJA,DHANOJA,Shallow tubewell,Ground Water,UP.S.DHANAUJA,HandPump,SCHOOL T/W- BENIPATTI- 2(0006255139)
17,DHANAUJA,DHANOJA,Shallow tubewell,Ground Water,UP.S.DHANAUJA,HandPump,SCHOOL T/W- BENIPATTI- 3(0006255444)
