Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAINGRA,BENGRA,Shallow tubewell,Ground Water,Sita Ram Thakur S/O Lat Dineshw ar Thakur Ghar Ke Pas,HandPump,MLA QOUTA- MADHWAPUR- 1(0006376823)
2,BAINGRA,BENGRA,Shallow tubewell,Ground Water,Surendra Parsad Thakur S/O Lat Ramyad Thakur Ghar Ke Pas,HandPump,MLA QOUTA- MADHWAPUR- 1(0006376823)
3,BAINGRA,BENGRA,Shallow tubewell,Ground Water,Brhamasthan Ke Niket,HandPump,MLA QOUTA- MADHWAPUR- 1(0006376823)
4,BAINGRA,BENGRA,Deep tubewell,Ground Water,Nc/Pc Scheme For Madhw apur Block,SPOT,Nc/Pc Scheme For Madhw apur Block(0004563479)
5,BAINGRA,BENGRA,Shallow tubewell,Ground Water,P.S Karhua Ghat,HandPump,SCHOOL T/W- MADHWAPUR- 2(0006179995)
6,BAINGRA,BENGRA,Shallow tubewell,Ground Water,P.S Karhua,HandPump,SCHOOL T/W- MADHWAPUR- 2(0006179995)
7,BAINGRA,BENGRA,Shallow tubewell,Ground Water,P.S Baingra Girl,HandPump,SCHOOL T/W- MADHWAPUR- 2(0006179995)
8,BAINGRA,BENGRA,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Spot Source (Ht) Scheme(0004690854)
9,LITTRA,KOTHIA HT,Deep tubewell,Ground Water,Nc/Pc Scheme For Madhw apur Block,SPOT,Nc/Pc Scheme For Madhw apur Block(0004563480)
10,LITTRA,LITTRA,Shallow tubewell,Ground Water,Nc/Pc Scheme For Madhw apur Block,HandPump,NC/PC MADHWAPUR- 2(0005705584)
11,LITTRA,LITTRA,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC MADHWAPUR- 2(0005705584)
12,LITTRA,LITTRA,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC MADHWAPUR- 2(0005705584)
13,LITTRA,LITTRA,Shallow tubewell,Ground Water,Mushari Me,HandPump,NC/PC MADHWAPUR-2(0005705584)
14,LITTRA,LITTRA,Shallow tubewell,Ground Water,Nc/Pc Scheme For Madhw apur Block,HandPump,NC/PC MADHWAPUR- 2(0005705584)
15,LITTRA,LITTRA,Shallow tubewell,Ground Water,Mushari Me,HandPump,NC/PC MADHWAPUR- 2(0005705584)
16,LITTRA,LITTRA,Shallow tubewell,Ground Water,Mushari Me,HandPump,NC/PC MADHWAPUR- 2(0005705584)
17,LITTRA,LITTRA,Shallow tubewell,Ground Water,Nc/Pc Scheme For Madhw apur Block,HandPump,NC/PC MADHWAPUR- 2(0005705584)
18,LITTRA,LITTRA,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC MADHWAPUR- 2(0005705584)
19,LITTRA,LITTRA,Shallow tubewell,Ground Water,Mushari Me,HandPump,NC/PC MADHWAPUR- 2(0005705584)
20,LITTRA,LITTRA,Shallow tubewell,Ground Water,Nc/Pc Scheme For Madhw apur Block,HandPump,NC/PC MADHWAPUR- 2(0005705584)
21,LITTRA,LITTRA,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC MADHWAPUR- 2(0005705584)
22,LITTRA,LITTRA,Shallow tubewell,Ground Water,Mushari Me,HandPump,NC/PC MADHWAPUR- 2(0005705584)
23,LITTRA,LITTRA,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC MADHWAPUR- 2(0005705584)
24,LITTRA,LITTRA,Shallow tubewell,Ground Water,Nc/Pc Scheme For Madhw apur Block,HandPump,NC/PC MADHWAPUR- 2(0005705584)
25,LITTRA,LITTRA,Shallow tubewell,Ground Water,Mushari Me,HandPump,NC/PC MADHWAPUR- 2(0005705584)
26,LITTRA,LITTRA,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC MADHWAPUR- 2(0005705584)
27,LITTRA,LITTRA,Shallow tubewell,Ground Water,Nc/Pc Scheme For Madhw apur Block,HandPump,NC/PC MADHWAPUR- 2(0005705584)
28,LITTRA,LITTRA,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC MADHWAPUR- 2(0005705584)
29,LITTRA,LITTRA,Shallow tubewell,Ground Water,Mushari Me,HandPump,NC/PC MADHWAPUR- 2(0005705584)
30,LITTRA,LITTRA,Shallow tubewell,Ground Water,Nc/Pc Scheme For Madhw apur Block,HandPump,NC/PC MADHWAPUR- 2(0005705584)
31,LITTRA,LITTRA,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC MADHWAPUR- 2(0005705584)
32,LITTRA,LITTRA,Shallow tubewell,Ground Water,Mushari Me,HandPump,NC/PC MADHWAPUR- 2(0005705584)
33,LITTRA,LITTRA,Shallow tubewell,Ground Water,Nc/Pc Scheme For Madhw apur Block,HandPump,NC/PC MADHWAPUR- 2(0005705584)
34,LITTRA,LITTRA,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC MADHWAPUR- 2(0005705584)
